Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"0502004210 P3 Youth
Training and Develop-
ment","SP 0504014210
Revitalisation of
Youth Polytechnics","21,736,692","19,682,758","2,053,934",90.6,402,0
,Sub total,"21,736,692","19,682,758","2,053,934",90.6,402,0
"0502004210 P2 Early
childhood development
and Education","0502014210 SP1
Early Childhood
Development and
Education","475,824,842","466,057,734","9,767,108",97.9,402,0
,Subtotal,"475,824,842","466,057,734","9,767,108",97.9,402,0
"Medical Services, Public Health & Sanitation",,,,,,402,0
"0401004210 P1 Preventive
and Promotive Health
Services","0401044210 SP2
Environmental &
Health Promotion","110,172,827","107,513,632","2,659,195",97.6,402,0
,"0402014210 SP1
Nutrition","15,014,900","14,223,773","791,127",94.7,402,0
,"0401054210 SP3
Communicable
Disease Control","94,731,472","94,451,371","280,101",99.7,402,0
,"0401064210 SP4
Non-communica-
ble Disease Preven-
tion & Control","37,912,158","37,640,850","271,308",99.3,402,0
,"0401074210 SP5
Reproductive, Ma-
ternal, Neonatal,
Child and Adoles-
cent Health","58,280,924","56,516,511","1,764,413",97.0,402,0
,Sub total,"316,112,281","310,346,137","5,766,144",98.2,402,0
"0402004210 P2 Curative
Health","0402044210 SP1
County Hospi-
tal and Referral
Services","694,926,888","622,917,519","72,009,369",89.6,402,0
,"0402054210 SP2
Free Primary
Health Services","311,731,498","197,647,547","114,083,951",63.4,402,0
,Sub total,"1,006,658,386","820,565,066","186,093,320",81.5,402,0
"0403004210 P3 General
Administration Planning
and Support Services","0403014210 SP1
Health Infrastruc-
ture Development","238,936,565","139,363,917","99,572,648",58.3,403,0
