Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,"S.P 2.4-Installation, Reha-
bilitation & Maintenance of
Lighting facilities.","103,610,000","102,266,460","1,343,540",98.7,348,0
Sub Total,,"2,583,596,719","1,750,487,149","833,109,570",67.8,348,0
"Programme 3. Fire-
fighting & Disaster
Management.","S.P 3.1 Firefighting and Emer-
gency Services","7,660,000","5,689,042","1,970,958",74.3,348,0
Sub Total,,"7,660,000","5,689,042","1,970,958",74.3,348,0
"Department of Environment, Water, Energy and Natural Resource",,,,,,348,0
"Programme 1: Ad-
ministration","S.P 1.1: Administrative ser-
vices","33,035,288","16,355,656","16,679,632",49.5,348,0
,S.P 1.2: Human Resource,"236,363,541","180,375,678","55,987,863",76.3,348,0
Sub Total,,"269,398,829","196,731,334","72,667,495",73.0,348,0
"Programme 2: Water
and Sewerage man-
agement",SP 2.1 Provision of Water,"8,750,000","4,541,137","4,208,863",51.9,348,0
,S.P 2.2 Provision of sewerage,"1,416,880,597","450,580,536","966,300,061",31.8,348,0
Sub Total,,"1,425,630,597","455,121,673","970,508,924",31.9,348,0
"Programme 3: Envi-
ronmental Manage-
ment",S.P 3:1 Pollution control,"101,891,276","86,364,078","15,527,198",84.8,348,0
,"S.P 3:3 Greening and Beauti-
fication","119,081,446","29,781,371","89,300,075",25.0,348,0
Sub Total,,"220,972,722","116,145,449","104,827,273",52.6,348,0
Department of Health Service,,,,,,348,0
"Programme 1:
Administration and
Planning","SP 1.1: Health Information
System","111,970,436","17,292,206","94,678,230",15.4,348,0
,"SP 1.2: Governance and Lead-
ership","425,760,541","404,892,223","20,868,318",95.1,348,0
,"SP 1.3: Human Resource Man-
agement","194,729,016","194,729,016",-,100.0,348,0
,"SP 1.4: Research and Devel-
opment","2,500,000","1,348,900","1,151,100",54.0,348,0
,"SP 1.5: Health Infrastructure
and Development","29,400,000","8,744,530","20,655,470",29.7,348,0
Sub Total,,"764,359,993","627,006,875","137,353,118",82.0,348,0
"Programme 2: Health
Preventive and Pro-
motive Services",SP 2:1: Primary Health Care,"477,563,074","224,793,486","252,769,588",47.1,348,0
