Name of the Programme,"Approved Estimates
FY 2021/22 (Kshs.)","Expenditure
(Kshs.)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
Fisheries resource management,"645,177","25,015","620,162",3.9,458,0
Fisheries resource management,"1,984,906","196,097","1,788,809",9.9,458,0
Fish Farming & Aquaculture,"810,075","35,021","775,054",4.3,458,0
Sustainable management of fisheries resources,"41,299,851","7,255,666","34,044,185",17.6,458,0
Frame survey,"29,888,734","216,155","29,672,578",0.7,458,0
Fish Stock assessment,"3,118,357","1,419,197","1,699,161",45.5,458,0
"Monitoring, Control and Surveillance","2,580,710","885,826","1,694,884",34.3,458,0
Resource monitoring facilities,"5,712,050","4,734,488","977,562",82.9,458,0
Livestock breed improvement,"96,740,374","32,187,952","64,552,422",33.3,458,0
"Establish livestock Multiplication and breeding
Centre.","21,390,535","19,774,873","1,615,662",92.4,458,0
Provision of Livestock Extension services,"2,591,276","336,307","2,254,969",13.0,458,0
Livestock multiplication and breeding centre,"23,482,861","11,243,797","12,239,064",47.9,458,0
Livestock Value Chain,"41,158,142","413,040","40,745,102",1.0,458,0
Skills Devt,"8,117,561","419,935","7,697,625",5.2,458,0
General Administration,"895,441,283","498,277,729","397,163,554",55.6,458,0
General Administration,"142,213,636","140,462,503","1,751,133",98.8,458,0
"General Administration and Support Services-
Pastoral Economy and","423,855,895","189,116,198","234,739,698",44.6,458,0
"General Administration, Planning and Support
Services – Lands General Administration, Plan-
ning and Support Services - Lands","329,371,752","168,699,028","160,672,724",51.2,458,0
Agriculture Programme,"80,074,204","47,353,591","32,720,613",59.1,458,0
Agri-nutrition/Urban & peri-urban agriculture,"617,888","558,405","59,483",90.4,458,0
"Agricultural Sector Development Support Pro-
gramme (ASDSP)","49,600,871","46,084,376","3,516,496",92.9,458,0
Agricultural Mechanization,"4,956,622","10,918","4,945,703",0.2,458,0
Agric Market Access,"967,766","283,919","683,848",29.3,458,0
Agric Extension & Devt,"21,288,397",-,"21,288,397",-,458,0
Subsidy & Support,"415,974","415,974",-,100.0,458,0
Pest Control & Mgt,"2,427,612",-,"2,427,612",-,458,0
Land Governance,"107,164,464","16,026,777","91,137,686",15.0,458,0
Land Policies,"107,164,464","16,026,777","91,137,686",15.0,458,0
,"280,017,650","192,705,236","87,312,414",68.8,458,0
NARIGP,"280,017,650","192,705,236","87,312,414",68.8,458,0
,"210,209,452","7,546,008","202,663,444",3.6,458,0
DRNKP/KfW,"210,209,452","7,546,008","202,663,444",3.6,458,0
,"121,487,475","87,861,906","33,625,569",72.3,458,0
Emergency Locust Response Project,"121,487,475","87,861,906","33,625,569",72.3,458,0
,A,B,C=A-B,D=B/A*100,459,0
Develop and maintain roads,"140,089,812","106,133,216","33,956,595",75.8,459,0
"Annual Roads Inventory and Conditional Survey
(ARICS)","1,344,120","316,498","1,027,621",23.5,459,0
Roads maintenance levy fund(RMLF),"132,617,121","104,996,089","27,621,032",79.2,459,0
Roads,"6,128,571","820,628","5,307,943",13.4,459,0
"Develop and maintain staff housing and public
offices","16,997",-,"16,997",-,459,0
Protection and gabion works of lokichar river,"16,997",-,"16,997",-,459,0
Develop and maintain other public works,"2,231,238","1,350,358","880,880",60.5,459,0
Capacity Building,"967,766","848,926","118,840",87.7,459,0
Professional Capacity Building,"1,263,472","501,432","762,040",39.7,459,0
General Administration,"447,124,089","338,081,522","109,042,567",75.6,459,0
General Administration,"423,329,652","331,730,185","91,599,467",78.4,459,0
General Administration- Public works,"23,794,437","6,351,337","17,443,100",26.7,459,0
,"967,766",-,"967,766",-,459,0
Mechanical Services,"967,766",-,"967,766",-,459,0
,"967,766",-,"967,766",-,459,0
Structural Services,"967,766",-,"967,766",-,459,0
,"915,094","450,987","464,107",49.3,459,0
Electrical Services,"915,094","450,987","464,107",49.3,459,0
,"4,842,183","3,612,791","1,229,392",74.6,459,0
Building Inspectorate,"4,842,183","3,612,791","1,229,392",74.6,459,0
,"415,254","328,648","86,606",79.1,459,0
Architectural Services,"415,254","328,648","86,606",79.1,459,0
"Cooperative Societies Development & Perfor-
mance Improvement","196,188,254","152,478,611","43,709,643",77.7,459,0
Cooperatives Development Fund,"1,755,154","1,755,154",-,100.0,459,0
Value Addition Initiatives,"6,534,615","3,132,817","3,401,798",47.9,459,0
Business Development and Training Services,"1,579,591","903,163","676,428",57.2,459,0
Liquor control Programme,"941,217","936,646","4,572",99.5,459,0
"Cooperative societies' development and revival
programmes","1,656,149","1,656,149",-,100.0,459,0
Legal Metrology Services,"1,088,904","689,988","398,916",63.4,459,0
Verification of traders' equipment,"3,661,564","3,661,564",-,100.0,459,0
Consumer rights education,"1,220,461","1,021,729","198,731",83.7,459,0
Standards and Anti-Counterfeit Services,"1,075,296","602,802","472,494",56.1,459,0
Market Infrastructure Development,"30,711,379","2,982,937","27,728,442",9.7,459,0
Industrial Development and Investments,"5,880,106","3,080,525","2,799,581",52.4,459,0
Biashara Fund,"141,491,707","132,055,138","9,436,570",93.3,459,0
Modern Physical Markets Infrastructure,"51,083,984","39,278,268","11,805,716",76.9,459,0
"Construction & Development of Modern Physical
Market","2,857,697","2,710,113","147,584",94.8,459,0
"Co-operative Marketing, Value Addition, Surveys
& Research","4,782,465","1,564,783","3,217,682",32.7,459,0
"Co-operative Education, Training, Exchange and
Ushirika Day Celeb","4,844,394","2,077,958","2,766,436",42.9,459,0
"Strengthening of Key Dormant Co-operative So-
cieties","4,677,536","3,068,869","1,608,667",65.6,459,0
"Formulation of Cooperative Policy and Legal
Framework","3,602,240","1,559,015","2,043,226",43.3,459,0
Cooperative Development Fund,"30,319,652","28,297,530","2,022,122",93.3,459,0
General Administration,"146,627,079","76,290,651","70,336,428",52.0,459,0
General Administration,"146,627,079","76,290,651","70,336,428",52.0,459,0
Gender Promotion,"16,480,649","9,705,471","6,775,178",58.9,459,0
Gender Empowerment and advocacy,"9,168,639","6,485,443","2,683,196",70.7,459,0
Gender Mainstreaming and Co-ordination,"1,821,013","792,331","1,028,683",43.5,459,0
Legal Compliance and Redress,"3,878,054","1,903,250","1,974,804",49.1,459,0
,A,B,C=A-B,D=B/A*100,460,0
"Promotion of Gender Equality and Empower-
ment","1,612,943","524,448","1,088,496",32.5,460,0
Youth Affairs Development,"108,651,065","95,578,224","13,072,840",88.0,460,0
Youth Coordination and Representation,"3,010,828","565,843","2,444,985",18.8,460,0
Youth Employment Scheme,"2,150,591","99,041","2,051,550",4.6,460,0
Youth Rare skills,"2,424,140","588,242","1,835,899",24.3,460,0
Youth and Women Fund,"101,065,505","94,325,098","6,740,407",93.3,460,0
"General Administration, Planning and support
services","761,523,050","357,427,048","404,096,002",46.9,460,0
"General Administration, Planning and support
services","213,748,370","130,787,419","82,960,951",61.2,460,0
Health Facilities,"547,774,680","226,639,629","321,135,051",41.4,460,0
Support to Health Programs,"213,512,343","134,917,437","78,594,907",63.2,460,0
"HIV & AIDS, including community-based HIV
interventions","230,548",-,"230,548",-,460,0
TB & Leprosy,"268,824",-,"268,824",-,460,0
Malaria,"322,589",-,"322,589",-,460,0
NTDs(neglected tropical diseases),"268,824",-,"268,824",-,460,0
Nutrition,"2,486,123","1,170,009","1,316,115",47.1,460,0
Reproductive health,"4,061,370","2,632,083","1,429,287",64.8,460,0
Disease surveillance,"591,413",-,"591,413",-,460,0
EPI/outreaches,"752,707",-,"752,707",-,460,0
Health promotion,"164,273,881","101,682,833","62,591,048",61.9,460,0
Environmental health services,"806,472",-,"806,472",-,460,0
Emergency preparedness & disaster response,"806,472",-,"806,472",-,460,0
mainstreaming,"268,824",-,"268,824",-,460,0
Community Health Services,"38,374,297","29,432,511","8,941,786",76.7,460,0
,"86,757,967","55,990,466","30,767,501",64.5,460,0
Laboratory Services,"698,942",-,"698,942",-,460,0
Blood Transfusion Services,"2,248,154",-,"2,248,154",-,460,0
Rehabilitative Services,"537,648",-,"537,648",-,460,0
Referral & Emergency Services,"752,707",-,"752,707",-,460,0
Radiology Services,"510,765",-,"510,765",-,460,0
Dental Services,"322,589",-,"322,589",-,460,0
Clinical Services,"537,648",-,"537,648",-,460,0
Nursing Services,"537,648",-,"537,648",-,460,0
Rural Health Facility Support,"49,037,832","42,446,294","6,591,538",86.6,460,0
Sub county Health Facilities Support,"6,683,242","6,225,456","457,785",93.2,460,0
UHC Turkana,"24,890,793","7,318,716","17,572,077",29.4,460,0
,"72,210",-,"72,210",-,460,0
,"72,210",-,"72,210",-,460,0
,"267,262,247","228,807,117","38,455,130",85.6,460,0
Medical Supplies,"265,649,304","228,246,091","37,403,213",85.9,460,0
Health mgt,"1,612,943","561,027","1,051,917",34.8,460,0
,"3,763,535","79,233","3,684,302",2.1,460,0
Health Information & Mgt,"1,344,120",-,"1,344,120",-,460,0
Quality Assurance,"537,648",-,"537,648",-,460,0
Electronic Medical Records,"268,824",-,"268,824",-,460,0
Monitoring & Evaluation Health,"806,472","79,233","727,239",9.8,460,0
Research & Development,"537,648",-,"537,648",-,460,0
Policy & Planning Services,"268,824",-,"268,824",-,460,0
,"10,417,801","1,513,215","8,904,586",14.5,460,0
Rehabilitation & Treatment,"2,419,415","280,146","2,139,270",11.6,460,0
Public Education & Awareness,"3,118,357","433,141","2,685,217",13.9,460,0
Liquor Licensing,"4,073,557","799,929","3,273,628",19.6,460,0
Training & Capacity Building,"806,472",-,"806,472",-,460,0
Access to Education for All,"5,950,140","5,950,140",-,100.0,460,0
Equipping and Furnishing Existing ECDE centres,"5,950,140","5,950,140",-,100.0,460,0
,A,B,C=A-B,D=B/A*100,461,0
Social protection programs/ Affirmative Action,"74,935,168","33,605,760","41,329,408",44.8,461,0
"Construction of PWDs multi-purpose resource
centre","23,842,961","6,991,323","16,851,638",29.3,461,0
Marginalised and Minority groups support,"4,172,726","2,892,639","1,280,087",69.3,461,0
Child Rescue Centres,"21,244,153","6,601,971","14,642,182",31.1,461,0
Child Care & Protection,"25,675,328","17,119,826","8,555,502",66.7,461,0
Sports and arts programme,"24,951,044","3,526,009","21,425,035",14.1,461,0
Construction of sport Stadia,"15,795,418","3,526,009","12,269,409",22.3,461,0
Stadia,"9,155,626",-,"9,155,626",-,461,0
General Administration,"930,372,962","667,839,636","262,533,326",71.8,461,0
General Administration,"552,387,972","315,063,768","237,324,204",57.0,461,0
Turkana Education and Skill Development Fund,"377,984,990","352,775,868","25,209,122",93.3,461,0
Vocational Training,"49,690,506","49,690,506",-,100.0,461,0
Youth Polytechnic Infrastructure,"15,192,121","8,337,513","6,854,607",54.9,461,0
Training and Development,"6,702,158","1,007,920","5,694,237",15.0,461,0
Co-Curricular Activities,"8,450,765","4,379,212","4,071,552",51.8,461,0
Youth Polytechnics- Conditional,"35,965,860","35,965,860",-,100.0,461,0
Public Relations,"2,577,202","581,986","1,995,216",22.6,461,0
Publicity,"1,107,807","581,986","525,821",52.5,461,0
Research and Sensitisation,"1,469,395",-,"1,469,395",-,461,0
Early Childhood Education,"362,742,844","151,297,566","211,445,278",41.7,461,0
School Feeding,"153,620,260","130,618,293","23,001,967",85.0,461,0
Quality Improvement,"5,965,098","3,620,334","2,344,764",60.7,461,0
Infrastructure Development,"189,209,670","9,869,433","179,340,237",5.2,461,0
Support for Pre-Primary Training,"13,947,816","7,189,506","6,758,310",51.5,461,0
"General Administration, Planning and Support
Services","6,170,926,996","5,123,226,520","1,047,700,476",83.0,461,0
General Administration Services,"671,264,930","202,970,201","468,294,729",30.2,461,0
General Administration - Economic planning,"116,883,864","92,513,596","24,370,268",79.2,461,0
Security Access Installation,"7,546,008","7,546,008",-,100.0,461,0
General Admin Planning & Support,"12,847,631","6,708,517","6,139,114",52.2,461,0
"General Administration, Planning and Support
Services-Public Ser","4,593,420,733","4,268,613,113","324,807,620",92.9,461,0
"General Administration, Planning and Support
Services-Administrator","362,426,833","253,147,567","109,279,266",69.8,461,0
"General Administration, Planning and Support
Services- Office of","313,065,001","212,538,466","100,526,535",67.9,461,0
"General Administration, Planning and Support
Services- Liaison O","21,930,204","15,504,630","6,425,574",70.7,461,0
General Admin Planning & Support,"24,512,428","16,521,874","7,990,554",67.4,461,0
Covid-19 Emergency Response Fund,"50,532,753","47,162,549","3,370,203",93.3,461,0
Governor's Residence,"10,481,026","7,515,835","2,965,190",71.7,461,0
Construction of governor's residence,"2,018,112","1,468,250","549,862",72.8,461,0
"Documentation, communication policy and strat-
egy","3,031,617","3,031,617",-,100.0,461,0
Civic Education and Public Sensitization,"4,148,314","2,304,006","1,844,308",55.5,461,0
Production of County Newspaper and Newsletter,"1,623,781","711,962","911,819",43.8,461,0
Donor/ Investor engagement,"13,417,380","8,241,235","5,176,144",61.4,461,0
Public-Private Partnership Initiatives (PPPs),"1,261,500","936,045","325,455",74.2,461,0
"Political and Intergovernmental Advisory Ser-
vices","2,063,883","611,227","1,452,656",29.6,461,0
Legal Advisory Services,"1,261,500","776,597","484,902",61.6,461,0
Security and Cross-border Advisory Services,"1,261,500","954,985","306,515",75.7,461,0
Oil And Gas Advisory Service,"1,261,500","1,257,061","4,438",99.6,461,0
Gender and Partnership Advisory Services,"1,261,500","1,106,490","155,010",87.7,461,0
Special Interest groups,"1,261,500","1,061,289","200,210",84.1,461,0
Climate Change advisory services,"1,261,500","704,660","556,840",55.9,461,0
,A,B,C=A-B,D=B/A*100,462,0
Education and youth Advisory services,"1,261,500","624,206","637,294",49.5,462,0
"Culture, Arts and Heritage advisory services","1,261,500","208,675","1,052,824",16.5,462,0
Security and Peace Building,"245,323,840","115,155,186","130,168,655",46.9,462,0
Community Cohesion and Resettlement,"20,476,630","11,720,474","8,756,157",57.2,462,0
"Operationalisation of peace-building structures
and institutions","66,379,162","36,161,889","30,217,273",54.5,462,0
Resettlement Infrastructural Programme,"119,929,293","36,345,219","83,584,074",30.3,462,0
Cross Border peace dividends programme,"38,538,755","30,927,605","7,611,151",80.3,462,0
"Government Communication and Media Rela-
tions","46,261,697","23,282,726","22,978,970",50.3,462,0
"Acquiring & developing communication systems/
equipment","10,365,340","6,023,437","4,341,904",58.1,462,0
Bills,"14,213,760","5,069,974","9,143,786",35.7,462,0
Policies,"10,101,297","8,123,317","1,977,980",80.4,462,0
"Development and Implementation of ICT Poli-
cy and Regulations","2,475,205","1,814,223","660,983",73.3,462,0
"Acquisition of Information Systems and Equip-
ment","9,106,094","2,251,776","6,854,318",24.7,462,0
Revenue Collection Systems,"102,548,236","46,882,375","55,665,861",45.7,462,0
Feasibility Study on Revenue Base,"4,921,744","4,008,172","913,572",81.4,462,0
Awareness and Campaigns on Revenue.,"4,448,205","4,070,797","377,409",91.5,462,0
Motorbikes for Revenue Officers 30 No.,"11,870,580","3,112,728","8,757,852",26.2,462,0
Strengthening Revenue Systems,"38,500,523","32,983,384","5,517,138",85.7,462,0
"Revenue Forecast and Revenue Budget Prepa-
ration","2,707,293","2,707,293",-,100.0,462,0
Completion of Lokiriama Revenue Centre,"40,528,185",-,"40,528,185",-,462,0
Accountability and Transparency,"150,374,637","59,949,726","90,424,911",39.9,462,0
Internal Audit,"5,330,963","5,329,656","1,307",100.0,462,0
Procurement systems,"3,243,610","3,021,582","222,028",93.2,462,0
IFMIS training,"5,077,802","4,729,295","348,506",93.1,462,0
"Financial Reporting/Research and Develop-
ment","51,262,013","46,869,193","4,392,820",91.4,462,0
"Modern Fencing, Gate and Parking Yards for
County Treasury Office","85,460,249",-,"85,460,249",-,462,0
Social and Financial Security,"12,647,999","7,928,570","4,719,430",62.7,462,0
Assurance and Insurance of Govt. Assets,"2,393,012","846,850","1,546,162",35.4,462,0
Liability and Debt Management,"3,579,597","2,443,436","1,136,161",68.3,462,0
Turkana SACCO Seed Capital,"6,675,391","4,638,284","2,037,107",69.5,462,0
Planning and Policy formulation,"229,466,058","37,605,189","191,860,869",16.4,462,0
Economic Policy formulation and Dissemination,"20,233,253","5,169,081","15,064,172",25.5,462,0
CIDP review and Dissemination,"984,471","984,471",-,100.0,462,0
Budget preparation and Dissemination,"159,343,601","28,594,540","130,749,060",17.9,462,0
County Budget and Economic Forums,"41,775,593",-,"41,775,593",-,462,0
Public Participation and Access to Information,"5,231,144","2,167,768","3,063,376",41.4,462,0
Waste Management,"1,025,573","412,672","612,901",40.2,462,0
Sector Plans Devt,"1,006,853","276,656","730,198",27.5,462,0
Development Co-ordination Programme,"5,865,075","2,381,931","3,483,143",40.6,462,0
Donor scan/Mapping,"2,016,583","1,034,799","981,784",51.3,462,0
Establishment of development committees,"1,723,274","932,102","791,172",54.1,462,0
Training of the development committees,"1,066,933","226,380","840,553",21.2,462,0
"Formulation and Development of TCPSB Board-
room ICT Infrastructure","1,058,285","188,650","869,635",17.8,462,0
Monitoring and Evaluation,"12,681,563","11,570,907","1,110,656",91.2,462,0
"Soft wares( E-ProMIS, GIS e.t.c)","7,436,068","6,080,667","1,355,401",81.8,462,0
"Field visits, data collection and Reporting","2,013,322","2,013,322",-,100.0,462,0
Training and Knowledge management,"2,255,049","2,104,204","150,844",93.3,462,0
,A,B,C=A-B,D=B/A*100,463,0
"Devolved Monitoring and Evaluation Commit-
tees","1,472,191","1,372,713","99,478",93.2,463,0
Public Participation and Access to Information,"29,972,107","12,262,058","17,710,048",40.9,463,0
Construction of Citizen Resource Centre,"5,039,150","4,221,047","818,103",83.8,463,0
Web site Development,"8,459,864","3,844,010","4,615,854",45.4,463,0
Social Budgeting and Generation of SIR Reports,"2,519,010","2,035,347","483,663",80.8,463,0
Intergovernmental Relation,"11,986,369","1,380,719","10,605,650",11.5,463,0
"Strategy Development, Review, Support and Op-
erationalisation","1,967,713","780,935","1,186,778",39.7,463,0
County Statistical Unit,"21,460,528","15,288,438","6,172,090",71.2,463,0
"Soft wares, databases and tools","15,577,508","11,238,505","4,339,002",72.1,463,0
Capacity Development,"1,918,155","784,125","1,134,030",40.9,463,0
Project Mgt Information System,"3,964,866","3,265,808","699,058",82.4,463,0
Service Delivery- ISO Certification,"12,901,600","4,254,441","8,647,159",33.0,463,0
Service Charter,"5,017,527","2,235,839","2,781,689",44.6,463,0
Development of County Filing Systems,"5,413,958","1,480,697","3,933,260",27.3,463,0
Procedure Manual and Training,"2,470,115","537,905","1,932,210",21.8,463,0
County Internship Programme,"23,598,117","21,891,155","1,706,962",92.8,463,0
County Internship Programme,"23,598,117","21,891,155","1,706,962",92.8,463,0
Operationalisation of Decentralised Units,"72,854,481","38,527,401","34,327,080",52.9,463,0
Operationalisation of Decentralised Units,"8,121,170","6,749,078","1,372,092",83.1,463,0
Decentralised County Policy,"38,190,686","14,643,000","23,547,686",38.3,463,0
Coordinated development,"9,069,070","5,303,664","3,765,406",58.5,463,0
Policy sensitisation and dissemination,"17,473,554","11,831,658","5,641,896",67.7,463,0
"Mainstream Public Sector Integrity programme &
Accountability","3,533,597","2,513,909","1,019,688",71.1,463,0
"Mainstream Public Sector Integrity programme &
Accountability","730,569","508,884","221,685",69.7,463,0
"Public Evaluation of County Public Service Board
Performance &Cus","1,109,512","550,859","558,653",49.6,463,0
Human Resource Conference & Symposium,"927,285","862,795","64,491",93.0,463,0
Exit Meetings Per Department,"766,231","591,372","174,859",77.2,463,0
Disaster Risk Reduction,"6,474,540","5,564,961","909,579",86.0,463,0
"Turkana County Drought and Disaster Contin-
gency Fund (CDDCF)","1,299,678","1,121,044","178,635",86.3,463,0
Turkana Multi-hazard/Risk,"860,237","800,481","59,756",93.1,463,0
Assessment and stakeholder capacity mapping,"3,169,245","3,056,546","112,699",96.4,463,0
"Regular Assessments of Food, Flood and Conflict
Security","1,145,380","586,891","558,490",51.2,463,0
Human resource,"6,713,961","4,262,393","2,451,569",63.5,463,0
Scheme of service,"912,510","730,918","181,593",80.1,463,0
Performance Appraisal,"1,571,687","590,915","980,773",37.6,463,0
Enhancing Leadership In County Public Service,"691,096","628,245","62,852",90.9,463,0
Review and Development of HR Policies,"679,141","444,782","234,360",65.5,463,0
"Human Resource Development/Career Progres-
sion","726,473","435,947","290,526",60.0,463,0
Performance Management Monitoring,"467,805","338,957","128,848",72.5,463,0
Development of Database Filing System,"562,606","290,939","271,667",51.7,463,0
"County Public Service Pre-Retirement Sensiti-
zation","527,735","442,147","85,588",83.8,463,0
"Evaluation of Different Cadres of Employees(Pro-
motion, Re-Designation)","574,906","359,544","215,362",62.5,463,0
Quality management system programming,"3,006,213","2,731,851","274,362",90.9,463,0
"Quality Management Systems Development & Es-
tablishment","1,349,038","1,349,038",-,100.0,463,0
QMS Audit /Routine Inspection,"911,471","911,471",-,100.0,463,0
Documentation/Record Management For QMS,"917,041","471,343","445,699",51.4,463,0
,A,B,C=A-B,D=B/A*100,464,0
Budgetary Supply,"97,836,620","46,279,718","51,556,902",47.3,464,0
"Budget Formulation, Co-ordination and Manage-
ment","68,053,190","33,401,871","34,651,319",49.1,464,0
Public Participation in Budgeting,"25,263,934","11,169,054","14,094,880",44.2,464,0
County Budget and Economic Forum,"4,519,496","1,708,793","2,810,702",37.8,464,0
Resource Mobilisation,"4,014,592","3,390,497","624,095",84.5,464,0
Resource Mobilisation,"4,014,592","3,390,497","624,095",84.5,464,0
Governors Press Service,"7,471,730","4,287,642","3,184,088",57.4,464,0
Governors Press support,"7,471,730","4,287,642","3,184,088",57.4,464,0
Governance and Public Participation,"40,623,720","24,289,389","16,334,331",59.8,464,0
Civic education Programme,"1,075,296","505,771","569,524",47.0,464,0
Public Participation and access to information,"35,204,007","20,882,914","14,321,093",59.3,464,0
County Dialogue Forum,"1,075,296","376,772","698,523",35.0,464,0
National & County Holidays,"2,462,650","1,725,942","736,708",70.1,464,0
Policies Design,"806,472","797,990","8,481",98.9,464,0
Disaster risk management,"321,159,899","95,249,414","225,910,485",29.7,464,0
Disaster Preparedness Programmes,"1,344,120","339,570","1,004,549",25.3,464,0
Disaster Mitigation Programmes,"1,344,120","1,102,662","241,457",82.0,464,0
"Stakeholders' Co-ordination and Support Pro-
gramme","1,344,120","412,236","931,884",30.7,464,0
Humanitarian Relief Food Programme,"316,589,893","93,327,090","223,262,803",29.5,464,0
Disaster Risk Mgt,"537,648","67,857","469,791",12.6,464,0
Inspectorate services,"28,297,714","14,324,319","13,973,396",50.6,464,0
"Establishment and Mainstreaming of the county
Inspectorate",-,-,-,-,464,0
Inspectorate Training Institute,"20,202,256","10,363,725","9,838,531",51.3,464,0
Dispute Resolution,"1,374,859","12,969","1,361,890",0.9,464,0
Capacity Building,"1,774,239","1,443,776","330,463",81.4,464,0
Inspectorate Services,"2,688,240","498,203","2,190,037",18.5,464,0
Inspectorate Services Equip,"2,258,121","2,005,646","252,475",88.8,464,0
Human resource management,"20,234,912","8,415,270","11,819,642",41.6,464,0
Payroll and record management,"1,935,532","648,159","1,287,373",33.5,464,0
Human Resource Development,"4,804,421","970,143","3,834,277",20.2,464,0
"GHRIS Leave & Performance Module Implemen-
tation","1,505,414","946,953","558,461",62.9,464,0
"Digitisation and Automation of Human Resource
Registry","2,688,239","981,741","1,706,498",36.5,464,0
"Mainstreaming Public Sector Integrity Pro-
gramme","4,193,653","2,377,569","1,816,084",56.7,464,0
County performance management,"1,451,649","738,351","713,298",50.9,464,0
Public Service Week,"967,766","221,598","746,168",22.9,464,0
Records Mgt,"1,075,296","761,949","313,347",70.9,464,0
HRM,"1,612,942","768,807","844,135",47.7,464,0
,"22,974,638","12,736,832","10,237,806",55.4,464,0
Govt Programming,"7,478,847","2,806,138","4,672,709",37.5,464,0
Community Engagement,"5,255,406","1,843,971","3,411,435",35.1,464,0
Govt Stakeholder Engagement,"5,477,750","4,776,565","701,185",87.2,464,0
Govt Transformation,"4,762,634","3,310,157","1,452,477",69.5,464,0
General Administration,"278,107,451","84,021,668","194,085,783",30.2,464,0
"General Administration, Planning and Support
Services","278,107,451","84,021,668","194,085,783",30.2,464,0
Tourism destination marketing and promotion,"6,494,267","388,940","6,105,327",6.0,464,0
"Tourism expos, incentives, conferences and exhi-
bition program","537,648",-,"537,648",-,464,0
Community-Based Tourism products,"1,505,414","96,608","1,408,806",6.4,464,0
"Tourism Market Research (Baseline Survey &
Mapping)","1,655,437",-,"1,655,437",-,464,0
,A,B,C=A-B,D=B/A*100,465,0
"Media Campaign and Promotion of Tourism
Products and Programmes","2,795,769","292,332","2,503,436",10.5,465,0
Tourism development and Promotion,"200,041",-,"200,041",-,465,0
Completion and Furnishing of Eco-Lodges,"200,041",-,"200,041",-,465,0
"Culture, arts, heritage development, promotion
and preservation","69,205,914","22,334,186","46,871,728",32.3,465,0
Ushanga Initiative,"14,031,380","9,373,894","4,657,485",66.8,465,0
Culture Promotion and Preservation,"27,037,012","492,377","26,544,635",1.8,465,0
Arts and Creativity Development,"1,182,825",-,"1,182,825",-,465,0
Heritage Promotion,"1,612,943","402,084","1,210,859",24.9,465,0
Annual tourism and cultural festival,"25,341,754","12,065,831","13,275,923",47.6,465,0
"Culture development and preservation of infra-
structure","2,526,638",-,"2,526,638",-,465,0
"Equipment and Infrastructure Development at
Ekalees Centre","2,526,638",-,"2,526,638",-,465,0
"Forestry and wildlife management development
and management","17,444,842","5,331,811","12,113,031",30.6,465,0
Forestry Management and Conservation,"5,298,955","2,962,704","2,336,251",55.9,465,0
Community Wildlife Conservation,"3,951,083","2,066,663","1,884,420",52.3,465,0
Forest Nature-Based Development,"2,245,928",-,"2,245,928",-,465,0
Forestry Development Infrastructure,"4,369,953",-,"4,369,953",-,465,0
Forestry Protection,"826,216","224,965","601,251",27.2,465,0
Prosopis Mgt,"752,707","77,479","675,228",10.3,465,0
"Environmental Governance Compliance Conser-
vation Protection & Mgt","17,555,659","2,695,811","14,859,848",15.4,465,0
Environmental Governance & Compliance,"3,647,877","309,009","3,338,868",8.5,465,0
Environmental Protection & Conservation,"4,376,002","453,515","3,922,487",10.4,465,0
Plastic Collection Re-use Facility,"801,373",-,"801,373",-,465,0
