Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
Professional Capacity Building,"2,350,000","531,600","1,818,400",22.6%,406,0
General Administration,"217,728,312","38,148,971","179,579,341",17.5%,406,0
General Administration,"178,935,299","37,875,971","141,059,328",21.2%,406,0
General Administration- Public works,"38,793,013","273,000","38,520,013",0.7%,406,0
,"1,800,000",-,-,-,406,0
Mechanical Services,"1,800,000",-,-,-,406,0
,"1,800,000",-,-,-,407,0
Structural Services,"1,800,000",-,-,-,407,0
,"1,500,000",-,-,-,407,0
Electrical Services,"1,500,000",-,-,-,407,0
,"9,000,000","1,180,500","7,819,500",13.1%,407,0
Building Inspectorate,"9,000,000","1,180,500","7,819,500",13.1%,407,0
,"1,500,000","231,600","1,268,400",15.4%,407,0
Architectural Services,"1,500,000","231,600","1,268,400",15.4%,407,0
"Cooperative Societies Development & Perfor-
mance Improvement","216,803,800","151,166,727","65,637,073",69.7%,407,0
Cooperatives Development Fund,"4,300,000","1,860,750","2,439,250",43.3%,407,0
Value Addition Initiatives,"9,000,000","3,288,825","5,711,175",36.5%,407,0
Business Development and Training Services,"3,500,000","717,500","2,782,500",20.5%,407,0
Liquor control Programme,"2,500,000","614,000","1,886,000",24.6%,407,0
"Cooperative societies development and revival
programmes","2,500,000","575,952","1,924,048",23.0%,407,0
Legal Metrology Services,"2,400,000","731,500","1,668,500",30.5%,407,0
Verification of traders equipment,"5,900,000","1,945,000","3,955,000",33.0%,407,0
Consumer rights education,"2,270,000","583,200","1,686,800",25.7%,407,0
Standards and Anti-Counterfeit Services,"2,000,000",-,-,-,407,0
Market Infrastructure Development,"32,433,800",-,-,-,407,0
Industrial Development and Investments,"10,000,000","850,000","9,150,000",8.5%,407,0
Biashara Fund,"140,000,000","140,000,000",-,100.0%,407,0
Modern Physical Markets Infrastructure,"66,450,000","30,967,300","35,482,700",46.6%,407,0
"Construction & Development of Modern
Physical Market","4,800,000",-,-,-,407,0
"Co-operative Marketing, Value Addition,
Surveys & Research","7,885,000",-,-,-,407,0
"Co-operative Education, Training, Exchange
and Ushirika Day Celeb","8,365,000","967,300","7,397,700",11.6%,407,0
"Strengthening of Key Dormant Co-operative
Societies","8,700,000",-,-,-,407,0
"Formulation of Cooperative Policy and Legal
Frame Work","6,700,000",-,-,-,407,0
Cooperative Development Fund,"30,000,000","30,000,000",-,100.0%,407,0
General Administration,"86,596,636","22,720,288","63,876,348",26.2%,407,0
General Administration,"86,596,636","22,720,288","63,876,348",26.2%,407,0
Gender Promotion,"21,286,000","2,179,916","19,106,084",10.2%,407,0
Gender Empowerment and advocacy,"7,686,000","339,948","7,346,052",4.4%,407,0
Gender Mainstreaming and Coordination,"3,387,000",-,-,-,407,0
Legal Compliance and Redress,"7,213,000","1,839,968","5,373,032",25.5%,407,0
"Promotion of Gender Equality and Empower-
ment","3,000,000",-,-,-,407,0
Youth Affairs Development,"114,100,000","100,849,870","13,250,130",88.4%,408,0
Youth Coordination and Representation,"5,600,000","599,886","5,000,114",10.7%,408,0
Youth Employment Scheme,"4,000,000",-,--,-,408,0
Youth Rare skills,"4,500,000","249,984","4,250,016",5.6%,408,0
Youth and Women Fund,"100,000,000","100,000,000",-,100.0%,408,0
"General Administration, Planning and support
services","614,264,886","92,950,894","521,313,992",15.1%,408,0
"General Administration, Planning and support
services","149,143,394","38,274,979","110,868,415",25.7%,408,0
Health Facilities,"465,121,492","54,675,914","410,445,578",11.8%,408,0
Support to Health Programmes,"58,830,831","24,883,235","33,947,596",42.3%,408,0
"HIV & AIDS including community based HIV
interventions","500,000",-,-,-,408,0
TB & Leprosy,"500,000",-,-,-,408,0
Malaria,"600,000",-,-,-,408,0
NTDs(neglected tropical diseases),"500,000",-,-,-,408,0
Nutrition,"3,000,000","880,400","2,119,600",29.3%,408,0
Reproductive health,"4,954,593",-,-,-,408,0
Disease surveillance,"1,100,000",-,-,-,408,0
EPI/outreaches,"1,400,000",-,-,-,408,0
Health promotion,"13,776,238","5,950,865","7,825,373",43.2%,408,0
Environmental health services,"1,500,000",-,-,-,408,0
Emergency preparedness & disaster response,"1,500,000",-,-,-,408,0
mainstreaming,"500,000",-,-,-,408,0
Community Health Services,"29,000,000","18,051,970","10,948,030",62.2%,408,0
,"91,420,000","22,500,000","68,920,000",24.6%,408,0
Laboratory Services,"1,300,000",-,-,-,408,0
Blood Transfusion Services,"2,800,000",-,-,-,408,0
Rehabilitative Services,"1,000,000",-,-,-,408,0
Referrals & Emergency Services,"1,400,000",-,-,-,408,0
Radiology Services,"950,000",-,-,-,408,0
Dental Services,"600,000",-,-,-,408,0
Clinical Services,"1,000,000",-,-,-,408,0
Nursing Services,"1,000,000",-,-,-,408,0
Rural Health Facility Support,"51,618,375","22,500,000","29,118,375",43.6%,408,0
Sub county Health Facilities Support,"4,000,000",-,-,-,408,0
UHC Turkana,"25,751,625",-,-,-,408,0
,"8,170,863",-,-,-,408,0
Medical Supplies,"8,170,863",-,-,-,409,0
,"221,000,000","5,467,340","215,532,660",2.5%,409,0
Medical Supplies,"218,000,000","5,172,500","212,827,500",2.4%,409,0
Health management,"3,000,000","294,840","2,705,160",9.8%,409,0
,"7,000,000",-,-,-,409,0
Health Information & Management,"2,500,000",-,-,-,409,0
Quality Assurance,"1,000,000",-,,,409,0
Electronic Medical Records,"500,000",-,-,-,409,0
