Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",col_6,page_number,table_index
,,"Inspectorate
Services Equip","3,700,000",-,"3,700,000",-,469,0
"Human resource
management",,"Payroll and re-
cord management","2,000,000",-,"2,000,000",-,469,0
,,"Human Resource
Development","3,400,000",-,"3,400,000",-,469,0
,,"GHRIS Leave
& Performance
Module Imple-
mentation","2,200,000",-,"2,200,000",-,469,0
,,"Digitization and
Automation of
Human Resource
Registry","3,800,000",-,"3,800,000",-,469,0
,,"Mainstreaming
Public Sector
Integrity Pro-
gramme","4,500,000",-,"4,500,000",-,469,0
,,"County perfor-
mance manage-
ment","2,300,000",-,"2,300,000",-,469,0
,,"Public Service
Week","1,800,000",-,"1,800,000",-,469,0
,,"Records Manage-
ment","1,600,000",-,"1,600,000",-,469,0
,,HRM,"1,900,000",-,"1,900,000",-,469,0
"General
Administration,
Planning and
Support Services-
Public Service",,"General Adminis-
tration","4,178,992,315","987,500,997","3,191,491,318",23.6,469,0
,,Sub total,"4,664,598,643","988,174,397","3,676,424,246",21.2,469,0
"Infrastructure,
Transport and
Public Works",,,,,,,469,0
"Develop and
Maintain Roads",,"Roads mainte-
nance levy fund
(RMLF)","191,000,000",-,"191,000,000",-,469,0
,,Roads,"107,250,000",-,"107,250,000",-,469,0
"Develop and
maintain staff
housing and
public offices",,Staff Housing,"88,850,676",-,"88,850,676",-,469,0
"Develop and
maintain other
public works",,Machinery,"30,000,000",-,"30,000,000",-,469,0
,,A,B,C=A-B,D=B/A*100,,470,0
,,"Professional Ca-
pacity Building","9,350,000",-,"9,350,000",-,470,0
"General
Administration",,"General Adminis-
tration","93,083,737",-,"93,083,737",-,470,0
,,"General Admin-
istration- Public
works","32,128,720",-,"32,128,720",-,470,0
,,Sub Total,"551,663,133",-,"551,663,133",-,470,0
"Agriculture, Pas-
toral Economy
and Fisheries",,,,,,,470,0
"Revival of Tur-
kana Fishermen
Co-op. society",,"Spate Irrigation
Technology","251,713,482",-,"251,713,482",-,470,0
,,Rehabilitation,"1,000,000",-,"1,000,000",-,470,0
,,"Soil & Water
Conservation","10,200,000",-,"10,200,000",-,470,0
"Fish market
infrastructure/
fish value
addition",,"Fish market in-
frastructure/ fish
value addition","21,100,000",-,"21,100,000",-,470,0
,,"Fisheries liveli-
hood support","33,300,000",-,"33,300,000",-,470,0
,,"Fisheries Exten-
sion Services","2,500,000",-,"2,500,000",-,470,0
,,"Fisheries resource
management","17,600,000","604,800","16,995,200",3.4,470,0
,,"Fish Farming &
Aquaculture","4,200,000",-,"4,200,000",-,470,0
"Sustainable
management of
fisheries resources",,Frame survey,"65,000,000",-,"65,000,000",-,470,0
,,"Fish Stock assess-
ment","3,200,000",-,"3,200,000",-,470,0
,,"Monitoring, Con-
trol and Surveil-
lance","16,500,000",-,"16,500,000",-,470,0
,,"Resource moni-
toring facilities","2,850,000",-,"2,850,000",-,470,0
"Livestock breed
improvement",,"Establish live-
stock Multiplica-
tion and breeding
Centre.","38,200,000",-,"38,200,000",-,470,0
,,"Provision of Live-
stock Extension
services","2,600,000",-,"2,600,000",-,470,0
,,"Livestock mul-
tiplication and
breeding centre","19,500,000",-,"19,500,000",-,470,0
,,"Livestock Value
Chain","68,100,000",-,"68,100,000",-,470,0
,,A,B,C=A-B,D=B/A*100,,471,0
,,"Skills Develop-
ment","19,100,000",-,"19,100,000",-,471,0
"General
Administration",,"General Adminis-
tration","22,800,000","594,020","22,205,980",2.6,471,0
