Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,SP 1.2 Personnel Services,"13,553,051","11,998,031","1,555,020",88.5,339,0
,SP 1.3 Financial Services,"600,000","300,000","300,000",50.0,339,0
Sub Total,,"46,017,516","34,945,047","11,072,469",75.9,339,0
"Programme 2:
Nakuru Municipality
Urban Planning and
Development","SP 2.1 Infrastructure
Development and Urban Planning","49,397,727",-,"49,397,727",-,339,0
,"SP 2.2 Nakuru Municipality
Environmental Management","11,712,512","1,000,000","10,712,512",8.5,339,0
,"SP 2.3 Trade Markets
and Investments","950,016","1,500,000","(549,984)",157.9,339,0
,"SP 2.4 Nakuru Municipality
Social Services","1,752,145","2,000,000","(247,855)",114.1,339,0
Sub Total,,"63,812,400","262,077,635","59,312,400",7.1,339,0
Department of Naivasha Municipality,,,,,,339,0
"Programme 1:
Administration,
Planning and support
Services","S.P 1.1 Administration
and Planning","21,630,096",-,"21,630,096",-,340,0
,S.P 1.2: Personnel Services,"9,106,822","2,050,369","7,056,453",22.5,340,0
,S.P 1.3: Financial services,"600,000",-,"600,000",-,340,0
Sub Total,,"31,336,918","2,050,369","29,286,549",6.5,340,0
"Programme 2:
Naivasha Municipal
Services","S.P 2.1 Planning and
Infrastructure","39,855,238",-,"39,855,238",-,340,0
,"S.P 2.2 Environmental
Management and Sanitation","15,900,000",-,"15,900,000",-,340,0
,S.P 2.3 Naivasha Social Services,"900,000",-,"900,000",-,340,0
,"S.P 2.4 Tourism, Investment and
Trade","800,000",-,"800,000",-,340,0
Sub Total,,"57,455,238",-,"57,455,238",-,340,0
Department of County Assembly,,,,,,340,0
"Procedures and
Committee Services",Programme 1 Administrative,"512,429,857","24,649,757","487,780,100",4.8,340,0
,Programme 2 Legislative Services,"1,047,782,347","24,173,632","1,023,608,715",2.3,340,0
Sub Total,,"1,560,212,204","48,823,389","1,511,388,815",3.1,340,0
Grand Total,,"17,142,914,490","2,040,234,713","15,102,679,777",11.9,340,0
