Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expen-
diture as of 31st
December 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
"Trade, Cooper-
ative and En-
trepreneurship
Development
Services","Enterprise development and
promotion services","25,340,500","3,412,250","21,928,250",13.5,139,0
,"Cooperative development
services","47,382,200","1,875,500","45,506,700",4.0,139,0
,"Trade infrastructure and devel-
opment services","102,600,000","17,654,942","84,945,058",17.2,139,0
,Sub total,"175,322,700","22,942,692","152,380,008",13.1,139,0
"Tourism,
Industrial and
Investment
Promotion
Services","Value Chain Development
Services","21,017,800",-,"21,017,800",-,139,0
,"Tourism promotion and mar-
keting","19,975,070","3,607,999","19,975,070",-,139,0
,"Tourism infrastructure devel-
opment services","10,000,000",-,"10,000,000",-,139,0
,Industrial Park Development,"150,000,000",-,"150,000,000",-,139,0
,"Investment promotion and
facilitation","12,500,000",-,"12,500,000",-,139,0
,Sub total,"213,492,870","3,607,999","209,884,871",1.7,139,0
,Grand total,"555,262,862","81,625,191","473,637,671",14.7,139,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,139,0
"General
Administrative
services","Administrative Support
Services","268,482,343","68,689,326","199,793,017",25.6,139,0
,Policy and Planning Services,"6,000,000","2,550,400","3,449,600",42.5,139,0
,Sub total,"274,482,343","71,239,726","203,242,617",26.0,139,0
"Water Supply
and Manage-
ment Services",Urban Water Supply Services,"14,000,000",-,"14,000,000",-,140,0
,Rural Water Supply Services,"140,707,351","21,357,335","119,350,017",15.2,140,0
,"Industrial Water Supply
Services",-,-,-,-,140,0
,"Maintenance of Water Supply
Services",-,-,-,-,140,0
,Sub total,"154,707,351","21,357,335","133,350,017",13.8,140,0
"Energy Ser-
vices",Electrical Power Services,"40,000,000",-,"40,000,000",-,140,0
,Solar Power Services,"950,565",-,"950,565",-,140,0
,Renewable Energy Services,-,-,-,-,140,0
,Sub total,"40,950,565",-,"40,950,565",-,140,0
"Irrigation De-
velopment and
Management
Services","Irrigation Infrastructure De-
velopment and Rehabilitation
Services","4,087,470",-,"4,087,470",-,140,0
,"Small Holder Community
Irrigation Support Services",-,-,-,-,140,0
,Sub total,"4,087,470",-,"4,087,470",-,140,0
"Environmental
Protection and
Management
Services","Pollution and Waste Manage-
ment services","6,523,340",-,"6,523,340",-,140,0
,"Forestry Development Ser-
vices","10,500,000",-,"10,500,000",-,140,0
,Climate Change Governance,"6,713,617",,"6,713,617",,140,0
,"Climate Change Mitigation,
Adaptation and Resilience
Building","254,000,000","11,000,000","243,000,000",4.3,140,0
,Sub total,"277,736,957","11,000,000","266,736,957",4.0,140,0
,Grand Total,"751,964,686","103,597,061","648,367,626",13.8,140,0
"Governance and Administration, Communication and Devolution",,,,,,140,0
"Governance,
Administration
and Devolution
Services","Governance and Administra-
tion","294,368,112","72,590,474","221,777,638",24.7,140,0
,"Field Coordination and Ad-
ministration Services","32,450,400","21,246,031","11,204,369",-,140,0
,"Compliance and Enforcement
Services","24,710,000",-,"24,710,000",-,140,0
