Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,Strengthening Revenue Sources,"19,588,656","123,200","19,465,456",0.6,340,0
,"Revenue Forecast and Revenue
Budget Preparation","1,400,000","489,460","910,540",35.0,340,0
,"Completion of Lokiriama Revenue
Centre","9,500,000",-,"9,500,000",-,340,0
Accounting Services,,"151,549,611","4,441,050","147,108,561",2.9,340,0
,Specialized Training,"9,514,319","1,278,500","8,235,819",13.4,340,0
,Asset Management and Valuation,"6,361,307","210,000","6,151,307",3.3,340,0
,Projects/Supplies Verification,"8,155,233",-,"8,155,233",-,340,0
,"Construction and Fitting of IFMIS
Lab","17,451,643",-,"17,451,643",-,340,0
,Financial Reporting and Assurance,"10,067,109","2,952,550","7,114,559",29.3,340,0
,Emergency Fund,"100,000,000",-,"100,000,000",-,340,0
"County Economic
Planning Services",,"146,648,848","5,282,900","141,365,948",3.6,340,0
,Development of Plans and Policies,"14,283,060","2,313,400","11,969,660",16.2,340,0
,"Stakeholder Analysis for Risk
Informed and Evidence Based
Decision Making","4,294,503",-,"4,294,503",-,340,0
,"Kenya Devolution Support Pro-
gramme","30,000,000",-,"30,000,000",-,340,0
,"Completion of Citizen Resource
Centres","71,500,000",-,"71,500,000",-,340,0
,"Public Participation in Planning
Processes","10,654,930","2,969,500","7,685,430",27.9,340,0
,Development Co-ordination,"4,163,068",-,"4,163,068",-,340,0
,Research and Statistics,"7,473,287",-,"7,473,287",-,341,0
,Sector Plans Development,"4,280,000",-,"4,280,000",-,341,0
"County Procurement
Programme",,"7,590,103",-,"7,590,103",-,341,0
,"Support to Procurement Commit-
tees.","2,501,096",-,"2,501,096",-,341,0
,Project/Contract Management,"1,700,000",-,"1,700,000",-,341,0
,Procurement Systems,"1,675,822",-,"1,675,822",-,341,0
,"Supplier Engagement and Aware-
ness","1,713,185",-,"1,713,185",-,341,0
"Statistics, Monitoring
and Evaluation",,"14,961,366","3,413,500","11,547,866",22.8,341,0
,Monitoring and Evaluation,"14,961,366","3,413,500","11,547,866",22.8,341,0
Resource Mobilization,,"6,423,287",-,"6,423,287",-,341,0
,Resource Mobilization,"6,423,287",-,"6,423,287",-,341,0
Budgetary Supply,,"72,841,964","17,096,538","55,745,426",23.5,341,0
,"Budget Formulation, Co-ordination
and Management","54,053,172","12,346,040","41,707,132",22.8,341,0
,Public Participation in Budgeting,"10,073,416","1,944,630","8,128,786",19.3,341,0
,"County Budget and Economic
Forum","8,715,376","2,805,868","5,909,508",32.2,341,0
"General Administra-
tion and Support
Services",,"302,628,048","14,220,523","288,407,525",4.7,341,0
,"General Administration, Planning
and Support Services - Finance","142,722,233","11,630,123","131,092,110",8.1,341,0
,"General Administration, Planning
and Support Services - Economic
Planning","89,905,815","2,590,400","87,315,415",2.9,341,0
,County Headquarters Offices,"65,000,000",-,"65,000,000",-,341,0
,Security Access Installation,"5,000,000",-,"5,000,000",-,341,0
,Office of the Governor,,,,-,341,0
"General Administra-
tion and Support
Services",,"324,684,193","11,004,812","313,679,381",3.4,341,0
,"General Administration, Planning
and Support Services- Office of the
Governor","269,534,193","10,551,527","258,982,666",3.9,341,0
