Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"P5: Quality Assurance and
Standards",503003710,-,"2,204,000.00","30,493,159.00","8,855,426.00",,401.8,261,0
Sub Total,,"855,332,520.00","191,244,594.00","427,157,457.00","27,381,599.00",49.9,14.3,261,0
"Roads, Public Works & Transport",,,,,,,,261,0
"P1: General Administration
Planning and Support
Services",101003710,"132,467,797.00",-,"70,039,245.00","85,831,755.00",52.9,-,261,0
P4: Government Buildings,109003710,"6,111,650.00","8,000,000.00","8,588,115.00","2,290,925.00",140.5,28.6,261,0
P5: Road Transport,110003710,"22,107,000.00","503,843,772.00","21,298,410.00","270,429,674.00",96.3,53.7,261,0
Sub Total,,"160,686,447.00","511,843,772.00","99,925,770.00","358,552,354.00",62.2,70.1,261,0
Health & Sanitation,,,,,,,,261,0
"P1: General Administra-
tion, Planning & Support
Services",401003710,917704270,"151,740,505.00","898,594,855.00","34,102,307.00",97.9,22.5,261,0
"P2: Maternal and Child
Health",404003710,"959,490,136.00","22,087,656.00","133,529,219.00",-,13.9,-,261,0
