Program,"Sub Pro-
gramme",Description,Approved Budget,"Actual Expenditure
as of 31st March 2024",Absorption (%),page_number,table_index,col_6
,302003260,Trade Development programme.,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme","200,000.00","117,800.00",59,535,0,
3270001100,,Weights and Measures,"200,760.00","52,210.00",26,535,0,
,301003260,"General Administration and Support Services Pro-
gramme","200,760.00","52,210.00",26,535,0,
3270001200,,,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
3270001300,,Liquor Control and Licensing Fund,"2,000,000.00","1,154,744.00",58,535,0,
,301003260,"General Administration and Support Services Pro-
gramme","2,000,000.00","1,154,744.00",58,535,0,
3270001400,,,"518,850.00","1,118,935.00",216,535,0,
,301003260,"General Administration and Support Services Pro-
gramme","518,850.00","1,118,935.00",216,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
3271000100,,Headquarters,"9,086,343.00","4,756,493.00",52,535,0,
,703003260,Decentralised Infrastructure Development Programme,-,-,-,536,0,
,701003260,General Administration support services,"9,086,343.00","4,756,493.00",52,536,0,
3272000100,,Headquarters,"3,052,600.00","2,451,372.70",80,536,0,
,101003260,Administration Planning and Support Services,"3,052,600.00","2,451,372.70",80,536,0,
3272000200,,ICT,-,-,-,536,0,
,101003260,Administration Planning and Support Services,-,-,-,536,0,
,103003260,Infrastructure Development programme,-,-,-,536,0,
3272000300,,Roads,"148,565,600.00","15,265,919.00",10,536,0,
,103003260,Infrastructure Development programme,-,-,-,536,0,
,102003260,Development programme,"144,613,000.00","13,499,999.00",9,536,0,
,101003260,Administration Planning and Support Services,"3,952,600.00","1,765,920.00",45,536,0,
3272000400,,Housing,"96,300.00","39,000.00",40,536,0,
,103003260,Infrastructure Development programme,-,-,-,536,0,
,102003260,Development programme,-,-,-,536,0,
,101003260,Administration Planning and Support Services,"96,300.00","39,000.00",40,536,0,
3272000500,,Public Works,"265,000.00","90,500.00",34,536,0,
,101003260,Administration Planning and Support Services,"265,000.00","90,500.00",34,536,0,
,103003260,Infrastructure Development programme,-,-,-,536,0,
,102003260,Development programme,-,-,-,536,0,
3272000600,,Defunct Local Authorities,-,-,-,536,0,
,302003260,Trade Development programme.,-,-,-,536,0,
,103003260,Infrastructure Development programme,-,-,-,536,0,
3273000100,,Headquarters,"61,121,587.00","24,650,749.80",40,536,0,
,102003260,Development programme,"56,550,000.00","21,067,280.00",37,536,0,
,1003003260,Natural Resources Support Programme,-,-,-,536,0,
,101003260,Administration Planning and Support Services,"4,571,587.00","3,583,469.80",78,536,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,536,0,
3273000200,,Mwatate Municipal Administration,"1,650,000.00","682,513.00",41,536,0,
,1003003260,Natural Resources Support Programme,-,-,-,536,0,
,102003260,Development programme,-,-,-,536,0,
,101003260,Administration Planning and Support Services,"1,650,000.00","682,513.00",41,536,0,
3273000300,,,"14,541,169.00","1,324,191.00",9,536,0,
,102003260,Development programme,"13,646,169.00",-,-,536,0,
,1003003260,Natural Resources Support Programme,-,-,-,536,0,
,101003260,Administration Planning and Support Services,"895,000.00","1,324,191.00",148,536,0,
3273000400,,,-,-,-,536,0,
,102003260,Development programme,-,-,-,536,0,
,101003260,Administration Planning and Support Services,-,-,-,536,0,
3273000500,,Environment and Natural Resources,"607,500.00","1,154,000.00",190,536,0,
,1003003260,Natural Resources Support Programme,-,-,-,536,0,
