Programme,Sub-Programme,"Approved Supplementary Bud-
get Estimates FY 2023/24",col_3,"Actual Expenditure as of 31st
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,Standards & Quality Assurance,"2,800,000",-,"2,800,000",-,100.0,-,380,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",381,0
"Preventive & Promo-
tive Health Services",Environmental health services,"2,100,000",-,"1,700,000",-,81.0,-,381,0
,"Human Nutrition & Dietetics
services","3,700,000",-,"100,000",-,2.7,-,381,0
,HIV/AIDS management,"2,900,000",-,"1,200,000",-,41.4,-,381,0
,TB control,"2,900,000",-,"500,000",-,17.2,-,381,0
,Malaria Control,"3,300,000",-,"100,000",-,3.0,-,381,0
,"Non-Communicable Diseases
(NCDs)","2,900,000","4,000,000",-,-,-,-,381,0
,"Disease surveillance/ Emergency
preparedness","2,500,000",-,"500,000",-,20.0,-,381,0
,"Maternal & Reproductive Health
services","5,660,000",-,-,-,-,-,381,0
,"Neonatal, Child, Adolescent &
Youth health services","3,200,000",-,-,-,-,-,381,0
,"Expanded Program for Immuniza-
tion (Immunization","4,000,000",-,-,-,-,-,381,0
,"Gender-Based Violence health
services","4,200,000",-,-,-,-,-,381,0
Pending Bills,Pending Bills,"93,267,995","44,478,239","11,152,520","40,350,710",12.0,90.7,381,0
Donor Funds,Donor Funds,-,"124,723,404",-,-,-,-,381,0
"Curative, Rehabil-
itative & Referral
Services",Ambulance & Referral Services,"16,500,000",-,"3,194,403",-,19.4,-,381,0
,Hospital-Level Services,-,"10,000,000",-,-,-,-,381,0
,Health Products & Technologies,"113,840,996",-,"76,575,130",-,67.3,-,381,0
,"Diagnostic & Rehabilitation
Services","26,500,000",-,"11,619,350",-,43.8,-,381,0
,Health Services Management Fund,"135,000,000","5,000,000","59,472,354",-,44.1,-,381,0
,Sub- Total,"1,796,852,842","410,745,880","1,270,283,029","40,350,710",70.7,9.8,381,0
Department of Health Services & Sanitation,,,,,,,,381,0
"Planning & Admin-
istrative Support
Services","Policy formulation, planning,
Monitoring & evaluation, Research,
& learning.","20,600,000",-,"12,310,000",-,59.8,-,381,0
,Administration & support services,"26,393,818",-,"13,880,025",-,52.6,-,381,0
,"Human Resource Management &
Development","26,600,000",-,"2,400,000",-,9.0,-,381,0
,"Infrastructure & Health Facility
Management","19,694,473","100,936,943","14,788,873","10,126,830",75.1,10.0,381,0
,"Health Financing & Universal
Health Coverage (UHC) coordi-
nation","26,300,000",-,"100,000",-,0.4,-,381,0
,Standards & Quality Assurance,"550,000",-,"100,000",-,18.2,-,381,0
,"Community health infrastructure
services (CHVs)","32,908,754",-,"6,465,378",-,19.6,-,381,0
Donor Funds,DANIDA,"26,754,689",-,-,-,-,-,381,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",382,0
"Preventive & Promo-
tive Health Services","Human Nutrition & Dietetics
services","2,600,000",-,"1,345,991",-,51.8,-,382,0
,HIV/AIDS management,"11,970,000",-,"1,400,000",-,11.7,-,382,0
,TB control,"1,400,000",-,"1,400,000",-,100.0,-,382,0
,Malaria Control,"2,700,000",-,"780,000",-,28.9,-,382,0
,"Non-Communicable Diseases
(NCDs)","1,600,000",-,"135,000",-,8.4,-,382,0
,"Disease surveillance/ Emergency
preparedness","8,500,000",-,"2,640,000",-,31.1,-,382,0
,Health promotion & education,"1,800,000",-,"443,000",-,24.6,-,382,0
,"Maternal & Reproductive Health
services","4,200,000",-,"695,000",-,16.5,-,382,0
,"Neonatal, Child, Adolescent &
Youth health services","1,400,000",-,"768,500",-,54.9,-,382,0
,"Expanded Program for Immuniza-
tion (Immunization)","3,400,000",-,"350,000",-,10.3,-,382,0
,"Gender-Based Violence health
services","900,000",-,"225,000",-,25.0,-,382,0
,"Neglected Tropical Diseases
services.","1,050,000",-,"225,000",-,21.4,-,382,0
,Environmental health services,"2,300,000",-,"369,000",-,16.0,-,382,0
Donor Funds,Donor Funds-THS,"4,801,620",-,-,-,-,-,382,0
Pending Bills,Pending Bills,-,"83,826,542",-,"83,862,204",-,100.0,382,0
"Curative, Rehabil-
itative & Referral
Services",Health Products & Technologies,"80,400,000",-,"25,431,959",-,31.6,-,382,0
,"Diagnostic & Rehabilitation
Services","800,000",-,"195,000",-,24.4,-,382,0
,Sub- Total,"309,623,354","184,763,485","86,447,726","93,989,034",27.9,50.9,382,0
"Department of Environment, Natural Resources, Climate Change and Disaster Management",,,,,,,,382,0
"General administration
& support services",General administration,"37,967,116",-,"24,570,162",-,64.7,-,382,0
"Environment Manage-
ment & Protection",Solid Waste Management Services,"9,267,000",-,"2,867,170",-,30.9,-,382,0
,Garbage Management,"35,000,000",--,"23,721,400",-,67.8,--,382,0
"Mazingira Youth
Programme",Mazingira Youth Programme,"24,000,000",-,"21,220,000",-,88.4,-,382,0
Donor Funds,Climate change response strategy,"4,099,573",-,0,-,-,-,382,0
"Climate Change Adap-
tation & Mitigation",Climate change response strategy,"121,300,000","666,500,000","12,688,700",-,10.5,-,382,0
Pending Bills,Pending Bills,"1,300,000",-,"1,000,000",-,76.9,-,382,0
"Natural Resources
Management & Forest-
ry Development",Forestry development,"1,823,223",-,-,-,-,-,382,0
,Artisanal mining & quarry services,-,-,-,-,-,-,382,0
,Sub- Total,"234,756,912","666,500,000","86,067,432",-,36.7,-,382,0
Department of Finance & Economic Planning,,,,,,,,382,0
"General administration
& support services","Administrative Services (Account-
ing)","506,812,722",-,"184,121,365",-,36.3,-,382,0
,"Administrative Services (procure-
ment)","31,720,000",-,"27,262,700",-,85.9,-,382,0
,Administrative Services(Economic),"23,440,000","3,000,000","17,891,600",-,76.3,-,382,0
"Finance & Accounting
services",Accounting services,"174,840,790",-,"73,550,599",-,42.1,-,382,0
,Emergency Activities/Fund,"15,000,000",--,"11,922,990",-,79.5,-,382,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",383,0
"Resource Mobilization
services",Resource Mobilization services,"49,500,000",-,"19,350,330",-,39.1,-,383,0
,Revenue board services,"6,300,000",-,-,-,-,-,383,0
"Supply chain manage-
ment services",Supply chain management services,"5,040,000","7,000,000","3,632,515",-,72.1,-,383,0
Audit services,Audit services,"38,138,326",-,"35,089,270",-,92.0,-,383,0
,Internal Audit Committee,"4,600,000",-,"4,550,000",-,98.9,-,383,0
County Asset Valuation,County Asset Valuation,"10,000,000",-,"9,973,620",-,99.7,-,383,0
Pending Bills,Pending Bills,"3,799,776","14,121,866","1,656,000","9,036,045",43.6,64.0,383,0
"Economic Planning
Services",Policy plans & formulation,"18,000,000",-,"14,000,000",-,77.8,-,383,0
Budgeting Services,Budget coordination & management,"66,516,061",-,"61,781,817",-,92.9,-,383,0
"County Statistical
Information Services","County Statistical Information
Services","9,146,243",-,"8,028,267",-,87.8,-,383,0
"County Budget &
Economic Forum
Services","County Budget & Economic Forum
Services","10,000,000",-,"8,981,350",-,89.8,-,383,0
,Sub- Total,"972,853,918","24,121,866","481,792,423","9,036,045",49.5,37.5,383,0
"Department of Lands, Physical Planning, Housing and Urban Development",,,,,,,,383,0
"General administrative
services",Administrative Services(lands),"39,100,756","14,600,087","24,593,633","3,299,672",62.9,22.6,383,0
,Administrative Services (physical),"54,381,010","36,400,000","31,378,973","18,381,409",57.7,50.5,383,0
,Administrative Services (Rongo),"11,244,625","10,346,227","4,054,270",-,36.1,-,383,0
,Administrative Services (Kehancha),"12,204,624","5,400,000","3,120,000","3,028,412",25.6,56.1,383,0
,Administrative Services (Migori),"11,244,625","17,505,755","3,479,682",-,30.9,-,383,0
,Administrative Services (Awendo),"11,244,625","21,026,200","4,457,212",-,39.6,-,383,0
,Board Activities (Rongo),"6,300,000",-,"2,089,000",-,33.2,-,383,0
,Board Activities (Kehancha,"6,300,000",-,"2,097,400",-,33.3,-,383,0
,Board Activities (Migori),"6,300,000",-,"2,765,000",-,43.9,-,383,0
,Board Activities (Awendo),"6,300,000",-,"1,222,000",-,19.4,-,383,0
"Physical Planning
Services",Physical Planning Services,"8,000,000",-,"5,846,500",-,73.1,-,383,0
Pending Bills,Pending Bills,"850,000","3,735,203","250,000","3,235,290",29.4,-,383,0
"Urban Development
Services",Urban Development Services,"6,957,244",-,"610,100",-,8.8,-,383,0
