Programme,Sub-Programme,"Approved Estimates
FY 2023/24 (Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index,col_6
Municipal Services,"General Admin Planning and
Support Services","13,380,000","5,356,934","8,023,066",40.0,587,0,
,Urban Development Grant,"1,912,497","1,652,395","260,102",86.4,587,0,
,Municipal Planning,"21,100,000","477,800","20,622,200",2.3,587,0,
,Municipal Infrastructure,"262,066,876","400,000","261,666,876",0.2,587,0,
,Research Development Extension,"4,558,938","735,300","3,823,638",16.1,587,0,
,Municipal Services,"42,550,000","14,918,000","27,632,000",35.1,587,0,
,Sub Total,"345,568,311","23,540,429","322,027,882",6.8,587,0,
Kakuma Municipality,,,,,,587,0,
Municipal Services,"General Admin Planning and
Support Services","11,678,934","5,894,000","5,784,934",50.5,587,0,
,Municipal Planning,"2,523,823",-,"2,523,823",-,587,0,
,Municipal Services,"4,797,243",-,"4,797,243",-,587,0,
,Sub Total,"19,000,000","5,894,000","13,106,000",31.0,587,0,
Grand Total,,"17,097,070,470.00","8,964,714,046.00","6,351,545,100.00",52.4,587,0,
