col_0,col_1,col_2,Revised Estimates (Kshs.),col_4,Expenditure (Kshs.),col_6,Absorption %,col_8,page_number,table_index
,"Efficiency
Monitoring Unit
(EMU)","Efficiency
Monitoring
Unit (EMU)",-,-,-,-,,-,622,0
704003372,,,"769,115,415.00","4,500,000.00","388,867,806.15","4,499,850.00",51,100,622,0
,"Human Resourc-
es Management
and Capacity
Building","Human
Resources
Management
and Capacity
Building","741,471,415.00",-,"372,772,812.15",-,50,-,622,0
,"Capacity building
on county staff
- contracted
services","Capacity build-
ing on county
staff - contract-
ed services",-,-,-,-,-,-,622,0
,"Decentralised
Units Services","Decentralised
Units Services","27,644,000.00","4,500,000.00","16,094,994.00","4,499,850.00",58,100,622,0
713003372,,,"4,369,600.00",-,"3,140,680.00",-,72,-,622,0
,"Town Sanitation
Services","Town Sanita-
tion Services","4,369,600.00",-,"3,140,680.00",-,72,-,622,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",623,0
,"Town Improve-
ment services","Town Improve-
ment services",-,-,-,-,-,-,623,0
714003372,,,-,-,-,-,-,-,623,0
,"SP6 TOWN
INFRASTRUC-
TURE IM-
PROVEMENT","SP6 TOWN
INFRA-
STRUCTURE
IMPROVE-
MENT",-,-,-,-,-,-,623,0
716003372,,,"121,717,830.00",-,"33,715,444.00",-,28,-,623,0
,"Inter-governmen-
tal relations and
EMU","Inter-govern-
mental relations
and EMU",-,-,-,-,,-,623,0
,"Conflict Resolu-
tion and Security","Conflict
Resolution and
Security","9,944,830.00",-,"6,581,714.00",-,66,-,623,0
,"Disaster Man-
agement and
Coordination of
Humanitarian
Services","Disaster Man-
agement and
Coordination of
Humanitarian
Services","111,773,000.00",-,"27,133,730.00",-,24,-,623,0
717003372,,,-,-,-,-,,-,623,0
,"General admin-
istration and
support services","General admin-
istration and
support services",-,-,-,-,,-,623,0
719003372,,,-,-,-,-,,-,623,0
,"Urban Develop-
ment Services","Urban Develop-
ment Services",-,-,-,-,,-,623,0
720003372,,,"9,336,000.00",-,"3,580,380.00",-,38,-,623,0
,Service Delivery,"Service De-
livery","9,336,000.00",-,"3,580,380.00",-,38,-,623,0
721003372,,,"3,256,400.00",-,"2,484,400.00",-,76,-,623,0
,"Governance and
Ethics","Governance
and Ethics","3,256,400.00",-,"2,484,400.00",-,76,-,623,0
,Total,Total,"923,879,245.00","4,500,000.00","484,363,931.15","4,499,850.00",52,100,623,0
"3364-Wajir - Roads, Transport and Public Works",,,,,,,,,623,0
110003364,,,"3,670,000.00",-,"2,784,570.00",-,76,-,623,0
,"Housing Devel-
opment Capacity
building","Housing Devel-
opment Capaci-
ty building","3,670,000.00",-,"2,784,570.00",-,76,-,623,0
,"Tarmacking of 25
km Wajir roads","Tarmacking of
25 km Wajir
roads",-,-,-,-,,-,623,0
,"Construction of
roads","Construction of
roads",-,-,-,-,,-,623,0
,"Maintenace &
Rehabilitation of
County Roads
and Bridges","Maintenace &
Rehabilitation
of County
Roads and
Bridges","15,441,996.00","376,110,872.00","12,458,246.00","9,910,988.40",81,3,623,0
,"Construction of
County Roads
and Bridges","Construction of
County Roads
and Bridges",-,-,-,-,-,-,623,0
,"Construction of
drifts/culverts","Construction of
drifts/culverts",-,-,-,-,-,-,623,0
202003364,,,"112,910,000.00","233,748,517.00","79,530,647.35","193,016,471.25",70,83,623,0
,"County Transport
Services","County Trans-
port Services","110,880,000.00",-,"79,001,447.35",-,71,-,623,0
,"Mobile weigh
bridges","Mobile weigh
bridges",-,-,-,-,-,-,623,0
,"Public Works
Infrastructure
Services","Public Works
Infrastructure
Services","2,030,000.00","233,748,517.00","529,200.00","193,016,471.25",26,83,623,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",624,0
,"General admin-
istration and
support services","General admin-
istration and
support services","125,966,380.00",-,"149,693,262.15",-,119,-,624,0
,Total,,"257,988,376.00","609,859,389.00","189,466,725.50","204,927,459.65",73,3,624,0
"3370-Wajir -
Trade, Indus-
trialization,
Co-operative
Development","ICT Infra-
structure
Improvement &
Enhancement
Services","ICT Infra-
structure Im-
provement &
Enhancement
Services","5,372,860.00","6,000,000.00","4,053,640.00","1,996,000.00",75,33,624,0
,"General adminis-
tration, Planning
and Support
Services","General
administra-
tion, Planning
and Support
Services","137,954,887.00",-,"37,791,486.00",-,27,-,624,0
,"Business Support
& Investment
Services","Business
Support &
Investment
Services","12,160,000.00","5,000,000.00","1,529,200.00",-,13,-,624,0
