Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.) (","Variance
Kshs.)",Absorption (%),page_number,table_index,"Actual Payments
(Kshs.)","Variance
(Kshs.)"
,Sub Total,"338,540,574",,,29.4,171,0,"99,623,220","238,917,354"
,Public Participation Services,"15,440,000",,,4.2,171,0,"647,700","14,792,300"
"Representation Ser-
vices & Public Partic-
ipation",,,,,,171,0,,
,Sub Total,"15,440,000",,,4.2,171,0,"647,700","14,792,300"
"Legislation and Over-
sight Services",Legislation and Oversight Services,"158,443,295",,,49.4,171,0,"78,327,502","80,115,793"
,,,,,-,171,0,,
,Policy Services (Speaker’s Office),"36,838,194",,,36.9,171,0,"13,588,378","23,249,815"
,Sub Total,"195,281,489",,,47.1,171,0,"91,915,881","103,365,608"
"County Planning &
Development Coordi-
nation Services","County Planning and Development Coordi-
nation","16,490,969",,,19.2,171,0,"3,164,044","13,326,925"
,Sub Total,"16,490,969",,,19.2,171,0,"3,164,044","13,326,925"
,Sustainable Access To Safe Water,"750,000",,,4.4,171,0,"33,000","717,000"
"Conservation and
Management of Natu-
ral Lecosystems",Water Resources & Sewerage Services,"323,429,792",,,4.2,171,0,"13,595,118","309,834,674"
,,,,,-,171,0,,
,Sub Total,"324,179,792",,,4.2,171,0,"13,628,118","310,551,674"
"Environment Plan-
ning and Management",,,,,-,171,0,,
,"Environmental Conservation of Natural Re-
sources","1,190,000",,,8.3,171,0,"99,000","1,091,000"
,Solid Waste Management,"3,190,998",,,5.1,171,0,"163,905","3,027,093"
,Sub Total,"4,380,998",,,6.0,171,0,"262,905","4,118,093"
"Pollution Manage-
ment",Pollution Control,"1,172,840",,,2.6,171,0,"30,000","1,142,840"
,Sub Total,"1,172,840",,,2.6,171,0,"30,000","1,142,840"
"Culture and Arts De-
velopment",Culture and Heritage Development,"5,079,400",,,-,171,0,-,"5,079,400"
,Artistic Talent Development,"4,040,700",,,2.5,171,0,"102,200","3,938,500"
,Sub Total,"9,120,100",,,1.1,171,0,"102,200","9,017,900"
,Grand Total,"12,780,355,751",,,30.8,171,0,"3,941,452,120","8,858,897,259"
