Name of the Programme,"Approved Estimates
FY 2021/22 (Kshs.)","Expenditure 1/7/21-
31/03/22 (Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
Energy Development Programme,"13,999,432",-,"13,999,432",-,433,0
Renewable Energy Development,"13,999,432",-,"13,999,432",-,433,0
Turkana Water Programme,"379,825,629","33,711,772","346,113,857",8.9,433,0
"General Administration, Planning and support
services","12,000,000",-,"12,000,000",-,433,0
"Construction and Desilting of Water Pans/Rock
Catchment","61,277,771",-,"61,277,771",-,433,0
Rehabilitation of Water Infrastructure,"180,404,530","22,368,820","158,035,710",12.4,433,0
Drilling and Equipping of Boreholes,"117,010,172","10,625,652","106,384,520",9.1,433,0
Equipment of Quality Analysis Laboratory,"4,800,000",-,"4,800,000",-,433,0
Project Coordination and Management,"4,333,156","717,300","3,615,856",16.6,433,0
Joint planning with stakeholders,"32,510,550","1,087,140","31,423,410",3.3,433,0
Technical planning and design,"32,510,550","1,087,140","31,423,410",3.3,433,0
"IRRIGATION AND SCHEMES DEVELOP-
MENT PROGRAMME","5,078,734","565,920","4,512,814",11.1,433,0
"Feasibility studies for irrigation systems develop-
ment","5,078,734","565,920","4,512,814",11.1,433,0
TURKANA AGRICULTURE PROGRAMME,-,-,-,-,433,0
Farmers training,-,-,-,-,433,0
Establishment of farm demonstrations and trials,-,-,-,-,433,0
Organising field days show and exhibitions,-,-,-,-,433,0
Climate Change & Adaptation,-,-,-,-,433,0
TURKANA REHABILITATION PROGRAMME,-,-,-,-,433,0
"Construction of trapezoidal bunds, contours &
micro catchment",-,-,-,-,433,0
Construction of rock catchments and sand dams,-,-,-,-,433,0
The sinking of shallow wells,-,-,-,-,433,0
