Programme,Sub Programme,"Approved Estimates
(Kshs.)",col_3,"Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP 2.6 HIV pro-
gramme","2,000,000",-,"1,636,580",-,81.8,-,475,0
,SP 2.7 Nutrition,"10,000,000","19,980,932","6,328,313","16,362,212",63.3,81.9,475,0
,"SP 2.8 Reproduc-
tive health","1,750,000",-,-,-,-,-,475,0
,"SP 2.9 immuni-
sation","1,825,775",-,"489,600",-,26.8,-,475,0
"Programme 3
Health curative
And Rehabilitative
services","SP 3.1 Provision
of essential health
services in all","1,226,659,650","640,147,581","1,079,537,146","84,728,700",88.0,13.2,475,0
,"SP 3.2 Elimination
of communicable
and non-communi-
cable diseases","2,200,000",-,-,-,-,-,475,0
,"SP 3.3 Human
resource","322,427,403",-,"381,130,266",-,118.2,-,475,0
,Sub Total,"6,042,315,980","1,282,084,279","5,283,537,015","326,663,403",87.4,25.5,475,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,476,0
"Department of Lands, Physical Planning andHousing",,,,,,,,476,0
"Programme 1:
Administration,
Planning, Manage-
ment and Support
Services","SP 1.1: Adminis-
tration andFinan-
cial Services","61,207,650.00",,"30,814,426.41",,,-,476,0
,"SP 1.2: Personnel
Services","83,802,757.00",,"83,802,757.00",,100.00,0,476,0
,Sub Total,"145,010,407.00",,"114,617,183.41",,79.04,,476,0
"Land Use Planning
andSurvey","SP 2.1: Nakuru
County Land Use
Plan",,"598,878,240.00",,"41,235,427.00",-,6.89,476,0
,"SP 2.2: LandIn-
formation Man-
agement System
(LIM)",,"3,400,000.00",,,-,,476,0
,"SP 2.3: Urban
Plan and Devel-
opment",,"1,925,000.00",,,-,,476,0
,"SP 2.4: Survey
and Mapping of
Nakuru County",,"2,167,500.00",,,-,,476,0
,"SP 2.5: Surveying
of Urban Centres",,"1,048,045.00",,,-,,476,0
,"SP 2.6: Surveying
of County Estate
andFacilitation of
Lease Processing",,"1,000,000.00",,,-,,476,0
,"SP 2.7: Establish-
ment of a Survey
Centre and Map-
ping Centre",,"1,000,000.00",,,-,,476,0
,Sub Total,-,"609,418,785.00",,"41,235,427.00",-,6.89,476,0
"Programme 3:
Housing Develop-
ment and Manage-
ment","SP 3.1: Mainte-
nance of County
Estates",,"5,168,622.00",,,-,-,476,0
,"SP 3.2: Housing
Technology
(Establishment of
ABMT Centres)",,"3,500,000.00",,,-,-,476,0
,"SP 3.3: Develop-
ment of Afford-
able Housing
And Housing
Infrastructure",,"6,479,073.00",,,-,-,476,0
,Sub Total,-,"15,147,695.00",,,-,,476,0
Total,,"145,010,407.00","624,566,480.00","114,617,183.41","41,235,427.00",79.04,6.89,476,0
"Department of Trade, Cooperatives, Industrialisation And tourism",,,,,,,,476,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,477,0
"Programme 1
Administration
planning","SP 1.1 Administra-
tion, planning and
support services","29,133,361",-,"20,918,224",-,71.8,-,477,0
,"SP 1.2 Personnel
services","60,750,957",-,"49,185,218",-,81.0,-,477,0
,"SP 1.3 financial
services",-,-,-,-,-,-,477,0
"Programme 2
cooperatives","SP 2.1management
of market cooper-
atives","502,075","26,799,010","798,230",-,159.0,-,477,0
,"SP 2.2 Sacc0 em-
powerment","1,825,460",-,"825,460",-,45.2,-,477,0
,"SP 2.3 cooperatives
leadership and
governance","3,435,365",-,"1,435,365",-,41.8,-,477,0
,"SP 2.4 Strengthen-
ing cooperatives","1,584,600",-,"584,600",-,36.9,-,477,0
,"SP 2.5 Empowering
youth, women and-
peds participation
in cooperatives",-,-,-,-,-,-,477,0
"programme 3:
Commerce andEnt-
erprise","SP 3.1 Business de-
velopment services
for SMEs","2,179,483",-,"1,078,500",-,49.5,-,477,0
,"SP 3.2 Producer
business groups","2,000,000",-,"1,175,800",-,58.8,-,477,0
,"SP 3.3 SMES
training","1,974,892",-,"860,000",-,43.5,-,477,0
,"SP 3.4 SMES
funding",-,-,-,-,-,-,477,0
,"SP 3.5 Establish-
ment of business in-
cubation enterprise
canters","177,500","100,000,000","140,100",-,78.9,-,477,0
,"SP 3.6 consumer
protection","39,144,376","3,000,000","2,094,930",-,5.4,-,477,0
"Programme 4
market","SP 4.1 Market
rehabilitation",-,"29,838,924",-,"19,552,227",-,65.5,477,0
,"SP 4.2 Develop-
ment of new market",-,"80,530,320",-,"2,700,674",-,3.4,477,0
,"SP 4.3 Market users
delivery services","15,216,250",-,"13,418,300",-,88.2,-,477,0
"Programme 5
Tourism","SP 5.1 Promotion
of local tourism","3,907,500","4,998,000","1,486,752",-,38.0,-,477,0
,"SP 5.2 Manage-
ment of county
tourism informa-
tion centre","72,850","1,827,143",-,-,-,-,477,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,478,0
"Programme 6 Al-
coholic drinks And
Control","SP 6.1 inspection,
approval andliquor
licencing","5,000,000",-,"4,486,250",-,89.7,-,478,0
,"SP 6.2 Liquor
enforcement and-
compliance","834,749",-,"708,200",-,84.8,-,478,0
,"SP 6.3 research and
Innovation","634,001",-,-,-,-,-,478,0
,"SP 6.4 Treatment
and Rehabilitation
of persons depen-
dent on alcoholic
drinks",-,-,-,-,-,-,478,0
,"SP 6.5 Education
and Training of
sub-county and
Review committee","1,040,000",-,"629,460",-,60.5,-,478,0
,Sub Total,"134,110,569","246,993,397","99,898,239","19,822,901",74.5,8.0,478,0
Grand Total,,"12,870,006,451","8,339,092,465","10,520,709,934","3,008,132,002",81.7,36.1,478,0
