Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual expenditure as of 30th June
2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,207033710,"195,100.00","6,921,140.00","123,000.00","5,657,624.00",63%,82%,286,0
,Sub Total,"70,224,111.00","49,221,414.00","67,438,962.00","47,537,287.00",96%,97%,286,0
Grand Total,,,,,,,,286,0
3726 KITUI - Ministry of Livestock Apiculture andFisheries Development,,,,,,,,286,0
Agriculture,102013710,"4,698,070.00","297,098,909.00","4,203,559.00","264,630,412.00",89%,89%,286,0
,103013710,"10,123,527.00","95,000,000.00","10,728,342.00","84,843,926.00",106%,89%,286,0
,103023710,"21,859,315.00","67,531,982.00","17,485,241.00","29,722,833.00",80%,44%,286,0
"General Adminis-
tration",101013710,"247,216,467.00",,"247,283,817.00",,100%,,286,0
,105013710,"1,266,776.00","1,000,000.00","1,072,550.00","688,650.00",85%,69%,286,0
Livestock Devt,106013710,"4,251,893.00","9,598,750.00","3,895,062.00","10,179,900.00",92%,106%,286,0
,106023710,"4,679,993.00","10,748,650.00","3,796,588.00","7,599,098.00",81%,71%,286,0
,Sub Total,"294,096,041.00","480,978,291.00","288,465,159.00","397,664,819.00",98%,83%,286,0
"3727-Ministry of Lands and Phys-
ical Planning",,,,,,,,286,0
"General Adminis-
tration",101013710,"65,847,579.00",-,"58,767,330.00",-,89%,-,286,0
LandAdjudication,108023710,"3,375,000.00","3,683,111.00","2,834,183.00","1,941,400.00",84%,53%,286,0
"LandInformation
andMgt",108013710,"2,950,000.00","7,300,000.00","2,538,890.00",,86%,0%,286,0
LandSurvey,108023710,"2,450,000.00","9,500,000.00","2,304,971.00","4,592,850.00",94%,48%,286,0
Lands andHousing,107013710,"2,355,950.00","15,023,045.00","1,960,520.00",,83%,0%,286,0
,Sub Total,"76,978,529.00","35,506,156.00","68,405,894.00","6,534,250.00",89%,18%,286,0
"3728-Kitui - Office of the Deputy
Governor",,,,,,,,286,0
"Administration
Planning and Sup-
port Services",701013710,"9,940,196.00",-,"9,749,213.00",-,98%,-,286,0
"Performance Mgt
andDisaster Miti-
gation",717013710,"13,879,000.00","5,421,000.00","13,747,361.00","1,065,250.00",99%,20%,286,0
"Tourism Devt and
Promotion",305013710,"1,752,922.00","884,853.00","1,736,402.00",-,99%,0%,286,0
,305033710,"1,909,773.00","500,000.00","1,841,509.00",-,96%,0%,286,0
,1003023710,"17,843,393.00",,"17,564,889.00",-,98%,-,286,0
,Sub Total,"45,325,284.00","6,805,853.00","44,639,374.00","1,065,250.00",98%,16%,286,0
Grand Total,,"8,662,902,604.00","3,643,149,961.00","8,223,403,805.00","2,129,458,519.00",95%,58%,286,0
