"Pro-
gramme",Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th June 2023(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"4220-Samburu - Trade, Tourism andCooperative Development",,,,,,,,569,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"29,470,140.00","175,500,000","22,970,827","221,329,961",78,126,569,0
,"General ad-
ministration","29,470,140.00","175,500,000","22,970,827","221,329,961",78,126,569,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",570,0
"Coopera-
tives De-
velopment
and Man-
agement",,"28,236,026.00","3,000,000","27,304,917","1,960,200",97,65,570,0
,"SACCO members'
empowerment",-,-,-,-,,,570,0
,"Enhance Market-
ing Cooperatives","28,236,026.00","3,000,000","27,304,917","1,960,200",97,65,570,0
"Coop-
erative
Support
andAdviso-
ry Services",,-,-,-,-,-,-,570,0
,"Business Devel-
opment Services
for MSEs",-,-,-,-,-,-,570,0
"Tourism
Develop-
ment and-
Promotion",,"121,274,745.00",-,"96,861,225",-,80,-,570,0
,"Tourism and
Infrastructure
Development",-,-,-,-,-,-,570,0
,"Tourism Train-
ing & Capacity
Building",-,-,-,-,-,-,570,0
,"Establish & Man-
agement of Coun-
ty Tourism Infor-
mation Centre","121,274,745.00",-,"96,861,225",-,80,-,570,0
"Trade De-
velopment
andPro-
motion",,"25,958,084.00",-,"23,970,751",-,92,-,570,0
,"Domestic trade
development","25,438,084.00",-,"23,452,804",-,92,-,570,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",571,0
,"Market devel-
opment and-
promotion of
fair-trade services","520,000.00",-,"517,947",-,100,-,571,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"11,570,856.00","15,500,000","9,430,252","5,399,030",82,35,571,0
,"General Ad-
ministration
Planning and
Support Services","11,570,856.00","15,500,000","9,430,252","5,399,030",82,35,571,0
,Sub Total,"216,509,851.00","194,000,000","180,537,972","228,689,191",83,118,571,0
"4221-Sam-
buru
- Gender,
Culture
and Social
Services",,-,-,-,-,-,-,571,0
"Promotion
of youth
empow-
erment",,-,-,-,-,-,-,571,0
,"Promotion
of youth em-
powerment",-,-,-,-,-,-,571,0
"Sports De-
velopment,
Training
andCom-
petition",,"43,505,532.00","8,223,012","37,316,527","7,750,391",86,94,571,0
,"Sports Develop-
ment, Training
& Competition","43,505,532.00","8,223,012","37,316,527","7,750,391",86,94,571,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",572,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"28,359,158.00","16,500,000","26,775,454","15,498,682",94,94,572,0
,"General Ad-
ministration
Planning and
Support Services","28,359,158.00","16,500,000","26,775,454","15,498,682",94,94,572,0
"Social
Welfare
and gender",,"32,492,666.00",-,"21,029,972",-,65,-,572,0
,"Community
Mobilization
andDevelopment","6,111,580.00",-,"3,886,888",-,64,-,572,0
,"Development
andPromotion
of Culture","7,676,086.00",-,"6,942,510",-,90,-,572,0
,"Social Welfare
and gender","17,735,000.00",-,"9,400,940",-,53,-,572,0
,"Conservation
of Heritage","970,000.00",-,"799,634",-,82,-,572,0
"Promotion
of other
sports
activities",,"4,390,000.00",-,"4,352,600",-,99,-,572,0
,"Development and
management of
sports facilities","4,390,000.00",-,"4,352,600",-,99,-,572,0
"Develop-
ment and
Manage-
ment of
Sports
Facilities",,"16,118,194.00",-,"15,048,600",-,93,-,572,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",573,0
,"General Admin-
istration Planning
and Support
Services (Sports)","16,118,194.00",-,"15,048,600",-,93,-,573,0
,Sub Total,"124,865,550.00","24,723,012","104,523,153","23,249,073",84,94,573,0
"4221-Sam-
buru -
Assembly",,,,,,,,573,0
Assembly,,"535,331,727.00","131,000,000","79,310,440","128,860,339",15,98,573,0
,"Legislative
andOversight","79,310,440.00","131,000,000","79,310,440.00","128,860,339",100,98,573,0
,"County Assembly
Administration","209,111,158.00",-,"209,111,158.00",-,100,-,573,0
,Representation,"246,910,129.00",-,"246,910,129.00",-,100,-,573,0
,Grand Total,"4,794,780,850.00","2,184,826,388.00","4,491,864,165.00","1,837,438,169.55",94,84,573,0
