Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as
of 31 December, 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
Sub Total,,23.01,48.82,8.39,44.24,37,91,92,0
"Lands, Urban and Physical Planning",,,,,,,,92,0
"Programme 1: General Administration,
Planning and Support Services",,53.38,-,23.14,-,43,,92,0
,"SP: Human Resource Devel-
opment and Management",33.25,,18.13,,55,,92,0
,"SP: Administrative, Planning
and Support Services",20.12,,5.01,,25,,92,0
"Programme 2: Land Development and Man-
agement",,-,126.79,-,3.78,,3,92,0
,SP: Land Acquisition,,95.00,,,,-,92,0
,"SP: Physical and Land Use
Plans",,2.27,,,,-,92,0
,SP: Auction Ring,,2.50,,,,-,92,0
,Supplier Credit,,1.22,,,,-,92,0
,Ward Based Projects,,25.80,,3.78,,15,92,0
Sub Total,,53.38,126.79,23.14,3.78,43,3,92,0
Housing,,,,,,,,92,0
"Programme 1: General Administration,
Planning and Support Services",,52.66,-,24.46,-,47,,92,0
,"SP: Human Resource Devel-
opment and Management",11.41,,5.51,,48,,92,0
,"SP: Administrative, Planning
and Support Services",3.74,,0.95,,25,,92,0
,KUSP UIG,37.50,,18.00,,48,,92,0
"Programme 2: Housing Development and
Human Settlement",,-,427.30,-,-,,-,92,0
,"SP: Housing Infrastructural
Development",,129.90,,,,-,92,0
,"SP: Housing Financing Ser-
vices",,297.40,,,,-,92,0
Sub Total,,52.66,427.30,24.46,-,47,-,92,0
Bungoma Municipality,,,,,,,,92,0
"Programme 1: General Administration,
Planning and Support Services",,55.95,-,17.18,-,31,,92,0
,"SP: Human Resource Devel-
opment and Management",20.24,,12.97,,64,,92,0
,"SP: Administrative, Planning
and Support Services",26.96,,"six,118,187",,15,,92,0
,KUSP UIG,8.75,,0.09,,1,,92,0
"Programme 2: Urban Land Use, Policy and
Planning",,-,16.00,-,-,,-,92,0
,SP: Urban Land Planning,,16.00,,,,-,92,0
"Programme 3: Urban Infrastructure Devel-
opment and Management",,-,80.57,-,25.95,,32,92,0
,"SP: Urban Transport and Infra-
structure Development",,80.57,,25.95,,32,92,0
"Programme 4: Urban Environment, Health,
Water, Culture and Human Social Services",,-,2.50,-,-,,-,92,0
,"SP: Urban Environment and
Public Health Services",,2.50,,,,-,92,0
Sub Total,,55.95,99.07,17.18,25.95,31,26,92,0
,,,,,,,58,92,0
