Programme,Sub Programme,Approved Estimates (Kshs.),col_3,Expenditure (Kshs.),col_5,"Absorption
Rate(%)",col_7,page_number,table_index,col_8
,SP 2.7 Nutrition,"11,500,000","12,500,000",0,"1,220,724",0.0,9.8,509,0,
,"SP 2.8 Reproductive
health","1,250,000",0,0,0,0.0,0.0,509,0,
,SP 2.9 immunisation,"2,000,000",0,0,0,0.0,0.0,509,0,
"Programme 3
Health curative
and rehabilitative
services","SP 3.1 Provision of es-
sential health services
in all","1,296,505,448","612,636,956","594,415,753","35,910,670",45.8,5.9,509,0,
,"SP 3.2 Elimination
of communicable and
non-communicable
diseases","2,300,000",0,0,0,0.0,0.0,509,0,
,"SP 3.3 Human re-
source","401,873,533",0,"271,257,614",0,67.5,0.0,509,0,
,Sub-Total,"6,913,254,603","895,961,347","2,692,517,550","37,131,394",38.9,4.1,509,0,
"DEPARTMENT OF LANDS, PHYSICAL PLANNING AND HOUSING",,,,,,,,509,0,
"Programme 1:
Administra-
tion, Planning,
Management and
Support Services","SP 1.1: Administration
and Financial Services",33394099,0,"6,509,081",-,19.5,-,509,0,
,"Sp.1.2: Personnel
Services",111457581,0,"40,730,067",-,36.5,-,509,0,
"Programme 2
Urban Develop-
ment","SP 2.1: Maintenance of
County Estates",7360000,"550,000,000",-,-,-,-,509,0,
,"Sp 2.2: Urban Institu-
tion Framework",15020000,"6,565,986",-,-,-,-,509,0,
"Programme 3:
Land Use",SP 3.1: Land use,20580000,"169,116,821",-,-,-,-,509,0,
,SP 3.2: Survey,,"10,600,000",-,-,-,-,509,0,
,Sub Total,"187,811,680","736,282,807","47,239,148",-,32.6,-,509,0,
"DEPARTMENT OF TRADE, INDUSTRY, MARKETING AND TOURISM",,,,,,,,509,0,
"Programme 1
Administration
planning","SP 1.1 Administration
Services","20,987,370",0,"3,251,800",0,15.5,0.0,509,0,
,"SP 1.2 Personnel
services","113,006,792",0,"37,896,755",0,33.5,0.0,509,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,510,0,
"Programme 2
cooperatives","SP 2.1: Management
of Marketing Cooper-
atives",0,0,0,0,0.0,0.0,510,0,
,"SP 2.2 Sacco Empow-
erment","25,000,000",0,0,0,0.0,0.0,510,0,
,"SP 2.3 Cooperatives
Leadership and Gov-
ernance","12,270,000",0,"869,430",0,7.1,0.0,510,0,
,"SP 2.4 management of
housing and invest-
ment cooperatives","500,000",0,0,0,0.0,0.0,510,0,
"Programme 3:
Commerce and
Enterprise","SP 3.1 Business de-
velopment services for
SMEs","34,120,000",0,"1,074,300",0,3.1,0.0,510,0,
,"SP 3.3 Consumer
protection","3,600,000",0,"400,000",0,11.1,0.0,510,0,
,"SP 3.4 Promotion Of
Responsible Gaming","5,300,000",0,"128,400",0,2.4,0.0,510,0,
"Programme 4
market","SP 4.1 Market rehabili-
tation & development",0,"198,105,111",0,0,0.0,0.0,510,0,
,"SP 4.3 Market users’
delivery services","4,830,000",0,"675,000",,14.0,0.0,510,0,
"Programme 5
Tourism","SP 5.1 Promotion of
Local Tourism","6,940,000",0,"697,100",0,10.0,0.0,510,0,
,"SP 5.2 Management of
county tourism infor-
mation centre",0,0,0,0,0.0,0.0,510,0,
"Programme 6
alcoholic drinks
and
Control
Programme7:
Development of
socio-cultural
diversity and
promotion","SP 6.1 inspection,
approval and liquor
licencing","4,650,000",0,"300,700",0,6.5,0.0,510,0,
,"SP 6.4 Treatment
and rehabilitation of
persons dependent on
alcoholic drinks","300,000",0,0,0,0.0,0.0,510,0,
,"SP 6. Management of
county","2,200,000",0,0,0,0.0,0.0,510,0,
,"SP 7.1 Cultural Devel-
opment Activities","7,040,000",0,"622,000",0,8.8,0.0,510,0,
,"SP 7.2 promotion of
responsible gaming","5,300,000",0,0,0,0.0,0.0,510,0,
,Sub-Total,"240,744,162","198,105,111","45,915,485",0,19.1,0.0,510,0,
COUNTY PUBLIC SERVICE BOARD,,,,,,,,510,0,
"Programme1: Ad-
ministration and
Human Resource
Planning","SP 1.1 Administrative
Services.","70,492,825","5,000,000","4,566,803",0,16.0,0.0,510,0,
,"SP 1.2 Financial
Services","2,300,000",0,"20,451,486",0,43.8,0.0,510,0,
"Programme2:
Human Resource
Planning and Ad-
visory Services","SP 2.1 Human Re-
source Planning","10,000,000",0,"1,000",0,0.0,0.0,510,0,
,"SP 2.2 Provision of
Human Resource
Advisory Services","2,600,000",0,"199,232",0,7.9,0.0,510,0,
,Sub-Total,"85,392,825","5,000,000","25,218,520",0,29.5,0.0,510,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,511,0,
MOLO MUNICIPALITY,,,,,,,,511,0,
"Programme 1:
Administration
Planning and
Support Services","SP 1.1: Administration
and Planning","8,258,198",-,0,0,0.0,0.0,511,0,
"Programme 2:
Molo Municipal
Services","S.P 2.1: Personnel
Services","3,949,400",-,0,0,0.0,0.0,511,0,
,"S.P 2.2: Environmental
Management",,,0,0,0.0,0.0,511,0,
,"S.P 2.3: Trade and
Tourism","7,000,000",-,0,0,0.0,0.0,511,0,
,S.P 2.4: Social Services,"4,566,000",-,0,0,0.0,0.0,511,0,
,Sub-Total,"23,773,598",-,0,0,0.0,0.0,511,0,
GILGIL MUNICIPALITY,,,,,,,,511,0,
"Programme 1:
Administration
Planning and
Support Services","SP 1.1: Administration
and Planning","11,845,214",0,"402,200",0,3.4,0.0,511,0,
,"Sp;1.2 personnel
services ;","3,260,000",0,0,0,0.0,0.0,511,0,
"Programme 2:
Gilgil Municipal
Services","S.P 2.1: Planning and
Infrastructure Devel-
opment",0,"40,000,000",0,0,0.0,0.0,511,0,
,"S.P 2.2: Environmental
Management","1,000,000",0,0,0,0.0,0.0,511,0,
,"S.P 2.3: Trade and
Tourism","7,000,000",0,0,0,0.0,0.0,511,0,
,S.P 2.4: Social Services,"2,150,000",0,0,0,0.0,0.0,511,0,
,Sub-Total,"25,255,214","40,000,000","402,000",0,1.6,0.0,511,0,
COUNTY ASSEMBLY,,,,,,,,511,0,
"Programme 1:
Administration","Compensation of
Employees","193,542,726",0,"87,049,492",0,45.0,0.0,511,0,
,"Use of Goods and
services","374,250,000",0,"127,452,164",0,34.1,0.0,511,0,
,"Transfer to Other Gov-
ernment entities",0,0,0,0,0.0,0.0,511,0,
,Acquisition of Assets,"185,000,000",0,0,"4,192,200",0.0,2.3,511,0,
"Programme 2:
Legislative Ser-
vices","Compensation of
Employees","327,028,996",0,"143,514,498",0,43.9,0.0,511,0,
,"Use of goods and
services","340,400,000",0,"121,039,495",0,35.6,0.0,511,0,
,Acquisition of Assets,0,0,0,0,0.0,0.0,511,0,
,Sub-Total,"1,420,221,758",0,"479,055,649","4,192,200",38.8,2.3,511,0,
Grand Total,,"14,080,279,334","6,991,975,883","5,160.49",368.76,36.7,5.3,511,0,
