Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 31
December, 2024",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
Pending Bills,"Pending Bills -
2023/24FY","4,892,789","34,844,546","777,480","2,999,736",16,9,447,0,
"Legal metrolo-
gy services","Legal metrology
services","2,300,000",-,"400,000",,17,-,447,0,
,Sub- Total- (Trade),"97,297,183","86,977,522","32,500,179","24,416,769",33,28,447,0,
"General
administrative
& support
services","Administrative
support services",-,-,,,-,-,447,0,
"Industrial
development
& investment
services","Industrial & enter-
prise development","3,200,000","251,500,000","550,000","116,631,579",17,46,447,0,
,"Investment promo-
tion services.","1,800,000",-,"450,000",,25,-,447,0,
,"Sub- Total- (Indus-
trialisation)","5,000,000","251,500,000","1,000,000","116,631,579",20,46,447,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,448,0,
"General
administrative
& support
services","Administrative
support services",-,-,,-,-,-,448,0,
"Tourism
Research &
Development","Tourism product
development","7,400,000",-,"255,250",-,3,-,448,0,
,"Tourism promo-
tion, investment &
marketing","4,100,000",-,"500,000",-,12,-,448,0,
,"Tourism develop-
ment & investment
services.",-,-,,-,-,-,448,0,
,"Sub- Total- (Indus-
trialisation)","11,500,000",-,"755,250",-,7,-,448,0,
"General
administrative
& support
services","Administrative
support services","3,000,000",-,"200,000",-,7,-,448,0,
"Coopera-
tive Policy,
Research
Advisory","Cooperative Policy,
Research Advisory","2,000,000",-,"300,000",-,15,-,448,0,
"Cooperative
Development
& Promotion
Services","Cooperative Devel-
opment & Promotion
Services","2,000,000",-,"600,000",-,30,-,448,0,
"Cooperative
Audit",Cooperative Audit,"1,100,000",-,"100,000",-,9,-,448,0,
"Cooperative
Governance,
Oversight &
Compliance","Cooperative Gover-
nance, Oversight and
Compliance","400,000",-,"100,000",-,25,-,448,0,
,"Sub- Total- (Co-
operative Develop-
ment)","8,500,000",-,"1,300,000",-,15,-,448,0,
"Liquor
Licensing and
Control",Alcohol Fund,-,-,,,-,-,448,0,
,"Liquor Licensing
and Control","1,500,000",-,-,,-,-,448,0,
,"Sub- Total- (Liquor
Licensing)","1,500,000",-,-,-,-,-,448,0,
Sub- Total,,"123,797,183","338,477,522","35,555,429","141,048,348",29,42,448,0,
County Assembly Services,,,,,,,,448,0,
"General
administration
& support
services","Administrative
services","717,227,179",-,"261,010,636",,36,-,448,0,
"Infrastructure
Development","Infrastructure De-
velopment services",-,"50,000,000","8,212,000",-,-,-,448,0,
Pending Bills,Pending Bills,"73,815,978","2,636,694",-,-,-,-,448,0,
,"Sub- Total- (Office
of the Clerk)","791,043,157","52,636,694","269,222,636",-,34,-,448,0,
"General
administration
& support
services","Administrative
services","43,789,750",-,"2,970,793",,7,-,448,0,
