Programme,"Recurrent Esti-
mates 2023/24","Development Es-
timates 2023/25","Total Budget
estimates","Recurrent
Expenditure as of
30th September,
2023","Development
Expenditure
as 30th Sep-
tember 2024",Total Expenditure,"s
Variance","% Ab-
orption
of the
Budget",page_number,table_index,Variance,"% Ab-
sorption
of the
Budget"
"Participate in KICOSCA
and EALASCA games","18,147,000",-,"18,147,000","16,514,100",,"16,514,100",,,68,0,"1,632,900",91.0
"Participate in the Kenya
Music Cultural Festival","500,000",-,"500,000",-,-,-,,,68,0,"500,000",-
"Hold herbal medicine
day","500,000",-,"500,000",-,-,-,,,68,0,"500,000",-
"Liquor and licensing
enforcement exercise","2,000,000",,"2,000,000",-,-,-,,,68,0,"2,000,000",-
"Construction of Sanga’lo
Multipurpose Hall",-,"21,440,351","21,440,351",-,-,-,,,68,0,"21,440,351",-
"Microfinance Youth
Programme",-,"1,128,440","1,128,440",-,-,-,,,68,0,"1,128,440",-
"Programme 3: Gender
Equity and Social
Protection","6,500,000","32,843,958","39,343,958",-,-,-,,,68,0,"39,343,958",-
Operations of GTWG,"1,500,000",-,"1,500,000",-,-,-,,,68,0,"1,500,000",-
"Gender-based violence
response programs (16
days of activism against
women)","2,000,000",-,"2,000,000",-,-,-,,,68,0,"2,000,000",-
"Mark and celebrate
International Women’s
Day","2,000,000",-,"2,000,000",-,-,-,,,68,0,"2,000,000",-
"Mark and celebrate
International Disability
Day","1,000,000",-,"1,000,000",-,-,-,,,68,0,"1,000,000",-
"Disability Empowerment
program",-,"12,317,615","12,317,615",-,-,-,,,69,0,"12,317,615",-
"Women Empowerment
program",-,"20,526,343","20,526,343",-,-,-,,,69,0,"20,526,343",-
Sub Total,"71,168,159","55,712,749","126,880,908","24,632,302",-,"24,632,302",,,69,0,"102,248,606",19.4
Youth and Sports,,,,,,,,,69,0,,
"PROGRAMME 2:
General Administration
Planning and Support
Services","24,284,371",-,"24,284,371",-,-,-,,,69,0,"21,021,873",-
"PAYMENT OF SAL-
ARIES","11,654,874",-,"11,654,874",-,-,-,,,69,0,"8,392,376",-
Planning and Budgeting,"1,300,000",-,"1,300,000",-,-,-,,,69,0,"1,300,000",-
"Utility for office oper-
ations","520,000",-,"520,000",-,-,-,,,69,0,"520,000",-
"Administrative service
management (boards
and Committees, travel
costs, catering services,
other recurrent)","10,809,497",-,"10,809,497",-,-,-,,,69,0,"10,809,497",-
"PROGRAMME 4:
Sports and Talent Devel-
opment",-,"55,300,000","55,300,000",-,-,-,,,69,0,"55,300,000",-
"Construction of phase 1
Masinde Muliro stadium",-,"36,000,000","36,000,000",-,-,-,,,69,0,"36,000,000",-
"Completion and
Equipping of Phase 1
and Phase 11 of the
High-Altitude Training
Centre",-,"19,000,000","19,000,000",-,-,-,,,69,0,"19,000,000",-
"Boards and Committees
(Operations Cost)",-,"300,000","300,000",-,-,-,,,69,0,"300,000",-
"PROGRAMME 4:
Sports and Talent Devel-
opment",-,"45,198,528","45,198,528",-,-,-,,,69,0,"45,198,528",-
"Sports Facility develop-
ment and management",-,"10,000,000","10,000,000",-,-,-,,,69,0,"10,000,000",-
Project supervision,-,"5,514,202","5,514,202",-,-,-,,,69,0,"5,514,202",-
"Youth Empowerment
fund",-,"29,684,326","29,684,326",-,-,-,,,69,0,"29,684,326",-
Sub Total,"24,284,371","100,498,528","124,782,899","3,262,498",-,"3,262,498",,,69,0,"121,520,401",2.6
Governor’s and Deputy Governor’s Office,,,,,,,,,69,0,,
"Programme 1: General
administration, planning
and Support Services","299,242,799",-,"299,242,799","90,178,194",-,"90,178,194",,,69,0,"209,064,605",30.1
"Sp1.1: County budget
and economic forum","3,000,000",-,"3,000,000",-,-,-,,,69,0,"3,000,000",-
"Sp1.2: Public consulta-
tive meetings","15,000,000",-,"15,000,000",-,-,-,,,69,0,"15,000,000",-
"Sp1.3: Feasibility Stud-
ies/ advisory services","2,000,000",-,"2,000,000",-,-,-,,,69,0,"2,000,000",-
Sp1.4: Utilities,"9,347,663",-,"9,347,663",-,-,-,,,69,0,"9,347,663",-
"Sp1.5: Operations and
other departmental
programs","45,665,466",-,"45,665,466","19,418,360",-,"19,418,360",,,69,0,"26,247,106",42.5
Sp1.6: Maintenance,"14,000,000",-,"14,000,000",-,-,-,,,69,0,"14,000,000",-
Sp1.7: Salaries,"210,229,670",-,"210,229,670","70,759,834",,"70,759,834",,,69,0,"139,469,836",33.7
"Programme2: County
Executive Committee
Affairs","20,000,000",-,"20,000,000",-,-,-,,,69,0,"20,000,000",-
"Sp2.1Leadership and
Coordination of County
Departments and
Agencies","20,000,000",-,"20,000,000",-,-,-,,,69,0,"20,000,000",-
"Programme 3: County
Strategic and Service
Delivery Coordination","85,000,000",-,"85,000,000",-,-,-,,,70,0,"85,000,000",-
"Sp3.1Staff Management
Services.","12,000,000",-,"12,000,000",-,-,-,,,70,0,"12,000,000",-
"Sp3.2Events Manage-
ment and Protocol
Services.","10,000,000",-,"10,000,000",-,-,-,,,70,0,"10,000,000",-
Sp3.3Communication,"1,000,000",-,"1,000,000",-,-,-,,,70,0,"1,000,000",-
Sp3.4 Integrity and,"2,000,000",-,"2,000,000",-,-,-,,,70,0,"2,000,000",-
"Sp3.5 Intergovernmental
relations","10,000,000",-,"10,000,000",-,-,-,,,70,0,"10,000,000",-
Special Programmes,"50,000,000",-,"50,000,000",-,-,-,,,70,0,"50,000,000",-
Office Of the Deputy Governor,,,,,,,,,70,0,,
"Programme 1: General
administration, planning
and support services","27,336,583",-,"27,336,583","3,968,500",-,"3,968,500",,,70,0,"23,368,083",14.5
Sp1.1: Utilities,"1,328,000",-,"1,328,000",-,-,-,,,70,0,"1,328,000",-
Sp1.2: Operations,"22,108,583",-,"22,108,583","3,968,500",-,"3,968,500",,,70,0,"18,140,083",18.0
Sp1.3: Maintenance,"3,900,000",-,"3,900,000",-,-,-,,,70,0,"3,900,000",- -
Sub Total,"431,579,382",-,"431,579,382","94,146,694",-,"94,146,694",,,70,0,"337,432,688",21.8
"Environment, Tourism and Climate Change",,,,,,,,,70,0,,
"Programme 1: General
Administration Planning
and Support Services","37,238,987",-,"37,238,987","7,265,112",-,"7,265,112",,,70,0,"29,973,875",19.5
"-SP. Human Resources
Management","29,018,987",-,"29,018,987","6,412,512",-,"6,412,512",,,70,0,"22,606,475",22.1
"SP. Policy and Legal
Framework Formulation","500,000",-,"500,000",-,-,-,,,70,0,"500,000",-
"Sp. Planning and sup-
port services","7,720,000",-,"7,720,000","852,600",-,"852,600",,,70,0,"6,867,400",11.0
"Programme 2: Protection
and conservation of the
environment","245,000,000",-,"245,000,000","20,183,111",-,"20,183,111",,,70,0,"224,816,889",8.2
"SP. Dumpsite Manage-
ment","5,000,000",-,"5,000,000",-,-,-,,,70,0,"5,000,000",-
"SP. Waste management
and control","240,000,000",-,"240,000,000","20,183,111",-,"20,183,111",,,70,0,"219,816,889",8.4
"Programme3: climate
change coordination and
management","22,000,000","205,000,000","227,000,000",-,"10,391,679","10,391,679",,,70,0,"216,608,321",4.6
"Sp. Climate change resil-
ience investment grant",-,"125,000,000","125,000,000",-,"10,391,679","10,391,679",,,70,0,"114,608,321",8.3
Sp. Climate change fund,-,"80,000,000","80,000,000",-,-,-,,,70,0,"80,000,000",-
"SP. Climate change insti-
tutional support grant","22,000,000",,"22,000,000",-,-,-,,,70,0,"22,000,000",-
"Programme5: Tourism
product promotion,
marketing and branding","500,000",-,"500,000",-,-,-,,,70,0,"500,000",-
"SP. County Tourism, art
and cultural festival","500,000",-,"500,000",-,-,-,,,70,0,"500,000",-
Sub Total,"304,738,987","205,000,000","509,738,987","27,448,223","10,391,679","37,839,902",,,70,0,"471,899,085",7.4
Water and Natural Resources,,,,,,,,,70,0,,
"Programme 1: General
Administration Planning
and Support Services","65,732,119",-,"65,732,119","9,493,916",-,"9,493,916",,,70,0,"56,238,203",14.4
"SP. Human Resources
Management","38,953,975",-,"38,953,975","9,493,916",,"9,493,916",,,70,0,"29,460,059",24.4
"Sp. Planning and sup-
port services","26,778,144",-,"26,778,144",-,-,-,,,70,0,"26,778,144",-
"Programme 2: Water and
Sanitation development
and management",-,"236,907,891","236,907,891",-,-,-,,,70,0,"236,907,891",-
Rig Policy,-,"3,000,000","3,000,000",-,-,-,,,70,0,"3,000,000",-
