Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th Sep-
tember 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,Sub-Total,"53,328,110.00","38,100,000.00","4,982,946.00",-,9.3,-,242,0
Office of Deputy Governor,,,,,,,,242,0
"Adminis-
tration & Plan-
ning","701013710-general
administration","38,663,696.00",,"1,287,640.00",-,3.3,-,242,0
"Performance
mgt & disaster
mitigation","205013710-perfor-
mance contracting di-
saster and emergency
services","18,967,998.00","13,500,000.00","2,891,800.00",-,15.2,-,242,0
,"717013710-general
administration","47,219,718.00",,"2,292,700.00",-,4.9,-,242,0
"Tourism mgt
& mitigation","305013710-tourism
development and
promotion","39,334,408.00","3,000,000.00","575,200.00","1,445,800.00",1.5,48.2,242,0
,"305033710-tourism
development and
promotion","5,865,976.00","11,500,000.00","260,432.00","496,130.00",4.4,4.3,242,0
,,Rec,Dev,Rec,Dev,Rec,Dev,243,0
,"1003023710-devolu-
tion services","31,189,764.00","16,700,000.00","1,252,930.00",-,4.0,-,243,0
,Sub-Total,"181,241,560.00","44,700,000.00","8,560,702.00","1,941,930.00",4.7,4.3,243,0
"Ministry of
water & irri-
gation","101013710-general
administration sup-
port services","62,128,224.00",,"132,121.00",-,0.2,-,243,0
irrigation,"104013710-irrigation
drainage infrastruc-
ture","13,979,756.00","193,586,400.00","1,893,400.00",-,13.5,-,243,0
water,"101013710-general
administration sup-
port services","12,419,684.00",,"229,300.00",-,1.8,-,243,0
,"111013710-water
resource management","7,441,454.00","237,000,000.00","808,500.00",-,10.9,-,243,0
,"111023710-water
resource management","3,715,592.00","60,000,000.00","405,300.00","29,999,999.00",10.9,50.0,243,0
,"101013710-general
administration sup-
port services","1,959,150.00","29,259,101.00","612,300.00",-,31.3,-,243,0
,Sub-Total,"101,643,860.00","519,845,501.00","4,080,921.00",-,4.0,-,243,0
"Education, Skills & dev",,,,,,,,243,0
"Basic educa-
tion","502013710-primary
education","696,647,878.00","70,731,402.00","951,900.00",-,0.1,-,243,0
"Adminis-
tration & Plan-
ning","501013710-gener-
al administration
planning and support
services","118,923,530.00",41555616,"875,380.00",-,0.7,-,243,0
"polytechniques
& vocational
centres","503013710-youth
training and develop-
ment","35,656,712.00",63140899,"1,149,450.00",5604030,3.2,8.9,243,0
,Sub-Total,"851,228,120.00","175,427,917.00","2,976,730.00","5,604,030.00",0.3,3.2,243,0
"Roads, works and transport.",,,,,,,,243,0
