Sub Program,Name of the Programme,"Approved Esti-
mates FY 2020/21","Expendi-
ture 1/7/20-
30/06/21(Kshs)",Variance (Kshs.),"Implementation
Status (% )",page_number,table_index
,"Development coordination Pro-
gramme","3,400,694","683,590","2,717,104",20.1,431,0
710014110,Donor scan/Mapping,"1,852,326","100,000","1,752,326",5.4,431,0
710024110,"Establishment of development commit-
tees","1,057,556","583,590","473,966",55.2,431,0
710034110,"Training of the development commit-
tees","100,000",0,"100,000",-,431,0
710044110,"Formulation and Development of
TCPSB Boardroom ICT Infrastructure","390,812",0,"390,812",-,431,0
,Monitoring and Evaluation,"4,776,750","2,690,476","2,086,274",56.3,431,0
711014110,"Soft wares( E-ProMIS, GIS e.t.c)","1,394,400","1,009,620","384,780",72.4,431,0
711024110,"Field visits, data collection and Report-
ing","1,311,200","380,856","930,344",29.1,431,0
711034110,Training and Knowledge management,"1,475,150","691,150","784,000",46.9,431,0
,,(Kshs.),,,,432,0
711044110,"Devolved Monitoring and Evaluation
Committees","596,000","608,850","-12,850",102.2,432,0
,"Public Participation and Access to In-
formation","37,146,926","23,485,603","13,661,323",63.2,432,0
712014110,"Construction of Citizen Resource Cen-
tre","6,505,400","4,176,310","2,329,090",64.2,432,0
712024110,Web site Development,"10,655,443","5,554,945","5,100,498",52.1,432,0
712034110,"Social Budgeting and Generation of SIR
Reports","799,050","680,050","119,000",85.1,432,0
712044110,Intergovernmental Relation,"14,870,366","11,035,633","3,834,733",74.2,432,0
712054110,"Strategy Development, Review, Support
and Operationalization","4,316,667","2,038,665","2,278,002",47.2,432,0
,County Statistical Unit,"26,770,995","18,727,789","8,043,206",70,432,0
713014110,"Soft wares, databases and tools","17,550,056","11,706,563","5,843,493",66.7,432,0
713024110,Capacity Development,"5,591,453","4,861,070","730,383",86.9,432,0
713044110,Project Mgt Information System,"3,629,486","2,160,156","1,469,330",59.5,432,0
,Service Delivery- ISO Certification,"10,662,651","5,034,903","5,627,748",47.2,432,0
714014110,Service Charter,"2,232,000","470,470","1,761,530",21.1,432,0
714024110,Development of County Filing Systems,"5,783,958","3,397,263","2,386,695",58.7,432,0
714034110,Procedure Manual and Training,"2,646,693","1,167,170","1,479,523",44.1,432,0
,County Internship Programme,"16,772,618","7,266,793","9,505,825",43.3,432,0
715014110,County Internship Programme,"16,772,618","7,266,793","9,505,825",43.3,432,0
,"Operationalization of Decentralized
Units","60,487,047","30,192,998","30,294,049",49.9,432,0
717014110,"Operationalization of Decentralized
Units","5,890,747","4,543,773","1,346,974",77.1,432,0
717024110,Decentralized County Policy,"37,866,000","21,115,550","16,750,450",55.8,432,0
717034110,Coordinated development,"7,586,300","2,328,925","5,257,375",30.7,432,0
717044110,Policy sensitization and dissemination,"9,144,000","2,204,750","6,939,250",24.1,432,0
,"Mainstream Public Sector Integrity
programme & Accountability","4,563,456","1,915,901","2,647,555",42,432,0
718014110,"Mainstream Public Sector Integrity
programme & Accountability","1,363,855","289,920","1,073,935",21.3,432,0
718024110,"Public Evaluation on County Public
Service Board Performance","1,473,292","680,400","792,892",46.2,432,0
718034110,"Human Resource Conference & Sym-
posium","786,710","378,081","408,629",48.1,432,0
718044110,Exit Meetings Per Department,"939,599","567,500","372,099",60.4,432,0
,Disaster Risk Reduction,"5,459,577","3,209,230","2,250,347",58.8,432,0
719034110,"Assessment and stake holder capacity
mapping","1,703,382","730,870","972,512",42.9,432,0
719044110,"Regular Assessments of Food, Flood
and Conflict Security","3,756,195","2,478,360","1,277,835",66,432,0
,Human resource,"13,110,145","6,178,790","6,931,355",47.1,432,0
720014110,Scheme of service,"1,570,328","117,000","1,453,328",7.5,432,0
720024110,Performance Appraisal,"4,879,410","3,304,420","1,574,990",67.7,432,0
720034110,"Enhancing Leadership In County Pub-
lic Service","1,109,794","585,170","524,624",52.7,432,0
720044110,"Review and Development of HR Poli-
cies","2,507,831","1,193,000","1,314,831",47.6,432,0
720054110,"Human Resource Development/Career
Progression","382,400",0,"382,400",-,432,0
720064110,Performance Management Monitoring,"300,000",0,"300,000",-,432,0
720074110,Development of Database Filing System,"182,400",0,"182,400",-,432,0
720084110,"County Public Serce Pre-Retirement
Sensitization","132,475",0,"132,475",-,432,0
,,(Kshs.),,,,433,0
