Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
,Disability mainstreaming,"2,000,000","2,000,000",-,100.0%,63,0
"Sports Facility Development
and Management","Development of sports fa-
cility","244,222,322","224,642,810","19,579,512",92.0%,63,0
"Sports talent development and
management","Sports and talent develop-
ment established","11,500,000",-,"11,500,000",0.0%,63,0
"Youth Development and Man-
agement",Youth development services,"3,700,000",-,"3,700,000",0.0%,63,0
,TOTAL,"381,325,808","336,278,070","45,047,738",88.2%,63,0
COUNTY PUBLIC SERVICE,,,,-,,63,0
"General administration and
support services",Administrative services,"49,371,276","45,013,795","4,357,481",91.2%,63,0
"Human Resource Manage-
ment and Development","Human Resource Manage-
ment & Development","11,168,045","9,699,860","1,468,185",86.9%,63,0
Total,,"60,539,321","54,713,655","5,825,666",90.4%,63,0
GOVERNORS & DEPUTY GOVERNOR,,,,-,,63,0
"General administration and
support services","Human Resource Manage-
ment","239,337,085","249,757,266","(10,420,181)",104.4%,63,0
,Administrative services,"195,533,034","193,682,477","1,850,557",99.1%,63,0
"County Executive Committee
Affairs","Leadership and Coordina-
tion of County Departments
and Agencies","41,909,653","815,700","41,093,953",1.9%,63,0
"County Strategic and Service
Delivery",Staff Management Services.,"11,211,177","5,000,000","6,211,177",44.6%,63,0
Total,,"487,990,949","449,255,443","38,735,506",92.1%,63,0
COUNTY ASSEMBLY,,,,-,,63,0
"General Administration Plan-
ning and Support Services","General Administration
Planning and Support Ser-
vices","606,476,477","544,478,524","61,997,953",89.8%,63,0
Legislation,Legislation,"16,153,646","8,191,710","7,961,936",50.7%,63,0
"Representation and outreach
services","Representation and outreach
services","43,549,040","52,852,952","(9,303,912)",121.4%,63,0
Oversight,Oversight,"240,915,808","247,708,942","(6,793,134)",102.8%,63,0
General infrastructure,General infrastructure,"168,758,630","114,857,809","53,900,821",68.1%,63,0
,,"1,075,853,601","968,089,936","107,763,665",90.0%,63,0
Grand Total,,"14,002,888,410","11,393,630,403","2,609,258,007",81.4%,63,0
