county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
kajiado,2024_25,01,Department of Medical Service and Public Health,,,
kajiado,2024_25,01,"Curative and
Rehabilitative",,16460500.0,4224780.0
kajiado,2024_25,01,"Curative and
Rehabilitative",,200276176.0,48851953.0
kajiado,2024_25,01,"Curative and
Rehabilitative",,6582400.0,1825786.0
kajiado,2024_25,01,"Public Health
and Sanitation",,56769977.0,6438693.0
kajiado,2024_25,01,"Public Health
and Sanitation",,4609000.0,87837.0
kajiado,2024_25,01,"Public Health
and Sanitation",,97823500.0,3867600.0
kajiado,2024_25,01,"Public Health
and Sanitation",,3185400.0,470140.0
kajiado,2024_25,01,"Public Health
and Sanitation",,34066962.0,2681500.0
kajiado,2024_25,01,"Public Health
and Sanitation",,3164015220.0,460880509.0
kajiado,2024_25,01,"Public Health
and Sanitation",,,
kiambu,2024_25,01,HEALTH SERVICES,,,
kiambu,2024_25,01,Health Services,Curative,1200000000.0,1819580.0
kiambu,2024_25,01,Health Services,"Preventive and
Promotive",959107042.0,291370778.0
kiambu,2024_25,01,Health Services,"Administration
and Support",4760698635.0,622228864.0
kiambu,2024_25,01,Health Services,Sub Total,7039805677.0,915419222.0
kiambu,2024_25,01,Health Services,,,
kiambu,2024_25,01,Health Services,,,
kiambu,2024_25,01,Alcoholic Fund,"Alcoholic Drinks
Control & Rehabil-
itation",30000000.0,
kilifi,2024_25,01,Gender and Social Services,,,
kirinyaga,2024_25,01,Medical Services and Public Health,,,
kirinyaga,2024_25,01,"Curative and Reha-
bilitative Services","040301 Curative
and Rehabilitative
Services",2180798509.0,218225682.0
kirinyaga,2024_25,01,"State Education
Function Support","050501 Pre0Prima-
ry and Child Care
Services",0.0,0.0
kirinyaga,2024_25,01,Children Services,"091101 Child
Community Support
Services",4784000.0,0.0
kirinyaga,2024_25,01,"Disaster Manage-
ment","020401 Fire Fighting
and Emergency
Services",2222083.0,0.0
kisii,2024_25,01,"County Health
Services",Medical Services,3421154652.0,459821972.0
kisii,2024_25,01,"County Health
Services",public health,92750000.0,
kisii,2024_25,01,"County Health
Services",Sub-Total,3513904652.0,459821972.0
kisumu,2024_25,01,"Medical Services, Public Health and Sanitation",,,
kisumu,2024_25,01,"Medical and
bio-medical
Services",,110321698.0,
kisumu,2024_25,01,"Medical and
bio-medical
Services",,110321698.0,0.0
kisumu,2024_25,01,"Preventive
and Promo-
tive Health
Services",,31375000.0,3000000.0
kisumu,2024_25,01,"Preventive
and Promo-
tive Health
Services",,255000.0,
kisumu,2024_25,01,"Preventive
and Promo-
tive Health
Services",,7625000.0,
kisumu,2024_25,01,"Preventive
and Promo-
tive Health
Services",,39255000.0,3000000.0
kisumu,2024_25,01,"Health Sector
Support
Programme
(DANIDA)",,32578766.0,12603790.0
kisumu,2024_25,01,"Health Sector
Support
Programme
(DANIDA)",,32578766.0,12603790.0
kitui,2024_25,01,"Health policy, Planning and
Financing",0402023710 SP 1.3,101507362.0,
kitui,2024_25,01,"Hospital FIF /cost sharing
Refunds for 11 County
Hospitals",0403033710 SP 2.2,399656250.0,
kitui,2024_25,01,"preventive and Promotive
Health Services",0403013710 SP 3.1,1065101854.0,716446084.0
kitui,2024_25,01,"communicable diseases
Control(public Health Oper-
ations-Programme)",0403013710 SP 3.4,4042443.0,
kitui,2024_25,01,"Specialised Services and
Rehabilitative Services
sub-programme",0404023710 SP 3.7,3627337.0,
kitui,2024_25,01,Curative Health Services,040201310 P4,1135945814.0,1110302632.0
kitui,2024_25,01,"disaster and Emergency
Services",0717013710 SP3.2,12154142.0,14708044.0
laikipia,2024_25,01,"EMERGENCY REFERRAL
AND REHABILITATIVE
SERVICE-0401074510",,98800000.0,550000.0
laikipia,2024_25,01,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510",,25230000.0,
laikipia,2024_25,01,"FAMILY PLANNING,
MATERNAL, AND
CHILD HEALTH SER-
VICES-0405014510",,2200000.0,
laikipia,2024_25,01,"NON -COMMUNICABLE
DISEASES CONTROL AND
PREVENTION-0405024510",,1650000.0,
laikipia,2024_25,01,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510",,4910000.0,
lamu,2024_25,01,MEDICAL SERVICE,,,
lamu,2024_25,01,"PUBLIC HEALTH, ENVIRONMENT AND SANITATION",,,
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Machakos Level 5,146379350.0,78951309.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Kangundo Level 4,46100000.0,8049560.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Matuu Level 4,38500000.0,2700000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Kathiani Level 4,50500000.0,3000000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Mwala Level 4,32500000.0,2500000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Kimiti Level 4,26500000.0,1099950.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Masinga Level 4,33600000.0,1100000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Athiriver Level 4,20500000.0,1000000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Mutituni Level 4,20500000.0,1000000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Ndithini Level 4,22500000.0,700000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Kalama Level 4,25500000.0,700000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Public Health,240203470.0,7175000.0
machakos,2024_25,01,"Curative and
Rehabilitative
Health",Sub-Total,4242640010.0,403905359.0
machakos,2024_25,01,"Inspectorate,
Firefighting
and Emergency
Services","Inspectorate Services
and Management",157206459.0,
machakos,2024_25,01,"Inspectorate,
Firefighting
and Emergency
Services",Emergency Services,11600000.0,
machakos,2024_25,01,"Inspectorate,
Firefighting
and Emergency
Services",Sub-Total,1010248037.0,80866013.0
makueni,2024_25,01,Health Services,,,
makueni,2024_25,01,"Curative healthcare
services","SP2. 1: Curative
health care services",347310000.0,66792957.45
makueni,2024_25,01,"Preventive and
promotive healthcare
services","SP3. 1 Preventive
and promotive
healthcare services",95670972.0,27788580.0
makueni,2024_25,01,"Preventive and
promotive healthcare
services",Sub Total,3088844421.0,461768981.05
mandera,2024_25,01,Health Services,,,
mandera,2024_25,01,"Preventive,
Promotive and
Reproductive
Health Ser-
vices","Preventive,
Promotive and
Reproductive-
HealthServices",129523501.0,
mandera,2024_25,01,"Curative
Rehabilitative
and Referral
Services","Curative Reha-
bilitative and
ReferralServices",510425547.0,20000000.0
mandera,2024_25,01,"Curative
Rehabilitative
and Referral
Services",Sub-Total,2165448332.0,379773335.0
marsabit,2024_25,01,County Health Services,,,
marsabit,2024_25,01,"Preventive and
Promotive Health
Services","Communicable disease
prevention and control",,
marsabit,2024_25,01,"Curative Health
Services",Referral Services,20000000.0,
marsabit,2024_25,01,"Curative Health
Services",Specialised Services,20000000.0,
marsabit,2024_25,01,"Maternal and child
health","Integrated MCH
and Family planning
services",10000000.0,3999907.0
marsabit,2024_25,01,"Maternal and child
health",Sub Total,1848074916.0,368455067.0
meru,2024_25,01,"Special pro-
grammes (Fire,
Rescue and Emer-
gency Services)","Special programmes
(Fire, Rescue and
Emergency Services)",34200000.0,
meru,2024_25,01,HEALTH SERVICES,,,
meru,2024_25,01,Curative Health,Curative Health,455015300.0,71959186.0
meru,2024_25,01,"Preventive and
Promotive Health","Preventive and Pro-
motive Health",237598330.0,
migori,2024_25,01,"Child Care
Services","Child protection
responsive services
& caregiving support
services",1000000.0,
migori,2024_25,01,Medical Services Department,,,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Environmental health
services",1200000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Human Nutrition &
Dietetics services",1700000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","HIV/AIDS manage-
ment",2000000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services",Malaria Control,1400000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Non-Communicable
Diseases (NCDs",1400000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Disease surveillance/
Emergency prepared-
ness",950000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Maternal & Reproduc-
tive Health services",3160000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Neonatal, Child, Ado-
lescent & Youth health
services",1800000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Expanded Program for
Immunization (Immu-
nization",3120000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Gender-Based Vio-
lence health services",1200000.0,
migori,2024_25,01,"Curative,
Rehabilitative &
Referral Services","Hospital-Level Ser-
vices",,
migori,2024_25,01,"Curative,
Rehabilitative &
Referral Services","Ambulance & Referral
Services",3200000.0,
migori,2024_25,01,"Curative,
Rehabilitative &
Referral Services","Health Products &
Technologies",74190996.0,
migori,2024_25,01,"Curative,
Rehabilitative &
Referral Services","Diagnostic & Rehabili-
tation Services",12580000.0,
migori,2024_25,01,"Curative,
Rehabilitative &
Referral Services","Health Services Man-
agement Fund",136000000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Human Nutrition &
Dietetics services",3850000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","HIV/AIDS manage-
ment",21170000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services",Malaria Control,9228000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Non-Communicable
Diseases (NCDs",10630000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Disease surveillance/
Emergency prepared-
ness",10950000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Health promotion &
education",2800000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Maternal & Reproduc-
tive Health services",14500000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Neonatal, Child, Ado-
lescent & Youth health
services",4000000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Expanded Program for
Immunization (Immu-
nization)",12270000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Gender-Based Vio-
lence health services",900000.0,
migori,2024_25,01,"Preventive
& Promotive
Health Services","Environmental Health
& Sanitation Services",1000000.0,
migori,2024_25,01,"Curative,
Rehabilitative &
Referral Services","Health Products &
Technologies",106255000.0,
migori,2024_25,01,"Curative,
Rehabilitative &
Referral Services","Diagnostic & Rehabili-
tation Services",1500000.0,
migori,2024_25,01,"Disaster Man-
agement and
Response",Fire Rescue Services,2800000.0,
mombasa,2024_25,01,Programme 6,Child Care,3000000.0,
mombasa,2024_25,01,HEALTH SERVICES,,,
mombasa,2024_25,01,HEALTH SERVICES,,,
mombasa,2024_25,01,Programme 7,"Preventive and Promotive
Health services",157680000.0,
mombasa,2024_25,01,Programme 7,"Curative/Clinical Health
Services",132000000.0,
muranga,2024_25,01,Alcohol Program,"402034010 Preventive
and Promotive Care",,
nairobi,2024_25,01,"0726005310
P.26 Disaster
Management &
Coordination","0726055310 P.25.5
Ambulance Services",9922415.0,
nakuru,2024_25,01,DEPARTMENT OF HEALTH SERVICES,,,
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",SP 2.1 Primary Healthcare,823325.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services","SP 2.2 environmental health
and sanitation",2100000.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",SP 2.3 human resource,225039940.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services","SP 2.4 Disease surveillance
and emergency response",1000000.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",SP 2.5 Health promotive,1000000.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",SP 2.6 HIV programme,2000000.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",,,
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",SP 2.7 Nutrition,11500000.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",SP 2.8 Reproductive health,1250000.0,0.0
nakuru,2024_25,01,"Programme 2
health preventive
and promotive
services",SP 2.9 immunisation,2000000.0,0.0
nakuru,2024_25,01,"Programme 3
Health curative
and rehabilitative
services","SP 3.1 Provision of essential
health services in all",1296505448.0,256715467.0
nakuru,2024_25,01,"Programme 3
Health curative
and rehabilitative
services","SP 3.2 Elimination of com-
municable and non-commu-
nicable diseases",2300000.0,0.0
nakuru,2024_25,01,"Programme 3
Health curative
and rehabilitative
services",SP 3.3 Human resource,401873533.0,117836485.0
nakuru,2024_25,01,"Programme 3
Health curative
and rehabilitative
services",Sub-Total,6913254603.0,1262241990.0
narok,2024_25,01,401004610.0,"Preventive &Promotive Health
Services",481094035.0,0.0
nyamira,2024_25,01,"Policy Planning
and support
services",Medical services,168650000.0,0.0
nyamira,2024_25,01,"Curative Health
Services",,,
nyamira,2024_25,01,"Curative Health
Services",Facility infrastructural services,57634002.0,
nyamira,2024_25,01,"Curative Health
Services",Sub Total,1224548663.0,107856084.0
nyandarua,2024_25,01,Health Services,,,
nyandarua,2024_25,01,Curative Services,Curative Services,84650000.0,490000.0
nyandarua,2024_25,01,Curative Services,"Universal health
care and grants",34397500.0,
nyandarua,2024_25,01,"Children, Gender
and Social Services",Social Services,54030000.0,
nyandarua,2024_25,01,"Children, Gender
and Social Services",,,
nyandarua,2024_25,01,"Children, Gender
and Social Services","Children and
Gender Affairs",10295000.0,150000.0
nyandarua,2024_25,01,"General adminis-
tration, planning
and support
services","Emergency
Response &
Preparedness",4000000.0,
nyeri,2024_25,01,Health Services,,550000.0,56000.0
nyeri,2024_25,01,Health Services,,17570350.0,0.0
nyeri,2024_25,01,Health Services,,2627212340.0,612235310.0
samburu,2024_25,01,"Medical Services,
Public Health &
Sanitation",,,
samburu,2024_25,01,"Medical Services,
Public Health &
Sanitation","General Administration
Planning and Support
Services",,
samburu,2024_25,01,"Administration,
Planning and Sup-
port Services","Preventive and Promotive
Health Services",,
samburu,2024_25,01,"Non-Communi-
cable Disease &
prevention control","Non-Communicable Dis-
ease & prevention control",310858117.0,42753450.0
samburu,2024_25,01,"Non-Communi-
cable Disease &
prevention control",Maternal Health Services,30478622.0,734740.0
samburu,2024_25,01,"Non-Communi-
cable Disease &
prevention control",Health Promotive Services,83062738.0,17342028.0
samburu,2024_25,01,"County Referral
Services",Free Primary Healthcare,565791147.0,77521746.0
samburu,2024_25,01,"County Referral
Services","Provision Of Essential
Health Services In All The
Levels",179194443.0,32286878.0
samburu,2024_25,01,"Health Standards
and Quality As-
surance Services","Health Policy, Planning &
Financing",137190994.0,21043053.0
samburu,2024_25,01,"Administrative
services",Firefighting services,10461652.0,
siaya,2024_25,01,Department of Health Services.,,,
siaya,2024_25,01,Programme 1.,"SP 2. Curative healthcare
services",,
siaya,2024_25,01,Programme 1.,"SP 3. Preventive, promo-
tive & rehabilitative",,
tana,2024_25,01,Health and Sanitation,Medical Supplies,190650000.0,
tana,2024_25,01,Health and Sanitation,Medical Services,52200000.0,
tana,2024_25,01,Health and Sanitation,Ambulance services,11700000.0,
tana,2024_25,01,Health and Sanitation,"Preventive and Pro-
motive",27050041.0,
tana,2024_25,01,Health and Sanitation,Sub Total,303445900.0,
tana,2024_25,01,Health and Sanitation,Sub Total,1232553936.0,
tana,2024_25,01,Health and Sanitation,Grand Total,1535999836.0,
trans,2024_25,01,"Administrative
and Support
Services",,249215280.0,27076608.0
trans,2024_25,01,"Administrative
and Support
Services",,44619504.0,6113710.0
trans,2024_25,01,"Administrative
and Support
Services",,69511861.0,11080639.0
trans,2024_25,01,"Administrative
and Support
Services",,107894296.0,12598428.0
trans,2024_25,01,"Administrative
and Support
Services",,23900000.0,
trans,2024_25,01,Health Services,,,
trans,2024_25,01,"Administrative
and Support
Services",,,
trans,2024_25,01,"Administrative
and Support
Services",,61966726.0,2550319.0
trans,2024_25,01,"Administrative
and Support
Services",,161516309.0,6109216.0
trans,2024_25,01,"Administrative
and Support
Services",,602729518.0,53915164.0
trans,2024_25,01,"Administrative
and Support
Services",,,
trans,2024_25,01,"Administrative
and Support
Services",,667997575.0,36735189.0
trans,2024_25,01,"Administrative
and Support
Services",,609229731.0,87396195.0
trans,2024_25,01,"Administrative
and Support
Services",,209709141.0,3471486.0
trans,2024_25,01,"Administrative
and Support
Services",,62204964.0,109573.0
trans,2024_25,01,"Administrative
and Support
Services",,2302550904.0,289755964.0
trans,2024_25,01,"Administrative
and Support
Services","Preventive Health
Services",,
trans,2024_25,01,"Administrative
and Support
Services",,30334500.0,
trans,2024_25,01,"Administrative
and Support
Services",,20716324.0,151443.0
trans,2024_25,01,"Administrative
and Support
Services",,121945126.0,1229489.0
trans,2024_25,01,"Administrative
and Support
Services",,724153000.0,10080500.0
turkana,2024_25,01,Health and Sanitation Services,,,
turkana,2024_25,01,"General administration,
Planning and support
services",Health Facilities,22500000.0,
turkana,2024_25,01,"General administration,
Planning and support
services","General Administration, Planning and Support
Services - Medical Services",121000000.0,2380195.0
turkana,2024_25,01,"Support to Health Pro-
grams",Child Health,500000.0,
turkana,2024_25,01,"Support to Health Pro-
grams",Maternal and Neonatal Health,1500000.0,
turkana,2024_25,01,Medical Services,Laboratory Services,3000000.0,
turkana,2024_25,01,Medical Services,Blood Transfusion Services,1500000.0,
turkana,2024_25,01,Medical Services,Rehabilitative Services,800000.0,
turkana,2024_25,01,Medical Services,Referrals and Emergency Services,32000000.0,
turkana,2024_25,01,Medical Services,Dental Services,500000.0,
turkana,2024_25,01,Medical Services,Clinical Services,1300000.0,
turkana,2024_25,01,Medical Services,Nursing Services,1700000.0,
turkana,2024_25,01,Medical Services,Sub county Health Facilities Support,2800000.0,
turkana,2024_25,01,Medical Supplies,Medical Supplies,309975942.0,
turkana,2024_25,01,Medical Supplies,Health Management,1700000.0,
turkana,2024_25,01,"Community Health
Services",Community Health Services,1400000.0,
turkana,2024_25,01,Public Health,School Health,250000.0,
uasin,2024_25,01,Health Services,,,
uasin,2024_25,01,Health Services,,1603720748.0,268601952.5
uasin,2024_25,01,Promotive and Preventive Health,,,
uasin,2024_25,01,Promotive and Preventive Health,405014310.0,,
uasin,2024_25,01,Promotive and Preventive Health,504014310.0,515176243.0,23670670.0
uasin,2024_25,01,Promotive and Preventive Health,707014310.0,,
uasin,2024_25,01,Promotive and Preventive Health,,515176243.0,23670670.0
vihiga,2024_25,01,"Promotive and Pre-
ventive Healthcare
Services",,59710000.0,1002280.0
vihiga,2024_25,01,"Promotive and Pre-
ventive Healthcare
Services",Public Health Services,550000.0,
vihiga,2024_25,01,"Promotive and Pre-
ventive Healthcare
Services",Community Health Strategy,53594000.0,
vihiga,2024_25,01,"Promotive and Pre-
ventive Healthcare
Services",Reproductive Healthcare,5050000.0,1002280.0
vihiga,2024_25,01,"Promotive and Pre-
ventive Healthcare
Services","Disease Surveillance and
Emergency",516000.0,
vihiga,2024_25,01,"Curative And Re-
habilitative Health
Services",,121584000.0,19243936.0
vihiga,2024_25,01,"Curative And Re-
habilitative Health
Services",Medical services,14780000.0,
vihiga,2024_25,01,"Curative And Re-
habilitative Health
Services","Drugs and Other Medical
Supplies",106804000.0,19243936.0
vihiga,2024_25,01,"Child and Maternal
Health Care",,5038060.0,
vihiga,2024_25,01,"Child and Maternal
Health Care",Nutrition Services,5038060.0,
vihiga,2024_25,01,"Child and Maternal
Health Care",,,
bomet,2024_25,02,Medical Services and Public Health,,,
bomet,2024_25,02,"Medical Services
and Public Health","Administration, Planning
and Support Services",1463397433.0,820206630.0
bomet,2024_25,02,"Medical Services
and Public Health","Health Care Financing –
Transfers to Health Facilities",184726421.0,67527898.0
bomet,2024_25,02,"Medical Services
and Public Health",Curative Services,256287510.0,50740834.0
bomet,2024_25,02,"Medical Services
and Public Health","Preventive and Promotive
Services",308100782.0,1110000.0
bomet,2024_25,02,"Medical Services
and Public Health","Reproductive Health
Services",10000000.0,1017000.0
bomet,2024_25,02,"Medical Services
and Public Health","Health Infrastructure Devel-
opment",0.0,0.0
bomet,2024_25,02,"Medical Services
and Public Health",Sub-Total,2222512146.0,940602362.0
bungoma,2024_25,02,Programme 2: Preventive and Promotive,"SP 2.1 Communicable and
Non-Communicable Disease
Control",20.0,
bungoma,2024_25,02,Programme 2: Preventive and Promotive,"SP 2.2 Community Health
Strategy",5.6,
bungoma,2024_25,02,Programme 2: Preventive and Promotive,SP 2.3 Health Promotion,3.0,
bungoma,2024_25,02,Programme 2: Preventive and Promotive,"SP 2.6 Reproductive, Maternal,
Newborn, Child, And Adoles-
cent Health.",5.0,
bungoma,2024_25,02,Programme 2: Preventive and Promotive,"SP 2.7 Public Health and
Sanitation",8.0,2.03
bungoma,2024_25,02,Programme 2: Preventive and Promotive,"Specialised Materials and
Supplies",49.94,27.0
bungoma,2024_25,02,Programme 2: Preventive and Promotive,Hospital Facilities,1169.25,
busia,2024_25,02,Department of Health Services.,,,
busia,2024_25,02,Programme 5.,"SP. 4. Ambulance and
referral services",0.0,0.0
elgeyo,2024_25,02,"General Admin-
istration and
support services","Community and Environmen-
tal Health",,
elgeyo,2024_25,02,"General Admin-
istration and
support services",Health Services,,
embu,2024_25,02,Curative Health Services,Primary Health Care,916.8,563.04
embu,2024_25,02,"Preventive and Promotive
Health Services","Health Promotion & Disease
Control",360.75,221.55
embu,2024_25,02,Curative Health Services,Primary Healthcare,4.97,3.05
embu,2024_25,02,"Preventive and Promotive
Health Services","Health Promotion and Disease
Control",1.36,0.84
embu,2024_25,02,Children Services,"Child Rehabilitation and Cus-
tody",3.3,1.07
garissa,2024_25,02,"Programme
2: Curative
Services, Re-
habilitative
and Referal
services","Sub-programme 2.2 Rehabilitative
services",11.5,
garissa,2024_25,02,"Programme
2: Curative
Services, Re-
habilitative
and Referal
services","Sub-programme 2.3 Referral and
Emergency Services",54.26,
garissa,2024_25,02,"Programme
3: Preventive
and pro-
motive and
RMNCH
services","Sub-programme 3.1: Maternal,
newborn, child health and nutri-
tion services",11.08,
garissa,2024_25,02,"Programme
3: Preventive
and pro-
motive and
RMNCH
services","Sub-programme 3.2: Preventive
and Promotive Health Services",11.62,
homa,2024_25,02,"Financial management
services",Emergency Management Services,234935539.0,12000000.0
homa,2024_25,02,Department of Public Health and Medical Services,,,
homa,2024_25,02,"Preventive and
promotive health
services",Community health services,89620000.0,52491880.0
homa,2024_25,02,"Preventive and
promotive health
services",Disease control services,6000000.0,
homa,2024_25,02,"Preventive and
promotive health
services","Facility Infrastructure improve-
ment services",145000000.0,34119331.0
homa,2024_25,02,"Preventive and
promotive health
services",Subtotal,240620000.0,86611211.0
homa,2024_25,02,"Curative and rehabilita-
tive health services",Routine medical health services,110890936.0,41510735.0
homa,2024_25,02,"Curative and rehabilita-
tive health services","Medical emergency response
services",4000000.0,
homa,2024_25,02,"Curative and rehabilita-
tive health services","Facility infrastructure improve-
ment services",275000000.0,153709812.0
homa,2024_25,02,"Curative and rehabilita-
tive health services",Subtotal,389890936.0,195220547.0
kajiado,2024_25,02,Department of Medical Service and Public Health,,,
kajiado,2024_25,02,Curative and Rehabilitative,Hospital Service,,
kajiado,2024_25,02,Curative and Rehabilitative,"Health Products and Tech-
nologies",,
kajiado,2024_25,02,Curative and Rehabilitative,Emergency Responses,,
kajiado,2024_25,02,Public Health and Sanitation,Reproductive Maternal,,
kajiado,2024_25,02,Public Health and Sanitation,Primary Health Care,,
kajiado,2024_25,02,Public Health and Sanitation,Sub Total,,
kajiado,2024_25,02,"Environmental Management
and Public Health",Sub Total,,
kiambu,2024_25,02,Health Services,Curative,1200000000.0,313446295.0
kiambu,2024_25,02,Health Services,"Preventive and
Promotive",959107042.0,61080237.0
kiambu,2024_25,02,Health Services,,,
kiambu,2024_25,02,Health Services,,,
kiambu,2024_25,02,Health Services,"Administration and
Support",4760698635.0,2224723090.0
kiambu,2024_25,02,Alcoholic Fund,"Alcoholic Drinks
Control & Rehabil-
itation",30000000.0,
kilifi,2024_25,02,Health and Medical Services,,,
kisii,2024_25,02,Medical Services,,3421154652.0,1156633201.0
kisii,2024_25,02,public health,,92750000.0,
kisumu,2024_25,02,"Medical Services, Public Health and Sanitation",,,
kisumu,2024_25,02,"Health Promotive
Services","Health Promotive
Services",32578766.0,12603790.0
kisumu,2024_25,02,"County and Sub
County Hospital
Services","County and Sub
County Hospital
Services",110321698.0,
lamu,2024_25,02,MEDICAL SERVICES,,,
machakos,2024_25,02,HEALTH SERVICES,,,
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Machakos Level 5,246379350.0,96919608.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Kangundo Level 4,46100000.0,32991811.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Matuu Level 4,38500000.0,30821855.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Kathiani Level 4,50500000.0,32162483.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Mwala Level 4,32500000.0,25715957.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Kimiti Level 4,26500000.0,18211621.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Masinga Level 4,33600000.0,27770225.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Athiriver Level 4,20500000.0,14981637.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Mutituni Level 4,20500000.0,14978747.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Ndithini Level 4,22500000.0,16399390.0
machakos,2024_25,02,"Curative and
Rehabilitative
Health",Kalama Level 4,25500000.0,19331200.0
machakos,2024_25,02,"Preventive
and Promotive
Services",Public Health,240203470.0,75395410.0
machakos,2024_25,02,"Inspectorate,
Firefighting
and Emergency
Services","Inspectorate Services and
Management",154206459.0,74915185.0
machakos,2024_25,02,"Inspectorate,
Firefighting
and Emergency
Services",Emergency Services,9800000.0,4139200.0
mandera,2024_25,02,Health Services,,,
mandera,2024_25,02,"Preventive,
Promotive and Re-
productive Health
Services","Preventive,
Promotive and
Reproductive
Health Services",129523501.0,19754600.0
mandera,2024_25,02,"Curative Rehabili-
tative and Referral
Services","Curative Reha-
bilitative and
Referral Services",510425547.0,258242195.0
mandera,2024_25,02,"Curative Rehabili-
tative and Referral
Services",Sub-Total,2165448332.0,980895960.0
marsabit,2024_25,02,"SP 3.21 Purchase of
computers, printers,
general office supplies
and accessories and
sanitary cleaning
materials",,32138568.0,20306781.0
marsabit,2024_25,02,"Administrative and
support services",,15707948.0,1215000.0
marsabit,2024_25,02,"Communicable disease
prevention and control",,,
marsabit,2024_25,02,"Health Infrastructure
development",,,
marsabit,2024_25,02,"Health Planning and
Financing",,1638074916.0,984883741.0
marsabit,2024_25,02,"Disaster manage-
ment and emergency
response",,200000000.0,16336970.0
meru,2024_25,02,"Special programmes (Fire, Rescue
and Emergency Services)",,34200000.0,3621100.0
meru,2024_25,02,HEALTH SERVICES,,,
meru,2024_25,02,Curative Health,,455015300.0,184146526.0
meru,2024_25,02,Preventive and Promotive Health,,237598330.0,1410500.0
migori,2024_25,02,"Early Child-
hood Develop-
ment Educa-
tion Services","Quality assurance &
standard services",8500000.0,500000.0
migori,2024_25,02,"Early Child-
hood Develop-
ment Educa-
tion Services","Community ECD
services",,
migori,2024_25,02,"Child Care
Services","Child protection
responsive services
& caregiving support
services",1000000.0,200000.0
migori,2024_25,02,"Gender
Development
& Equality
Services","Adolescent Girls
& women, water,
sanitation, & hygiene
support services",3300000.0,1508050.0
migori,2024_25,02,Department of Medical Services,,,
migori,2024_25,02,Department of Medical Services,,,
migori,2024_25,02,"Planning &
Administra-
tive Support
Services","Health Financing
& Universal Health
Coverage (UHC)
coordination",12460000.0,500000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","Environmental
health services",1200000.0,
