county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
turkana,2019_20,01,Medical Services,Clinical Services,2000000.0,
turkana,2019_20,01,Medical Services,Nursing Services,2000000.0,
turkana,2019_20,01,Medical Services,Rural Health Facility Support,2400000.0,
turkana,2019_20,01,Medical Services,"Sub county Health Facilities
Support",2000000.0,
turkana,2019_20,01,Medical Supplies,,411282467.0,
turkana,2019_20,01,Medical Supplies,Medical Supplies,409282467.0,
turkana,2019_20,01,Medical Supplies,Health Commodities management,2000000.0,
turkana,2019_20,01,"Policy, Planning, Mon-
itoring and Evaluation",Universal Health Care,37175822.0,
turkana,2019_20,01,"Alcoholic Drinks
and Substance Abuse
Control",Rehabilitation & Treatment,950000.0,
turkana,2019_20,01,Social Protection,Child Rescue Centers,20000000.0,
turkana,2019_20,01,Social Protection,Child Care & Protection,5576917.0,
uasin,2019_20,01,Curative Health Services,County Health Referral Hospital,40982446.0,
uasin,2019_20,01,Curative Health Services,"Medical/Diagnostic Equipment &
Supplies",71775961.0,
uasin,2019_20,01,Curative Health Services,Sub Total,112758407.0,
uasin,2019_20,01,Clinical Services,Clinical Services,50082080.0,
uasin,2019_20,01,Health Infrastructure,Sub Total,408113176.0,
vihiga,2019_20,01,"Administration, Planning
and Support Service",Healthcare Financing,56235510.0,
vihiga,2019_20,01,"Promotive and Preventive
Healthcare Services",Public Health Services,25700000.0,
vihiga,2019_20,01,"Promotive and Preventive
Healthcare Services","Community Health
Strategy",6240000.0,
vihiga,2019_20,01,"Promotive and Preventive
Healthcare Services",Health Promotion,3795284.0,
vihiga,2019_20,01,"Promotive and Preventive
Healthcare Services",Reproductive Healthcare,340000.0,
vihiga,2019_20,01,"Promotive and Preventive
Healthcare Services","Disease Surveillance and
Emergency",490000.0,
vihiga,2019_20,01,"Promotive and Preventive
Healthcare Services",Sub total,36565284.0,
vihiga,2019_20,01,"Curative And
Rehabilitative Health
Services",Medical services,211600000.0,
vihiga,2019_20,01,"Curative And
Rehabilitative Health
Services",County referral services,240000.0,
vihiga,2019_20,01,"Curative And
Rehabilitative Health
Services","Drugs and Other Medical
Supplies",140000.0,
vihiga,2019_20,01,"Curative And
Rehabilitative Health
Services",Sub total,211980000.0,
vihiga,2019_20,01,"Child and Maternal Health
Care","Antenatal and Post Natal
healthcare",1800000.0,
vihiga,2019_20,01,"Child and Maternal Health
Care","Antenatal and Post Natal
Healthcare",1440000.0,
vihiga,2019_20,01,"Child and Maternal Health
Care",Maternity Services,41368276.0,
vihiga,2019_20,01,"Child and Maternal Health
Care","New-born, Child and
Adolescent Health",1140000.0,
vihiga,2019_20,01,"Child and Maternal Health
Care",Nutrition Services,440000.0,
vihiga,2019_20,01,"Child and Maternal Health
Care",Sub total,46188276.0,
wajir,2019_20,01,"PUBLIC HEALTH , MEDICAL SER-
VICE AND SANITATION",,,
wajir,2019_20,01,"0401003360 P1 Curative, Rehabilitative and
Referral Services","0401003360 P1 Curative,
Rehabilitative and Referral
Services",258110000.0,
baringo,2019_20,02,"Curative and Rehabil-
itative Services","General administration, planning & support ser-
vices",40164034.0,
baringo,2019_20,02,"Curative and Rehabil-
itative Services",Support service,131914894.0,
baringo,2019_20,02,"Curative and Rehabil-
itative Services",Support to County Hospitals (FIF),80074047.0,63412633.0
baringo,2019_20,02,"Curative and Rehabil-
itative Services",Sub Total,252152975.0,63412633.0
baringo,2019_20,02,"Preventive and
Promotive Health
Services",Infrastructure Development,46400000.0,
baringo,2019_20,02,"Preventive and
Promotive Health
Services",Primary Health Care,28200000.0,4393070.0
baringo,2019_20,02,"Preventive and
Promotive Health
Services",Sub Total,739607098.0,40885247.0
baringo,2019_20,02,"General Administra-
tion ,Planning and
Support Services",Emergency Fund,14000000.0,1424500.0
bomet,2019_20,02,"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,
bomet,2019_20,02,Curative Health Services,"Cash Transfers to Health
Facilities.",110953899.0,56841980.0
bomet,2019_20,02,Curative Health Services,Health Programmes,495596909.0,148168799.0
bungoma,2019_20,02,Preventive and Promotive,Preventive services,332889500.0,
bungoma,2019_20,02,Curative health care services,Curative health care services,315001345.0,
bungoma,2019_20,02,"Reproductive, Maternal, New
born and Child health","Reproductive, Maternal, New
born and Child health",190613112.0,70334616.0
bungoma,2019_20,02,"Reproductive, Maternal, New
born and Child health",Sub total,3323533971.0,1139187466.0
elgeyo,2019_20,02,"Preventive and Promotive
health",,80491967.0,0.0
elgeyo,2019_20,02,"Preventive and Promotive
health",Community and Environmental Health,72291967.0,0.0
elgeyo,2019_20,02,"Preventive and Promotive
health","Communicable & Non-Communicable
Disease Prevention & Control",8200000.0,0.0
