Programme,"Sub-pro-
gramme",Description,"Approved Budget
(Kshs.)","Actual Pay-
ments
(Kshs.)","Variance
(Kshs.)","Absorption
Rate
(%)",page_number,table_index
719003510,,"Town administration, plan-
ning, and support services","178,273,224","1,778,843","176,494,381",1.0,104,0
,719013510,Personnel Services,-,-,-,-,104,0
,719023510,"General Administration Sup-
port Services","178,273,224","1,778,843","176,494,381",1.0,104,0
,719043510,"Town Infrastructure Support
Services",-,-,-,-,104,0
723003510,,County Public Service,"58,639,215","6,264,420","52,374,795",10.7,104,0
,723013510,Personnel Services,-,-,-,-,104,0
,723023510,"Administration Support Ser-
vices","58,639,215","6,264,420","52,374,795",10.7,104,0
724003510,,"Administration and support
services",-,-,-,-,104,0
,724013510,Personnel Services,-,-,-,-,104,0
,724023510,"Administration Support Ser-
vices",-,-,-,-,104,0
,724033510,"Fencing and Rehabilitation of
Payroll Office",-,-,-,-,104,0
725003510,,Special programmes,"153,992,850","750,000","153,242,850",0.5,104,0
,725013510,Administration & Planning,-,-,-,-,104,0
,725023510,Disaster management,"153,992,850","750,000","153,242,850",0.5,104,0
726003510,,"KDSP (Kenya Devolution
Support Programme) Condi-
tional Grant","120,374,189","- 3,750,000","124,124,189",- 3.1,104,0
,726013510,Kenya Devolution Support,"120,374,189","- 3,750,000","124,124,189",- 3.1,104,0
728003510,,Fire Control Services,-,-,-,-,104,0
,728013510,Fire Control Services,-,-,-,-,104,0
