Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,Programme S,ub- Programme
"SP 1.4: Institutional Account-
ability, Leadership, Efficiency,
and Effectiveness",,"2,430,000",,"2,430,000",-,56,0,,
"SP 1.5: Public Participation
and Outreach Services",,"2,940,000",,"2,940,000",-,56,0,,
"SP 1.6: Research, Knowledge
Sharing and Development
Services",,-,,-,-,56,0,,
SP 1.7: Urban Economy,,-,,-,-,56,0,,
"Programme II: Urban Land
Use, Policy, and Planning",,-,,-,-,56,0,,
"SP 2.1: Survey of Government
Land and Quality Control",,-,,-,-,56,0,,
"SP 2,2: Land Acquisition",,-,,-,-,56,0,,
"Programme III: Urban In-
frastructure Development
and Management",,,-,-,-,56,0,,
"SP 3.1: Urban Transport and
Infrastructure",,"109,887,700",,"109,887,700",-,56,0,,
"SP 3.2: Urban Facilities and
Amenities",,-,-,-,-,56,0,,
SP 3.3: Urban Housing,,-,,-,-,56,0,,
SP 3.4: Urban Energy,,-,,-,-,56,0,,
"SP 3.5: Urban Fire Fighting,
Safety and Resilience",,-,,-,-,56,0,,
"SP 3.6: Other Urban Invest-
ments",,-,,-,-,56,0,,
"Programme IV: Urban En-
vironment, Health, Water,
Culture and Human Social
Services",,-,,-,-,56,0,,
"SP 4.1: Waste Management
and Sanitation Services",,-,,-,-,57,0,,
SP 4.2: Water Supply Services,,-,,-,-,57,0,,
"SP 4.3: Urban Air, Visual and
Water Pollution Control",,-,,-,-,57,0,,
"SP 4.4: Urban Art, Architec-
ture and Culture",,-,,-,-,57,0,,
"SP 4.5: Urban greening and
environment protection",,-,,-,-,57,0,,
"SP 4.6: Community Organiza-
tion and Youth Services",,-,,-,-,57,0,,
Programme IV Total,,-,,-,-,57,0,,
Total Expenditure,,,,-,-,57,0,,
Kimilili Municipality,,,,-,-,57,0,,
"Programme 1: General Ad-
ministration, Planning and
Support services",,,,-,-,57,0,,
"SP1:General Admin planning
and support services",,"13,410,066","240,000","13,170,066",1.8,57,0,,
"SP2:Administration and HR
Services",,"1,745,987",,"1,745,987",-,57,0,,
"Programme 2:Urban Infra-
structure Development and
management",,,-,-,-,57,0,,
"Infrastructure. Housing and
public works",,"191,089,400",,"191,089,400",-,57,0,,
Total Expenditure,,,,-,-,57,0,,
"Grand Total Lands, Housing
& municipality",,"499,680,265","8,025,868","491,654,397",1.6,57,0,,
,,,,-,-,57,0,,
FINANCE AND ECONOMIC PLANNING,,,,-,-,57,0,,
"Economic development plan
ning and coordination services",-,"20,855,973","8,836,680","12,019,293",42.4-,57,0,,
"Monitoring and evaluation ser
vices",-,"6,383,286","3,215,700","3,167,586",50.4-,57,0,,
Public finance management,,"156,243,550",,"156,243,550",-,57,0,,
"General administration, plan
ning, policy coordination, and
support services",-,"934,493,475","100,949,293","833,544,182",10.8-,57,0,,
Total Expenditure,,"1,117,976,284","113,001,673","1,004,974,611",10.1,57,0,,
,,,,-,-,57,0,,
PUBLIC ADMINISTRATION,,,,-,-,57,0,,
"Public service Managemen
and Administration",t,,,-,-,57,0,,
"General administration, plan
ning, and support services",-,"290,495,280","45,023,499","245,471,781",15.5,57,0,,
"Public Participation, Civic Edu
cation and outreach services",-,"7,400,000",,"7,400,000",-,57,0,,
"Service Delivery and Organiza
tional Transformation",-,"17,000,000",,"17,000,000",-,57,0,,
"Office of the County Secretary
ICT, and County Attorney",",",,,-,-,57,0,,
"General administration, plan
ning, and support services",-,"204,918,153","1,118,320","203,799,833",0.5,57,0,,
"Kenya Devolution Support Pro
gramme",-,"112,815,048",,"112,815,048",-,57,0,,
"ICT and information manage
ment services",-,"29,847,901",,"29,847,901",-,57,0,,
Total Expenditure,,"662,476,382","46,141,819","616,334,563",7.0,57,0,,
,,,,-,-,58,0,GENDER AND YOUTHS,
,,,,-,-,58,0,"Programme 1: General Admin-
istration, Planning and Sup-
port services",
,,"35,184,006","2,022,660","33,161,346",5.7,58,0,Sp 1.2 Administrative services,
,,"49,731,362","7,784,809","41,946,553",15.7,58,0,"SP 1. 2.Compansation to em-
ployees",
,,"2,000,000",,"2,000,000",-,58,0,1.3 Staff training,
,,"1,000,000",,"1,000,000",-,58,0,Sp1.4 DHRC Meeting,
,,"1,200,000",,"1,200,000",-,58,0,Sp1.5staff bonding,
,,"2,500,000",,"2,500,000",-,58,0,1.7 Planning and Budgeting,
,,,-,-,-,58,0,"Programme 2: Cultural Devel-
opment and Management",
,,"8,579,874",,"8,579,874",-,58,0,"SP 2. 1Development Historical
and cultural sites",
,,"6,500,000",,"6,500,000",-,58,0,"SP 2. 2. Promotion of communi-
ties culture",
,,"12,000,000",,"12,000,000",-,58,0,"SP 2.3 Sports and cultural asso-
ciation",
,,"2,500,000",,"2,500,000",-,58,0,SP2.4 Liquor and Licensing,
,,,-,-,-,58,0,"Programme:3.0 Gender Equal-
ity and Empowerment of Vul-
nerable Groups",
,,"5,500,000",,"5,500,000",-,58,0,"Sp3.1 Gender equality frame-
work",
,,"4,000,000",,"4,000,000",-,58,0,Sp3.2 Gender empowerment,
,,"2,000,000",,"2,000,000",-,58,0,Sp3.3 Gender mainstreaming,
,,"2,000,000",,"2,000,000",-,58,0,Sp3.4 Disability mainstreaming,
,,,-,-,-,58,0,"Programme 4.0 Sports Facility
Development and Management",
,,"216,887,354",,"216,887,354",-,58,0,"Sp 4.1 Development of sports
facility",
,,,-,-,-,58,0,"Programme 5.0 Sports talent
development and management",
,,"1,649,000",,"1,649,000",-,58,0,"5.1 Sports and talent develop-
ment established",
,,"353,231,596","9,807,469","343,424,127",2.8,58,0,Total Expenditure,
,,,,-,-,58,0,PUBLIC SERVICE,
,,,,-,-,58,0,"Programme 1: General Admin-
istration, Planning and Sup-
port services",
,,"17,511,117","3,925,600","13,585,517",22.4,58,0,SP 1. 1 Administrative service,
,,,,-,-,58,0,"Programme 2: (Human Re-
source Management and Devel-
opment)",
,,"4,305,949","1,072,804","3,233,145",24.9,58,0,"SP 2. 1 Human Resource Man-
agement",
,,"4,000,000",,"4,000,000",-,58,0,"SP 2. 2. Human Resource Devel-
opment",
,,,-,-,-,58,0,"Programme 3:(Governors and
National Values",
,,"2,702,854",,"2,702,854",-,58,0,SP 3. 1 Quality Assurance,
,,"5,195,000",,"5,195,000",-,58,0,"SP 3. 2 ethics governors and na-
tional",
,,"33,714,920","4,998,404","28,716,516",14.8,58,0,Total Expenditure,
,,,,,,58,0,COUNTY ASSEMBLY,
,,"674,764,545","56,948,649","617,815,896",8.4,58,0,"General Administration and
Support Services","General Administration and
Support Services"
