Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,Approved Budget (Kshs),Variance
728044110,"National & County Holi-
days",,-,,-,347,0,"4,000,000","4,000,000"
728054110,Policies Design,,-,,-,347,0,"1,500,000","1,500,000"
,Disaster risk management,,"2,385,500",,0.8,347,0,"308,500,000","306,114,500"
729014110,"Disaster Preparedness Pro-
grammes",,-,,-,347,0,"2,500,000","2,500,000"
729024110,"Disaster Mitigation Pro-
grammes",,-,,-,347,0,"2,500,000","2,500,000"
729034110,"Stakeholders coordination
and Support Programme",,-,,-,347,0,"2,500,000","2,500,000"
729044110,"Humanitarian Relief Food
Programme",,"2,385,500",,0.8,347,0,"300,000,000","297,614,500"
729064110,Disaster Risk Mgt,,-,,-,347,0,"1,000,000","1,000,000"
,Inspectorate services,,"295,050",,0.8,347,0,"35,046,442","34,751,392"
730044110,"Inspectorate Training Insti-
tute",,-,,-,347,0,"19,989,269","19,989,269"
730054110,Dispute Resolution,,-,,-,347,0,"2,557,173","2,557,173"
730074110,Capacity Building,,"295,050",,8.9,347,0,"3,300,000","3,004,950"
730084110,Inspectorate Services,,-,,-,347,0,"5,000,000","5,000,000"
730094110,Inspectorate Services Equip,,-,,-,347,0,"4,200,000","4,200,000"
,"Human resource manage-
ment",,"584,500",,1.6,347,0,"37,636,000","37,051,500"
731014110,"Payroll and record manage-
ment",,-,,-,347,0,"3,600,000","3,600,000"
731024110,"Human Resource Develop-
ment",,"210,000",,2.4,347,0,"8,936,000","8,726,000"
731034110,"GHRIS Leave & Perfor-
mance Module Implemen-
tation",,-,,-,347,0,"2,800,000","2,800,000"
731044110,"Digitisation and Automa-
tion of Human Resource
Registry",,-,,-,347,0,"5,000,000","5,000,000"
731054110,"Mainstreaming Public Sec-
tor Integrity Programme",,"168,000",,2.2,347,0,"7,800,000","7,632,000"
731064110,"County performance man-
agement",,-,,-,347,0,"2,700,000","2,700,000"
731074110,Public Service Week,,-,,-,347,0,"1,800,000","1,800,000"
731094110,Records Mgt,,"206,500",,10.3,347,0,"2,000,000","1,793,500"
,,,-,,-,348,0,"22,732,423","22,732,423"
735014110,Govt Programming,,-,,-,348,0,"7,400,000","7,400,000"
735024110,Community Engagement,,-,,-,348,0,"5,200,000","5,200,000"
735034110,"Govt Stakeholder Engage-
ment",,-,,-,348,0,"5,420,000","5,420,000"
735044110,Govt Transformation,,-,,-,348,0,"4,712,423","4,712,423"
,General Administration,,"1,303,120",,1.8,348,0,"71,516,164","70,213,044"
901014110,"General Administration,
Planning and Support Ser-
vices",,"1,303,120",,1.8,348,0,"71,516,164","70,213,044"
,"Tourism destination mar-
keting and promotion",,"102,420",,0.4,348,0,"24,500,000","24,397,580"
902014110,"Tourism expos, incentives,
conferences and exhibition
program",,-,,-,348,0,"1,000,000","1,000,000"
902024110,"Community Based Tourism
products",,"102,420",,3.7,348,0,"2,800,000","2,697,580"
902044110,"Tourism Market Research
(Baseline Survey & Map-
ping)",,-,,-,348,0,"15,500,000","15,500,000"
902054110,"Media Campaign and Pro-
motion of Tourism Products
and Programmes",,-,,-,348,0,"5,200,000","5,200,000"
,"Tourism development and
Promotion",,-,,-,348,0,"58,845,172","58,845,172"
903014110,"Completion and Furnishing
of Eco-Lodges",,-,,-,348,0,"58,845,172","58,845,172"
,"Culture, arts, heritage de-
velopment, promotion and
preservation",,-,,-,348,0,"78,780,400","78,780,400"
904014110,Ushanga Initiative,,-,,-,348,0,"17,300,000","17,300,000"
904024110,"Culture Promotion and
Preservation",,-,,-,348,0,"27,880,400","27,880,400"
904034110,"Arts and Creativity Devel-
opment",,-,,-,348,0,"2,200,000","2,200,000"
904044110,Heritage Promotion,,-,,-,348,0,"3,000,000","3,000,000"
904054110,"Annual tourism and cultural
festival",,-,,-,348,0,"28,400,000","28,400,000"
,"Culture development and
preservation infrastructure",,-,,-,348,0,"2,500,000","2,500,000"
905014110,"Equipment and Infra-
structure Development at
Ekalees Centre",,-,,-,348,0,"2,500,000","2,500,000"
,"Forestry and wildlife man-
agement development and
management",,"1,255,290",,5.2,348,0,"24,053,104","22,797,814"
906014110,"Forestry Management and
Conservation",,"1,173,150",,21.7,348,0,"5,400,000","4,226,850"
906024110,"Community Wildlife Con-
servation",,-,,-,348,0,"3,100,000","3,100,000"
906044110,"Forest Nature-Based Devel-
opment",,-,,-,348,0,"2,153,104","2,153,104"
906054110,"Forestry Development In-
frastructure",,-,,-,348,0,"11,400,000","11,400,000"
906084110,Forestry Protection,,-,,-,348,0,"600,000","600,000"
906094110,Prosopis Mgt,,"82,140",,5.9,348,0,"1,400,000","1,317,860"
,Turkana Water Programme,,"900,000",,0.3,348,0,"332,421,056","331,521,056"
1001014110,"General Administration,
Planning and support ser-
vices",,-,,-,348,0,"12,000,000","12,000,000"
1001024110,"Construction and Desilting
of Water Pans/Rock Catch-
ment",,-,,-,349,0,"82,898,707","82,898,707"
1001034110,"Rehabilitation of Water In-
frastructure",,"900,000",,0.8,349,0,"106,845,789","105,945,789"
1001044110,"Drilling and Equipping of
Boreholes",,-,,-,349,0,"122,163,068","122,163,068"
1001084110,"Equipment of Quality Anal-
ysis Laboratory",,-,,-,349,0,"6,000,000","6,000,000"
1001094110,"Project Coordination and
Management",,-,,-,349,0,"2,513,492","2,513,492"
,"Joint planning with stake-
holders",,-,,-,349,0,"45,231,510","45,231,510"
1002014110,"Technical planning and de-
sign",,-,,-,349,0,"45,231,510","45,231,510"
,"Irrigation And Schemes De-
velopment Programme",,-,,-,349,0,"6,299,545","6,299,545"
1003014110,"Feasibility studies for ir-
rigation systems develop-
ment",,-,,-,349,0,"6,299,545","6,299,545"
,"Turkana Agriculture Pro-
gramme",,"35,000",,0.2,349,0,"19,500,000","19,465,000"
1004014110,Farmers training,,-,,-,349,0,"4,000,000","4,000,000"
1004024110,"Establishment of farm
demonstrations and trials",,-,,-,349,0,"5,200,000","5,200,000"
1004034110,"Organising field days show
and exhibitions",,"35,000",,2.3,349,0,"1,500,000","1,465,000"
1004124110,"Climate Change & Adapta-
tion",,-,,-,349,0,"8,800,000","8,800,000"
,"TURKANA REHABILI-
TATION PROGRAMME",,"29,400",,0.2,349,0,"14,071,178","14,041,778"
1005014110,"Construction of trapezoidal
bunds, contours & micro
catchment",,"29,400",,1.1,349,0,"2,718,000","2,688,600"
1005024110,"Construction of rock catch-
ments and sand dams",,-,,-,349,0,"1,728,000","1,728,000"
1005034110,"The sinking of shallow
wells",,-,,-,349,0,"5,625,178","5,625,178"
1005064110,"Artisanal Mining Equip-
ment",,-,,-,349,0,"2,000,000","2,000,000"
1005074110,Extractive Bills & Policies,,-,,-,349,0,"2,000,000","2,000,000"
,"General Administration and
Support",,"2,883,881",,1.5,349,0,"189,588,777","186,704,896"
1012014110,"General Administration and
Support",,"2,883,881",,1.5,349,0,"189,588,777","186,704,896"
,,,-,,-,349,0,"3,056,732","3,056,732"
1013014110,Oil & gas,,-,,-,349,0,"1,600,000","1,600,000"
1013024110,"Extractive Regulations &
Strategies",,-,,-,349,0,"1,456,732","1,456,732"
,Municipality operations,,"1,615,780",,1.1,349,0,"144,694,910","143,079,130"
133014110,"General Admin Planning
and Support Services",,"1,615,780",,3.5,349,0,"45,566,997","43,951,217"
133024110,Municipal Planning,,-,,-,349,0,"11,051,110","11,051,110"
133034110,Municipal Services,,-,,-,349,0,"88,076,803","88,076,803"
,County Attorney,,"3,687,740",,2.7,349,0,"137,094,404","133,406,664"
,,,"1,540,210",,9.3,349,0,"16,629,600","15,089,390"
701134110,"General Administration,
Planning and Support Ser-
vices- County At",,"1,540,210",,9.3,349,0,"16,629,600","15,089,390"
,,,"2,147,530",,2.4,349,0,"89,514,590","87,367,060"
732014110,Litigation,,"1,200,660",,1.6,349,0,"75,062,800","73,862,140"
