"Pro-
gramme","Programme and Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,"712013060Sub County Admin
Msambweni","8,082,512",-,"3,723,075",,46,,265,0
,"712023060Sub County Admin
Lunga Lunga","9,808,112",-,"3,625,230",,37,,265,0
,"712033060Sub County Admin
Matuga","11,102,000",-,"3,335,215",,30,,265,0
,"712043060Sub County Admin
Kinango","9,211,600",-,"5,973,375",,65,,265,0
,Sub-Total,"38,204,224",-,"16,656,895",,44,,265,0
,"713013060 County Garbage and
Cleaning Services","9,424,445",,"5,751,564",,61,,265,0
,Sub-Total,"9,424,445",,"5,751,564",,61,,265,0
,714013060(Human Resource Mgt),"9,150,000",,"713,380",,8,,265,0
,Sub-Total,"9,150,000",,"713,380",,8,,265,0
Total,,"281,079,433","20,936,933","205,784,654",,73,,265,0
Municipality of Kwale,,,,,,,,265,0
3075,0102063060 (Personnel),"1,749,685",-,-,-,-,-,265,0
,0111013060 (Kwale municipality),"8,099,209","69,260,304","3,292,978","10,061,054",41,15,265,0
Total,,"9,848,894","69,260,304","3,292,978","10,061,054",41,15,265,0
