Program,Sub Program,Revised Estimates,col_3,Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
902005070,,"49,631,493.00","186,300,000.00",,,-,,231,0
,"Sustainable Access
to safe Water","940,000.00",-,,,-,,231,0
,"Water resources &
Sewerage services","48,691,493.00","186,300,000.00",,,-,-,231,0
904005070,,"3,696,856.00",-,-,-,,,231,0
,"Solid Waste Man-
agement","2,567,000.00",-,-,-,,,231,0
,"Environment
Conservation Of
Natural Resources","1,129,856.00",-,-,-,,,231,0
906005070,,"1,460,000.00",-,"775,000.00",-,53.1,,231,0
,Pollution Control,"1,460,000.00",-,"775,000.00",-,53.1,,231,0
,SUB Total,"125,363,467.00","186,300,000.00","12,843,086.00",,10.2,-,231,0
Vote,City of Kisumu,,,,,,,231,0
108005072,,"21,855,964.00",-,"1,632,442.35",-,7.5,,231,0
,"Local Revenue
Mobilisation","21,855,964.00",-,"1,632,442.35",-,7.5,,231,0
109005072,,"32,793,465.00",-,"9,502,242.30",-,29.0,,231,0
,"Urban planning
and development","32,793,465.00",-,"9,502,242.30",-,29.0,,231,0
401005072,,"107,912,257.00",-,"33,518,426.90",-,31.1,,231,0
,"Health promotion
service","45,290,823.00",-,"11,272,926.90",-,24.9,,231,0
,"Environmental
health and sani-
tation","62,621,434.00",-,"22,245,500.00",-,35.5,,231,0
501005072,,"33,411,122.00",-,"16,170,000.00",-,48.4,,231,0
,"Promotion of
early childhood
education.","33,411,122.00",-,"16,170,000.00",-,48.4,,231,0
704005072,,"196,166,514.00","68,488,564.00","37,772,804.45",,19.3,,231,0
,"General Admin-
istration and
Support services","196,166,514.00","68,488,564.00","37,772,804.45",,19.3,-,231,0
