Sub Program,Name of the Programme,"Approved Esti-
mates (Kshs.)","Expenditure
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
902014110,"Tourism expos, incentives, conferences and
exhibition program","4,724,203","342,734","4,381,469",7.3,361,0
902024110,Community Based Tourism products,"1,953,284","342,472","1,610,812",17.5,361,0
902054110,"Media Campaign and Promotion of Tour-
ism Products and Programmes","6,406,285","545,492","5,860,793",8.5,361,0
,Tourism development and Promotion,"58,509,221","92,296","58,416,925",0.2,361,0
903014110,Completion and Furnishing of Eco-Lodges,"52,035,000",-,"52,035,000",0.0,361,0
903024110,"Phase II of Renovation of Tourism Infra-
structure","4,184,000",-,"4,184,000",0.0,361,0
903034110,Tourism Products,"2,290,221","92,296","2,197,925",4.0,361,0
,"Culture, arts, heritage development, pro-
motion and preservation","133,321,943","1,211,238","132,110,705",0.9,361,0
904014110,Ushanga Initiative,"20,100,000",-,"20,100,000",0.0,361,0
904024110,Culture Promotion and Preservation,"83,186,000","140,320","83,045,680",0.2,361,0
904034110,Arts and Creativity Development,"1,872,000",-,"1,872,000",0.0,361,0
904044110,Heritage Promotion,"3,863,943","439,350","3,424,593",11.4,361,0
904054110,Annual tourism and cultural festival,"24,300,000","631,567","23,668,433",2.6,361,0
,"Culture development and preservation in-
frastructure","10,400,000",-,"10,400,000",0.0,361,0
905014110,"Equipment and Infrastructure Develop-
ment at Ekalees Centre","10,400,000",-,"10,400,000",0.0,361,0
,"Forestry and wildlife management devel-
opment and management","27,442,352","1,914,023","25,528,329",7.0,361,0
906014110,Forestry Management and Conservation,"3,773,952","1,625,128","2,148,824",43.1,361,0
906024110,Community Wildlife Conservation,"3,956,400",-,"3,956,400",0.0,361,0
906054110,Forestry Development Infrastructure,"15,032,000","288,895","14,743,105",1.9,361,0
906084110,Forestry Protection,"2,250,000",-,"2,250,000",0.0,361,0
906094110,Prosopis Mgt,"2,430,000",-,"2,430,000",0.0,361,0
,Turkana Water Programme,"439,205,368","14,976,467","424,228,901",3.4,361,0
1001014110,"General Administration, Planning and sup-
port services","145,000,000",-,"145,000,000",0.0,361,0
1001024110,"Construction and Desilting of Water Pans/
Rock Catchment","45,605,050",-,"45,605,050",0.0,361,0
1001034110,Rehabilitation of Water Infrastructure,"112,644,212","3,059,410","109,584,802",2.7,361,0
1001044110,Drilling and Equipping of Boreholes,"118,409,736","9,319,129","109,090,607",7.9,361,0
1001084110,Equipment of Quality Analysis Laboratory,"13,000,000",-,"13,000,000",0.0,361,0
1001094110,Project Coordination and Management,"4,546,370","2,597,928","1,948,442",57.1,361,0
,Joint planning with stakeholders,"3,600,000","1,231,180","2,368,820",34.2,361,0
1002014110,Technical planning and design,"3,600,000","1,231,180","2,368,820",34.2,361,0
,"IRRIGATION AND SCHEMES DEVEL-
OPMENT PROGRAMME","12,940,000","2,384,258","10,555,742",18.4,361,0
1003014110,"Feasibility studies for irrigation systems de-
velopment","10,440,000","2,384,258","8,055,742",22.8,361,0
1003024110,Construction of 2 new irrigation schemes,"2,500,000",-,"2,500,000",0.0,361,0
,"TURKANA AGRICULTURE PRO-
GRAMME","20,708,000","3,744,065","16,963,935",18.1,361,0
1004014110,Farmers training,"5,850,000","3,744,065","2,105,935",64.0,361,0
