Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,508014110,"Youth Polytechnic Infra-
structure","10,000,000",-,"10,000,000",-,350,0
,508024110,"Training and Develop-
ment","3,226,370",-,"3,226,370",-,350,0
,508034110,Co-Curricular Activities,"2,060,877",-,"2,060,877",-,350,0
,508044110,"Youth Polytechnics-
Conditional","13,893,298","5,090,700","8,802,598",36.6,350,0
509003000,,,"2,811,425","501,950","2,309,475",17.9,350,0
,509014110,Publicity,"1,249,120","196,950","1,052,170",15.8,350,0
,509024110,"Research and Sensitiza-
tion","1,562,305","305,000","1,257,305",19.5,350,0
510003000,,,"329,907,861","3,889,400","326,018,461",1.2,350,0
,510014110,School Feeding,"158,000,000","1,634,000","156,366,000",1.0,350,0
,510024110,Quality Improvement,"7,392,201","2,255,400","5,136,801",30.5,350,0
,510034110,"Infrastructure Develop-
ment","156,515,660",-,"156,515,660",-,350,0
,510044110,"Support to Pre-Primary
Training","8,000,000",-,"8,000,000",-,350,0
701003000,,,"4,948,270,058","928,464,428","4,019,805,630",18.8,350,0
,701014110,"General Administration
Services","142,722,233","32,764,812","109,957,421",23.0,350,0
,701044110,"Infrast. Devt & Support
Services","110,000,000",-,"110,000,000",-,350,0
,701094110,"General Administration -
Economic planning","89,905,815","1,013,600","88,892,215",1.1,350,0
,701104110,"County Headquarters Of-
fices","65,000,000",-,"65,000,000",-,350,0
,701114110,"Security Access Installa-
tion","5,000,000",-,"5,000,000",-,350,0
,701154110,"General Admin Planning
& Support","18,840,532","1,325,688","17,514,844",7.0,350,0
,701164110,"General Administration,
Planning and Support
Services-Public Ser","4,144,824,816","868,718,246","3,276,106,569",21.0,350,0
,701174110,"General Administration,
Planning and Support
Services-Administer","45,719,503","5,532,737","40,186,766",12.1,350,0
,701184110,"Integration of PWD
Computing Skills","1,572,966","392,000","1,180,966",24.9,350,0
,701194110,"General Administration,
Planning and Support
Services- Office of","269,534,193","13,531,463","256,002,730",5.0,350,0
,701204110,"General Administration,
Planning and Support
Services- Liaison O","25,300,000","2,677,381","22,622,619",10.6,350,0
,701214110,"General Admin Planning
& Support","29,850,000","2,508,501","27,341,499",8.4,350,0
702003000,,,"12,456,691","810,720","11,645,971",6.5,350,0
,702014110,"Construction of Gover-
nor’s residence","2,775,822",-,"2,775,822",-,351,0
,702024110,"Documentation, com-
munication policy and
strategy","3,701,096",-,"3,701,096",-,351,0
,702034110,"Civic Education and Pub-
lic Sensitization","3,851,643","810,720","3,040,923",21.0,351,0
,702044110,"Production of County
Newspaper and Newslet-
ter","2,128,130",-,"2,128,130",-,351,0
703003000,,,"22,000,000","3,069,700","18,930,300",14.0,351,0
,703014110,"Public-Private Partner-
ship Initiatives (PPPs)","2,200,000",-,"2,200,000",-,351,0
,703024110,"Political and Intergovern-
mental Advisory Services","2,200,000",-,"2,200,000",-,351,0
,703034110,Legal Advisory Services,"2,200,000","976,500","1,223,500",44.4,351,0
