Programme,Sub-Programme,Revised Estimates FY2024/25,col_3,"Actual Expenditure as of 31
December 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Infrastructure
Development","Infrastructure develop-
ment",-,"62,861,322",-,"1,488,280",0.0,2.4,425,0
,Sub-Total,"21,319,686","62,861,322","10,327,609","1,488,280",48.4,2.4,425,0
Department of Awendo Municipality,,,,,,,,425,0
"Administrative
and Support
Services","Planning, Adminis-
tration, & governance
services","13,280,000",-,"1,966,455",-,14.8,0.0,425,0
,Board Activities,"6,720,000",-,"6,657,344",-,99.1,0.0,425,0
Pending Bills,"Pending Bills -
2023/24FY","2,002,986","10,598,845","1,029,939","10,598,844",51.4,100.0,425,0
"Infrastructure
Development","Infrastructure develop-
ment",-,"24,800,000",,"4,694,044",0.0,18.9,425,0
,Sub-Total,"22,002,986","35,398,845","9,653,738","15,292,888",43.9,43.2,425,0
"Department of Roads, Transport, Public Works & Infrastructural Development",,,,,,,,425,0
"General ad-
ministration &
support services",Administrative services,"111,215,685",-,"70,128,387",,63.1,0.0,425,0
"Road De-
velopment,
Maintenance &
Management",Community access roads,-,"267,197,667",-,"8,697,739",0.0,3.3,425,0
,Major roads,-,"450,000,000",-,"118,802,282",0.0,26.4,425,0
,"Bridges & culverts
services",-,"50,000,000",-,"37,604,829",0.0,75.2,425,0
,"Road Maintenance Fuel
Roads",-,"100,681,918",-,-,0.0,0.0,425,0
Pending Bills,"Pending Bills -
2023/24FY","11,061,260","53,902,666","10,508,220","6,694,859",95.0,12.4,425,0
"Transport
Infrastructure
Management
Services","Transport management
services",-,"26,000,000",,-,0.0,0.0,425,0
,Sub-Total- (Roads),"122,276,945","947,782,251","80,636,607","171,799,709",65.9,18.1,425,0
"General ad-
ministration &
support services",Administrative services,"17,779,182",-,"8,556,250",-,48.1,0.0,425,0
"Public works
services",Architectural Services,"2,240,000",-,"428,300",-,19.1,0.0,425,0
,"Quantity Surveyor’s
Services","1,660,000",-,"600,000",-,36.1,0.0,425,0
,"Mechanical & Electrical
Engineering services","1,340,000",-,"500,000",-,37.3,0.0,425,0
,"Structural engineering
services","1,916,000",-,"1,000,000",-,52.2,0.0,425,0
,Mechanisation service,"720,000",-,-,-,0.0,0.0,425,0
,"Sub-Total- (Public
Works)","25,655,182",-,"11,084,550",-,43.2,0.0,425,0
,Sub-Total,"147,932,127","947,782,251","91,721,157","171,799,709",62.0,18.1,425,0
"Department of Trade, Tourism, Industry, Market & Cooperative Development",,,,,,,,425,0
"Policy, Planning
& administrative
support services","Administrative support
services","87,604,394",-,"62,773,414",,71.7,0.0,425,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",426,0
"Trade Promo-
tion, Develop-
ment & Support
to SMEs","Trade development
& promotion of SME
services","1,000,000",-,"700,000",,70.0,0.0,426,0
,"Trade infrastructure
development services",-,"52,132,976",,"21,970,863",0.0,42.1,426,0
,"Trade regulation &
information management
systems","1,500,000",-,"700,000",,46.7,0.0,426,0
Pending Bills,"Pending Bills -
2023/24FY","4,892,789","34,844,546","3,776,501","34,844,546",77.2,100.0,426,0
"Legal metrology
services",Legal metrology services,"2,300,000",-,"1,400,000",,60.9,0.0,426,0
,Sub-Total- (Trade),"97,297,183","86,977,522","69,349,915","56,815,409",71.3,65.3,426,0
"General ad-
ministrative &
support services","Administrative support
services",-,-,,,0.0,0.0,426,0
"Industrial
development
& investment
services","Industrial & enterprise
development","3,200,000","251,500,000","1,349,900","1,448,933",42.2,46.4,426,0
,"Investment promotion
services.","1,800,000",-,"750,000",,41.7,0.0,426,0
,"Sub-Total- (Industriali-
sation)","5,000,000","251,500,000","2,099,900","1,448,933",42.0,46.4,426,0
"General ad-
ministrative &
support services","Administrative support
services",-,-,,-,0.0,0.0,426,0
"Tourism
Research &
Development","Tourism product devel-
opment","7,400,000",-,"3,499,600",-,47.3,0.0,426,0
,"Tourism promotion,
investment & marketing","4,100,000",-,"2,621,000",-,63.9,0.0,426,0
,"Tourism development &
investment services.",-,-,,-,0.0,0.0,426,0
,"Sub-Total- (Industriali-
sation)","11,500,000",-,"6,120,600",-,53.2,0.0,426,0
"General ad-
ministrative &
support services","Administrative support
services","3,000,000",-,"1,197,640",-,39.9,0.0,426,0
"Cooperative
Policy, Research
Advisory","Cooperative Policy,
Research Advisory","2,000,000",-,"1,220,340",-,61.0,0.0,426,0
"Cooperative
Development
& Promotion
Services","Cooperative Devel-
opment & Promotion
Services","2,000,000",-,"600,000",-,30.0,0.0,426,0
"Cooperative
Audit",Cooperative Audit,"1,100,000",-,"300,000",-,27.3,0.0,426,0
"Cooperative
Governance,
Oversight &
Compliance","Cooperative Governance,
Oversight and Compli-
ance","400,000",-,"100,000",-,25.0,0.0,426,0
,"Sub-Total- (Cooperative
Development)","8,500,000",-,"3,417,980",-,40.2,0.0,426,0
"Liquor Licensing
and Control",Alcohol Fund,-,-,,-,0.0,0.0,426,0
,"Liquor Licensing and
Control","1,500,000",-,-,-,0.0,0.0,426,0
,"Sub-Total- (Liquor
Licensing)","1,500,000",-,-,-,0.0,0.0,426,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",427,0
,Sub-Total,"123,797,183","338,477,522","80,988,395","58,264,342",65.4,51.2,427,0
County Assembly Entity,,,,,,,,427,0
"General ad-
ministration &
support services",Administrative services,"717,227,179",-,"418,943,508",-,58.4,0.0,427,0
"Infrastructure
Development","Infrastructure Develop-
ment Services",-,"50,000,000",-,-,0.0,0.0,427,0
Pending Bills,Pending Bills,"73,815,978","2,636,694","16,141,470",-,21.9,0.0,427,0
,"Sub-Total- (Office of the
Clerk)","791,043,157","52,636,694","435,084,978",-,55.0,0.0,427,0
"General ad-
ministration &
support services",Administrative services,"43,789,750",-,"22,017,376",-,50.3,0.0,427,0
"Oversight Man-
agement Services","Committee Management
Services","133,173,168",-,"126,100,714",-,94.7,0.0,427,0
,Representation,"68,278,772",-,"61,073,080",-,89.4,0.0,427,0
,"Sub-Total- (Speaker’s
Office)","245,241,690",-,"209,191,170",-,85.3,0.0,427,0
,Sub-Total,"1,036,284,847","52,636,694","644,276,149",-,62.2,0.0,427,0
Department of Water and Energy,,,,,,,,427,0
"Policy, General
Administra-
tion & Support
Services","Policies & legal frame-
work",-,-,,,0.0,0.0,427,0
,"General administrative
services","102,468,652",-,"33,084,530",,32.3,0.0,427,0
,"Operation & maintenance
of rural water services","10,799,000","8,000,000",-,-,0.0,0.0,427,0
"Water supply
& Management
services","Urban Water Supply &
Sewerage Services","34,441,955","20,831,998","29,701,457",-,86.2,0.0,427,0
,Rural Water Services,"13,979,668",-,-,,0.0,0.0,427,0
,"Water Conservation, Pro-
tection, & Governance",-,"5,200,000",,-,0.0,0.0,427,0
,"Community water
services",-,"100,477,601",,"21,487,741",0.0,21.4,427,0
Pending Bills,"Pending Bills -
2023/24FY","49,675,692","162,264,479","38,717,956","134,757,850",77.9,83.0,427,0
Donor Funding,Donor Funding,-,"199,874,000",,-,0.0,0.0,427,0
"Energy Develop-
ment Services","Renewable energy devel-
opment","13,750,000","20,000,000","6,820,664",-,49.6,0.0,427,0
,Sub-Total,"225,114,967","516,648,078","108,324,607","156,245,591",48.1,30.2,427,0
,Grand-Total,"7,411,693,177","4,275,611,296","4,560,119,752","1,108,354,974",61.5,28.5,427,0
