Programme,Sub-Programme,Gross Approved Estimates FY 2024/25,col_3,Expenditure,col_5,"Absorption
Rate (%)",col_7,page_number,table_index
Sub-Total,,"5,100,000",-,"667,500",-,13,,314,0
"Security and Policing
Support Services","Urban Facilities
Management Services-
0723024510",-,-,-,-,,0,314,0
"Human Capital
Management and
Devolution","County Public Service
Board- 0722024510","8,000,000",-,"3,713,653",-,46,0,314,0
"Human Capital
Management and
Devolution","Information and Records
Management- 0722034510","1,800,000",-,"615,700",-,34,0,314,0
Sub-Total,,"9,800,000",-,"4,329,353",-,44,,314,0
"County Adminis-
tration",Fleet - 0702074510,"800,000",,"61,050",-,8,0,314,0
Sub-Total,,"800,000",-,"61,050",-,8,0,314,0
"Public Safety, En-
forcement and Disas-
ter Management","Disaster Reduction Man-
agement - 0705014510","1,224,706","1,633,000","208,600",-,17,0,314,0
,Fire Services- 0705024510,"857,294","18,267,000",-,-,0,0,314,0
,"Enforcement And Disaster
Management- 0705034510","673,000",,"570,000",-,85,0,314,0
,"Alcohol Control Commit-
tee- 0705044510","245,000",,-,-,0,0,314,0
Sub-Total,,"3,000,000","19,900,000","778,600",-,26,0,314,0
TOTAL COUNTY ADMINISTRATION,,"3,762,209,020","20,186,323","2,292,103,789",-,61,0,314,0
"DEPARTMENT: FINANCE, ECONOMIC PLANNING AND THE COUNTY TREASURY",,,,,,,,314,0
"707004510 Financial
Services","707064510 County
Treasury administrative
services","65,000,000",,"20,933,551",,32,0,314,0
,,Rec,Dev,Rec,Dev,Rec,Dev,315,0
,"707084510 Financial
Automation Services","800,000",,"317,880",,40,0,315,0
,"707074510 Laikipia Coun-
ty Emergency Fund","14,985,452","45,000,000",,"10,955,076",0,24,315,0
,"707044510 Revenue man-
agement services",,"10,000,000",,"6,824,066",0,68,315,0
,Sub-Total,"80,785,452","55,000,000","21,251,431","17,779,142",,,315,0
"0709004510 Admin-
istration and Support
Services","709014510 Generation ad-
ministration and support
services","97,244,143","573,431,056","49,450,385","348,994,806",51,61,315,0
,Sub-Total,"97,244,143","573,431,056","49,450,385","348,994,806",,,315,0
"0725004510 Public
Finance Management
Services","725014510 County
Treasury Accounting and
Reporting Services","4,500,000",,"2,602,865",,58,0,315,0
,"725044510 Budget Man-
agement","3,694,412",,"1,352,200",,37,0,315,0
,"725034510 Internal Audit
Services","4,800,000",,"1,515,600",,32,0,315,0
,"725024510 Supply Chain
Management Services","4,500,000",,"354,200",,8,0,315,0
,Sub-Total,"17,494,412",-,"5,824,865",-,,,315,0
"0706004510 Depart-
mental administra-
tive services/Cen-
tralised services","706044510 Revenue
collection services","34,500,000",,"29,380,350",-,85,0,315,0
,"706054510 Budget supply
services","1,345,800",,"883,100",,,,315,0
,Sub-Total,"35,845,800",-,"30,263,450",-,,,315,0
"0726004510 Devel-
opment Planning
Services","726014510 Integrated
Planning Services",,,,,0,0,315,0
,"726024510 Participato-
ry Budgeting support
services",,,,,0,0,315,0
,"726034510 Research Sta-
tistics and Documentation
Services",,,,,0,0,315,0
,"726064510 Strategic Part-
nership and Collaboration","5,000,000","1,910,951","854,200",,17,0,315,0
,"0726044510 Programme
monitoring and Evalu-
ation","1,574,000",,"1,060,196",,67,0,315,0
,Sub-Total,"6,574,000","1,910,951","1,914,396",-,,,315,0
"0702004510 County
Administration","0702054510 Public partic-
ipation","240,000",,,,0,0,315,0
,Sub-Total,"240,000",-,-,-,,,315,0
"0721004510 Eco-
nomic planning
services","0721014510 Integrated
Planning Services","1,600,000",,"1,127,110",,70,0,315,0
,"0721054510 Research
Statistics and Documen-
tation","2,200,000",,"1,577,314",,72,0,315,0
Sub-Total,,"3,800,000",-,"2,704,424",-,,,315,0
FINANCE TOTAL,,"241,983,807","630,342,007","111,408,951","366,773,948",,,315,0
DEPARTMENT: HEALTH,,,,,,,,315,0
"CURATIVE AND
REHABILITATIVE
HEALTH","HEALTH PRODUCTS
AND TECHNOLOGIES
SUPPORT-0401014510",-,"162,000,000",,"70,744,160",44,0,315,0
,"HEALTH INFRASTRUC-
TURE DEVELOP-
MENT-0401034510",-,"148,000,000",,"57,743,448",39,0,315,0
,,Rec,Dev,Rec,Dev,Rec,Dev,316,0
,"EMERGENCY
REFFERAL AND
REHABILITATIVE SER-
VICE-0401074510","98,800,000","512,200,000","19,544,905",,0,20,316,0
,"402014510 ADMINIS-
TRATION, PROJECT
PLANNING AND
IMPLEMENTATION
SERVICES","4,000,000","20,000,000","3,258,390",,0,81,316,0
,"HUMAN RE-
SOURCE DEVELOP-
MENT-0402024510","3,000,000",-,"128,200",,0,4,316,0
,"402044510 HEALTH
LEADERSHIP AND
GOVERNANCE","6,000,000",-,"3,849,450",,0,64,316,0
,"STRATEGIC
HEALTH INTERVEN-
TIONS-0401054510","6,647,630",,"270,782",,0,4,316,0
,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510","25,230,000",-,"2,390,795",,0,9,316,0
,Sub Total,"143,677,630","842,200,000","29,442,522","128,487,608",15,20,316,0
LAIKIPIA COUNTY DEPARTMENT OF HEALTH,,,,,,,,316,0
"GENERAL AD-
MINISTRATIVE
AND PLANNING
SERVICES","HUMAN RE-
SOURCE DEVELOP-
MENT-0402024510","300,000",-,,,0,0,316,0
,"POLICY MANAGE-
MENT, PUBLIC MOBILI-
SATION AND PARTICI-
PATION 401044510","9,700,000",-,"8,495,849",,0,88,316,0
,"EMERGENCY REF-
FERAL AND REHA-
BILITATIVE SERVICES
401064510","8,000,000",-,"3,723,510",,0,47,316,0
,Sub-Total,"18,000,000",-,"12,219,359",,0,68,316,0
LAIKIPIA COUNTY DEPARTMENT OF HEALTH,,,,,,,,316,0
"PREVENTIVE
HEALTH SERVICES","COMMUNITY HEALTH
STRATEGY, ADVO-
CACY AND SURVEIL-
LANCE-0405044510","35,000,000",-,"16,726,000",,0,48,316,0
,"FAMILY PLANNING,
MATERNAL, AND
CHILD HEALTH SER-
VICES-0405014510","2,200,000",-,"811,750",,0,37,316,0
,"NON-COMMUNICABLE
DISEASES CONTROL
AND PREVEN-
TION-0405024510","1,650,000",-,"1,157,400",,0,70,316,0
,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510","4,910,000",-,,,0,0,316,0
,"TB/HIV/AIDS PREVEN-
TION AND CON-
TROL-0405054510","1,250,000",-,"61,000",,0,5,316,0
Sub-Total,,"45,010,000",-,"18,756,150",,0,42,316,0
HEALTH TOTAL,,"206,687,630.00","842,200,000.00","60,418,030.85","28,487,608.00",15,29,316,0
,,Rec,Dev,Rec,Dev,Rec,Dev,317,0
DEPARTMENT: AGRICULTURE,,,,,,,,317,0
Headquarters,"SP1 0103014510 Head-
quarters Administration
Services","4,000,000.00","204,495,842.00","2,063,196.00","26,170,801.30",52,13,317,0
,"SP1 0103024510 Head-
quarters Administration
Services","4,000,000.00",-,"2,025,000.00",-,51,0,317,0
Livestock Production,"SP2 0104024510 Livestock
Resource Development
and Management","1,350,000.00","16,000,000.00","604,300.00",-,45,0,317,0
Veterinary Services,"SP5 0107054510 Animal
Health and Disease Man-
agement","1,350,000.00","16,500,000.00","973,100.00",-,72,0,317,0
Fisheries Production,"SP1 0110014510 Fisheries
Development and Man-
agement","950,000.00","2,090,000.00","667,350.00",-,70,0,317,0
"Crop Production &
Horticulture","SP2 0117024510 Land
and Crop Productivity
Enhancement and Man-
agement","3,000,000.00","19,000,000.00","2,414,700.00",-,80,0,317,0
,"SP4 1006044510 Climate
Change Adaptation &
Mitigation","1,350,000.00","38,800,000.00","928,400.00",-,69,0,317,0
TOTAL AGRICULTURE,,"16,000,000.00","296,885,842.00","9,676,046.00","26,170,801.30",4,0,317,0
DEPARTMENT: INFRASTRUCTURE,,,,,,,,317,0
"P3-0103004510-General
Administration and Plan-
ning Services","SP1 Administration
Services-0105014510","9,600,000.00",-,"3,865,500.00",-,40,0,317,0
"P12-0112004510 -
Physical Planning
and Survey","SP1-0112014510 - Survey
and Planning services","4,050,000.00","12,000,000.00","933,000.00","956,250.00",23,8,317,0
,"SP2-0112024510 - Land
management services",-,"8,000,000.00",-,-,0,0,317,0
"P13-0113004510-
Land and Housing
Management","SP2 Housing Policy De-
velopment-0113024510",,"7,500,000.00",-,-,0,0,317,0
"P14-0114004510-
Public Works Service
Delivery Improve-
ment","SP4 County Building
Construction Stan-
dard-0114044510","1,000,000.00","2,500,000.00","410,500.00",-,41,0,317,0
