Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25 (Kshs.)",col_3,"Actual Expenditure as of 31 March 2025
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,111013060,0,"112,459,627",0,"57,620,792.70",,,303,0
,,"44,500,202","112,459,627","6,731,587","57,620,792.70",15,51,303,0
3076-Municipality of Diani,,,,,,,,303,0
102003076,,"55,432,502",,"20,773,997",,37,,303,0
,102053060,"55,432,502",,"20,773,997",,,,303,0
112003076,,0,"118,781,066",0,"42,025,066",,35,303,0
,112013060,0,"118,781,066",0,"42,025,066",,,303,0
,,"55,432,502","118,781,066","20,773,997","42,025,066",37,35,303,0
3077-Kwale - County Attorney,,,,,,,,303,0
704003077,,"396,266,140",,"118,310,046",,30,,303,0
,704013060,"24,769,004",,0,,,,303,0
