Sub- Programme,col_1,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
,Regional Economic Integration,"420,000","172,000","248,000",41.0,252,0
,Sub total,"13,628,590","8,953,382","4,675,208",65.7,252,0
"Industrial Development
and Investment Services","Promotion Of Industrial Devel-
opment And Investments","490,000","146,000","344,000",29.8,252,0
,"Industrial Parks And Infrastruc-
ture Development","1,500,000",-,"1,500,000",-,252,0
,Sub total,"1,990,000","146,000","1,844,000",7.3,252,0
"Cooperative develop-
ment services","Cooperative Development Ser-
vices And Promotion","1,320,000","180,000","1,140,000",13.6,252,0
,"Cooperative Oversight And
Compliance","1,416,000","731,700","684,300",51.7,252,0
,"Cooperative Policy, Research
And Advisory","1,080,000","267,200","812,800",24.7,252,0
,Sub total,"3,816,000","1,178,900","2,637,100",30.9,252,0
Tourism Development,"Tourism Promotion, Investment
And Marketing","1,500,000",-,"1,500,000",-,252,0
,Cradle Of Mankind Circuit,"1,500,000","338,548","1,161,452",22.6,253,0
,Sub total,"3,000,000","338,548","2,661,452",11.3,253,0
"Trade And Markets Pro-
motion And Develop-
ment","Metrological Laboratory Servic-
es","2,340,000","685,200","1,654,800",29.3,253,0
,Sub total,"2,340,000","685,200","1,654,800",29.3,253,0
"Liquor Licensing and
Control Services",Infrastructure Development,"900,000","358,919","541,081",39.9,253,0
,Sub total,"900,000","358,919","541,081",39.9,253,0
"Trade And Markets Pro-
motion And Develop-
ment",Construction of Modern Markets,"12,500,000","3,207,017","12,500,000",25.7,253,0
,"Market development (Communi-
ty Projects New)","34,128,000","32,004,619","34,128,000",93.8,253,0
,"Pending Bills (Completed and
ongoing projects)","44,822,406","25,656,588","19,165,818",57.2,253,0
,Sub total,"91,450,406","60,868,224","65,793,818",66.6,253,0
"Cooperative develop-
ment services",Construction of coffee factory,"6,500,000",-,"6,500,000",-,253,0
,Sub total,"6,500,000",-,"6,500,000",-,253,0
Tourism Development,"Establishment of ECO- Lodge
at Thim Lich Ohinga","7,000,000",-,"7,000,000",-,253,0
,Sub total,"7,000,000",-,"7,000,000",-,253,0
,,,,,,253,0
"General Administration
planning and support
services",Administration support services,"67,634,725","50,363,574","17,271,151",74.5,253,0
,Sub total,"67,634,725","50,363,574","17,271,151",74.5,253,0
External Funding,Donor Funds,"50,000,000","40,269,969","9,730,031",80.5,253,0
,Sub total,"50,000,000","40,269,969","9,730,031",80.5,253,0
"General Administration
planning and support
services ( development)",Administration support services,"15,000,000","8,077,233","15,000,000",53.9,253,0
,Sub total,"15,000,000","8,077,233","15,000,000",53.9,253,0
"Physical planning servic-
es",County Spatial Plan,"50,000,000","42,335,675","50,000,000",84.7,253,0
,Sub total,"50,000,000","42,335,675","50,000,000",84.7,253,0
"Physical planning servic-
es",Pending bills,"32,150,722","32,912,100","27,191,722",102.4,253,0
,Sub total,"32,150,722","32,912,100","27,191,722",102.4,253,0
External Funding,"KUSP - Rongo Municipality
UDG Grant","165,365,100",-,"165,365,100",-,253,0
,"KUSP - Migori Municipality
UDG Grant","133,622,292",-,"133,622,292",-,253,0
,"KUSP - Awendo Municipality
UDG Grant","219,379,100",-,"219,379,100",-,253,0
,Sub total,"518,366,492",-,"518,366,492",-,253,0
"Housing Development
Services",Sangla Housing scheme,"500,000",-,"500,000",-,253,0
,Sub total,"500,000",-,"500,000",-,254,0
"Finance and Economic
Planning",,,,,,254,0
"General Administrative
and supportive service
(Accounting)","General administration planning
and support services","127,228,662","106,676,773","20,551,889",83.9,254,0
,Sub total,"127,228,662","106,676,773","20,551,889",83.9,254,0
"Public Financial Man-
agement (accounting)",Accounting services,"272,687,835","262,141,862","10,545,973",96.1,254,0
,Sub total,"272,687,835","262,141,862","10,545,973",96.1,254,0
"General Administrative
and supportive service
(audit)","General administration planning
and support services","21,021,000","9,823,225","11,197,775",46.7,254,0
,Sub total,"21,021,000","9,823,225","11,197,775",46.7,254,0
"Public Financial Man-
agement (procurement)",Procurement services,"18,600,000","14,573,003","4,026,997",78.4,254,0
,Sub total,"18,600,000","14,573,003","4,026,997",78.4,254,0
"General Administrative
and supportive service
(revenue)","General administration planning
and support services","2,160,000","2,155,000","5,000",99.8,254,0
,Sub total,"2,160,000","2,155,000","5,000",99.8,254,0
"Public Financial Man-
agement",Resource mobilization,"36,275,000","26,510,833","9,764,167",73.1,254,0
,Sub total,"36,275,000","26,510,833","9,764,167",73.1,254,0
"General Administra-
tive and supportive ser-
vice(planning)","General administration planning
and support services","24,800,675","22,784,879","2,015,796",91.9,254,0
,Sub total,"24,800,675","22,784,879","2,015,796",91.9,254,0
"Economic policy and
county planning","Budget coordination and man-
agement","60,583,116","57,530,964","3,052,152",95.0,254,0
,Policy and plans developments,"3,000,000",-,"3,000,000",-,254,0
,"County statistical information
services","10,000,000","1,279,970","8,720,030",12.8,254,0
,Community development,"3,000,000",-,"3,000,000",-,254,0
,Sub total,"76,583,116","58,810,934","17,772,182",76.8,254,0
"General Administrative
and supportive service (
development)","Construction, Maintenance of
Buildings and Furnitures","15,000,000",-,"15,000,000",-,254,0
,Sub total,"15,000,000",-,"15,000,000",-,254,0
"General Administrative
and supportive service
(Planning)","Construction of car park, gate
and VIP latrine","5,000,000",-,"5,000,000",-,254,0
,Sub total,"5,000,000",-,"5,000,000",-,254,0
,,,,,,254,0
"Planning and adminis-
trative support services","Health Management Informative
System","1,500,000","1,210,910","289,090",80.7,254,0
,"Administrative And Support Ser-
vices","1,319,729,812","1,367,456,598","(47,726,786)",103.6,254,0
,Sub Total,"1,321,229,812","1,368,667,508","(47,437,696)",103.6,254,0
"Preventive and Promo-
tive Health Services",Community Health Services,"43,860,680","36,318,390","7,542,290",82.8,255,0
,"Sanitation and Environmental
Health Services","1,000,000","427,320","572,680",42.7,255,0
,Human Nutrition And Dietetics,"2,000,000","1,115,500","884,500",55.8,255,0
,Communicable Disease Control,"1,000,000",-,"1,000,000",-,255,0
,Hiv And Aids Management,"2,000,000",-,"2,000,000",-,255,0
,"Disease Surveillance/ COVID
19","257,101,000","122,304,802","134,796,198",47.6,255,0
,"Emergency Preparedness and
Response","31,000,000","16,213,894","14,786,106",52.3,255,0
,Health Promotion,"1,500,000","1,014,200","485,800",67.6,255,0
,Family& Reproductive Health,"17,000,000","3,965,032","13,034,968",23.3,255,0
,Sub total,"242,731,680","181,359,138","175,102,542",74.7,255,0
"Curative, Rehabilitative
and Referral services","Pharmaceutical and Non –Phar-
maceutical Commodities","395,368,857","119,778,715","275,590,142",30.3,255,0
,Diagnostic Services,"2,500,000","1,404,450","1,095,550",56.2,255,0
,Sub total,"397,868,857","121,183,165","276,685,692",30.5,255,0
External Funding,Donor Funds,"50,062,500",-,"50,062,500",-,255,0
,Conditional Grants,"21,655,884",-,"21,655,884",-,255,0
,Sub total,"71,718,384",-,"71,718,384",-,255,0
"Planning and adminis-
trative support servic-
es(development)","Administrative And Support Ser-
vices","171,052,214","166,634,603","82,545,042",97.4,255,0
,Sub total,"171,052,214","166,634,603","82,545,042",97.4,255,0
"Infrastructure Develop-
ment","Face-lifting of Health Centres
and Dispensaries (COMMUNI-
TY PROJECTS NEW)","130,796,664",-,"130,796,664",-,255,0
,Purchase of Medical Equipment,"10,000,000",-,"10,000,000",-,255,0
,Construction of ICU Unit,"20,000,000",-,"20,000,000",-,255,0
,Completion of KMTC Block,"8,600,000",-,"8,600,000",-,255,0
,Sub total,"169,396,664",-,"169,396,664",-,255,0
External Funding,Donor Funds,"76,800,000","36,590,548","40,209,452",47.6,255,0
,"Allocation for leasing of medical
equipment (GRANT)","131,914,894",-,"131,914,894",-,255,0
,Sub total,"208,714,894","36,590,548","172,124,346",17.5,255,0
,,,,,,255,0
"General administration
and supportive services","General administration support-
ive services","77,000,810","60,161,579","16,839,231",78.1,255,0
,Sub total,"77,000,810","60,161,579","16,839,231",78.1,255,0
"Environment Manage-
ment And Protection","Solid Waste Management Ser-
vices","7,700,000","7,684,321","15,679",99.8,255,0
,Sub total,"7,700,000","7,684,321","15,679",99.8,255,0
Disaster Management,Disaster Management Services,"85,591,251","79,618,496","4,519,279",93.0,255,0
,Sub total,"85,591,251","79,618,496","4,519,279",93.0,255,0
"Environmental And Nat-
ural Resource Conserva-
tion And Management","Water Resources Conservation
And Management","300,000","262,040","37,960",87.4,255,0
,"Climate Change Adoption And
Mitigation","540,000","428,600","111,400",79.4,255,0
,"Forestry Conservation And De-
velopment","3,650,000",-,"3,650,000",-,255,0
,Sub total,"4,490,000","690,640","3,799,360",15.4,255,0
"Natural resource conser-
vation and management",Mining services,"1,350,000","1,250,000","100,000",92.6,255,0
,Sub total,"1,350,000","1,250,000","100,000",92.6,255,0
Disaster Management,Disaster Management Services,"16,300,000","2,201,681","14,098,319",13.5,256,0
,Sub total,"16,300,000","2,201,681","14,098,319",13.5,256,0
Disaster Management,"Construction of Modern Fire sta-
tion and related infrastructure","6,243,638","5,749,936","4,744,406",92.1,256,0
,Sub total,"6,243,638","5,749,936","4,744,406",92.1,256,0
,,,,,,256,0
"Policy, General adminis-
tration, planning & sup-
port Service","General administration, planning
& support service","67,257,644","49,994,634","17,263,010",74.3,256,0
,Sub total,"67,257,644","49,994,634","17,263,010",74.3,256,0
"Road Development,
Maintenance And Man-
agement (recurrent)",Road Network Improvement,"22,000,000","11,047,985","10,952,015",50.2,256,0
,Sub total,"22,000,000","11,047,985","10,952,015",50.2,256,0
"Road Development,
Maintenance and Man-
agement (development)","Design and Construction of Uriri
Oria Road","153,697,821",-,"153,697,821",-,256,0
,"spot improvement/maintenance
of roads-krb funded road works
(RMLF)","306,494,622","274,515,403","281,979,219",89.6,256,0
,"County Access Roads (COM-
MUNITY PROJECTS NEW)","262,063,759","3,075,412","258,988,347",1.2,256,0
,"Pending Bills - (COMPLETED
AND ONGOING PROJECTS)","436,915,075","425,045,490","191,645,907",97.3,256,0
,"Construction Of Bridges And
Maintenance","100,000,000","71,046,062","28,953,938",71.1,256,0
,Completion of Kiringi Bridge,"100,000,000","71,046,062","28,953,938",71.1,256,0
,Sub total,"1,465,171,277","844,728,430",,57.7,256,0
,,,,,,256,0
"General administration
and supportive service(-
speaker)",Administrative Services,"131,750,000","131,750,000",-,100.0,256,0
Legislative services,Representation,"25,863,160","25,860,055","3,105",100.0,256,0
"General administration
and supportive service
(clerk)",Administrative Services,"597,957,065","597,957,065",-,100.0,256,0
,Citizen Engagement,"81,264,000","81,263,000",-,100.0,256,0
"General administration
and supportive service (
development)","Construction of MCAs offices,
Assembly Chambers moderniza-
tion, Speaker's residence","62,094,147","62,094,147",-,100.0,256,0
,subtotal,"898,928,372","898,924,267","3,105",100.0,256,0
,,,,,,256,0
"Water supply and man-
agement services","Urban water Supply and Man-
agement Services","25,000,000","22,898,022","2,102,978",91.6,256,0
,Rural Water Services,"13,446,750","8,793,266","4,653,484",65.4,256,0
,sub total,"38,446,750","31,691,288","6,756,462",82.4,256,0
"General administration,
planning & support Ser-
vice","General Administration, Policies
and Legal Framework","76,736,446","46,650,649","30,085,797",60.8,256,0
,sub total,"76,736,446","46,650,649","30,085,797",60.8,256,0
"Alternative Energy Ser-
vices",Green Energy Development,"11,916,000","11,329,520","586,480",95.1,256,0
,sub total,"11,916,000","11,329,520","586,480",95.1,256,0
"Water supply and man-
agement services","Urban water Supply and Man-
agement Services","9,461,000",-,"9,461,000",-,256,0
