Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Decentralized County Policy,"31,211,800","23,658,689","7,553,111",75.8,384,0
Coordinated development,"1,628,120",0,"1,628,120",-,384,0
Policy sensitization and dissemination,"3,941,315","954,900","2,986,415",24.2,384,0
"Mainstream Public Sector Integrity pro-
gramme & Accountability","3,792,136","3,486,807","305,329",91.9,384,0
"Mainstream Public Sector Integrity pro-
gramme & Accountability","572,123","557,530","14,593",97.4,384,0
"Public Evaluation on County Public Ser-
vice Board Performance &Cus","1,105,580","1,105,580",0,100.0,385,0
"Human Resource Conference & Sympo-
sium","1,079,415","810,747","268,668",75.1,385,0
Exit Meetings Per Department,"1,035,018","1,012,950","22,068",97.9,385,0
Disaster Risk Reduction,"1,909,058","1,192,406","716,652",62.5,385,0
"Turkana County Drought and Disater Con-
tigency Fund (CDDCF)","594,134","562,656","31,478",94.7,385,0
"Assessment and stake holder capacity
mapping","814,924","629,750","185,174",77.3,385,0
"Regular Assessments of Food,Flood and
Conflict Security","500,000",0,"500,000",-,385,0
Human resource,"9,815,099","5,831,621","3,983,478",59.4,385,0
Scheme of service,"1,381,610","674,385","707,225",48.8,385,0
Performance Appraisal,"3,433,907","1,655,340","1,778,567",48.2,385,0
"Enhancing Leadership In County Public
Service","721,562","200,000","521,562",27.7,385,0
Review and Development of HR Policies,"927,572","763,300","164,272",82.3,385,0
"Human Resource Development/Career
Progression","1,038,306","571,950","466,356",55.1,385,0
Performance Management Monitoring,"815,001","642,000","173,001",78.8,385,0
Development of Database Filing System,"436,357","272,666","163,691",62.5,385,0
"County Public Serce Pre-Retirement Sen-
sitization","633,050","633,050",0,100.0,385,0
"Evaluation of Different Cadres of Employ-
ees(Promotion,Re-Designat","427,734","418,930","8,804",97.9,385,0
"Quality management system program-
ming","1,728,775","663,490","1,065,285",38.4,385,0
"Quality Management Systems Develop-
ment & Establishment","350,905","120,490","230,415",34.3,385,0
