Programme,Sub- Programme,"Approved Budget
(Kshs)","Expenditure
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
Museum,Sub Total,"15,168,128","9,330,460","5,837,668",61.5,121,0
,Museum,"3,027,000","2,202,880","824,120",72.8,121,0
,Cultural Activities,"11,981,128","6,977,580","5,003,548",58.2,121,0
,County Parks,"160,000","150,000","10,000",93.8,121,0
Gender,Sub Total,"118,881,471","56,879,367","62,002,104",47.8,121,0
,Gender,"118,881,471","56,879,367","62,002,104",47.8,121,0
Youth Development,,"76,540,080","24,561,179","51,978,901",32.1,121,0
,Youth Development,"40,000,000","3,147,000","36,853,000",7.9,121,0
,"Sports Training and Competi-
tions","16,174,380","5,113,359","11,061,021",31.6,121,0
,Gender Mainstreaming,"6,492,700","3,540,020","2,952,680",54.5,121,0
,Disability Mainstreaming,"13,873,000","12,760,800","1,112,200",92.0,121,0
"General Administra-
tion, Planning and Sup-
port Services",Sub Total,"119,064,643","102,052,796","17,011,847",85.7,121,0
,"Human Resources and Support
Services",-,-,-,-,121,0
,"Storm Water Management Ser-
vices","7,750,000","2,682,920","5,067,080",34.6,121,0
,"General Administration, Policy
and Coordination","111,314,643","99,369,876","11,944,767",89.3,121,0
"Water and Sanitation
Services",Sub Total,-,-,-,-,121,0
,Sanitation Services,-,-,-,-,121,0
,Water Supply Infrastructure,-,-,-,-,121,0
Water,Sub Total,"321,896,067","43,179,388","278,716,679",13.4,121,0
,Water,"309,780,000","38,097,538","271,682,462",12.3,121,0
,Irrigation,"12,116,067","5,081,850","7,034,217",41.9,121,0
,Storm Water Management,-,-,-,-,121,0
"Headquarters Adminis-
trative Services",Sub Total,"785,759,406","644,771,623","140,987,783",82.1,121,0
,"Headquarters Administrative
Services","242,424,296","2,448,000","239,976,296",1.0,121,0
,"Headquarters Administrative
Services","65,560,338","3,122,000","62,438,338",4.8,121,0
Grand Total,,"10,252,318,301","7,229,574,721","3,158,348,630",70.5,121,0
