Name of the Programme,Approved Estimates,col_2,"Actual Expenditure as of 31st
December, 2022",col_4,Absorption Rate %,col_6,page_number,table_index
"Early Childhood
Development (0501043060)","66,817,400",-,"6,300,803",-,9.4,-,263,0
Total,"926,935,809","695,191,696","743,919,348","60,189,348",80.3,8.7,263,0
Water Services,,,,,,,263,0
,"Recurrent
(Kshs.)","Development
(Kshs.)","Recurrent
(Kshs.)","Development
(Kshs.)","Recurrent
(Kshs.)","Development
(Kshs.)",264,0
"Construction & Maintenance
of water pipeline supply sys-
tems (1001023060)",,"144,800,000",,-,-,-,264,0
"Development of Borehole
water supply system
(1001033060)",-,"96,125,844",-,-,-,-,264,0
"Development/Construction
of surface water supply
systems (1001043060)",-,-,-,-,-,-,264,0
"Community Water
Project (1001063060)",-,"34,516,685",-,"7,454,200",-,21.6,264,0
"Personnel Services
(1002013060)","35,426,928",-,"18,208,375",-,51.4,-,264,0
"Administration Services
(1002023060)","61,299,807","690,856,693","25,601,513",-,41.8,-,264,0
TOTAL,"96,726,735","966,299,222","43,809,888","7,454,200",45.3,0.8,264,0
Roads and Public Works,,,,,,,264,0
"Administration Services
(0305023060)","104,938,145","308,252,522","19,272,369",,18.4,-,264,0
"Rehabilitation of Roads,
Drainage and bridges
(0202013060)",,"385,850,468",,,-,-,264,0
"Personnel Services
(0305013060)","67,225,905",,"32,037,641",,47.7,-,264,0
"Installation of Street Lighting
Facilities (0203013060)",,"51,387,050",,,-,-,264,0
TOTAL,"172,164,050","745,490,040","51,310,010",-,29.8,-,264,0
Tourism and ICT,,,,,,,264,0
"Personnel services
{0305013060}","20,921,809",-,"12,387,585",-,59.2,-,264,0
"Administration services
{0305023060}","21,067,499","16,049,218","7,376,296",-,35.0,-,264,0
"Local area network in-
stallation and ICT support
{0308013060}","5,110,934","20,883,345","1,019,650",-,20.0,-,264,0
"Tourism Promotion
{0304013060}","3,560,605","8,481,050","1,479,670",-,41.6,-,264,0
TOTAL,"50,660,847","45,413,613","22,263,201",-,43.9,-,264,0
County Public Service Board,,,,,,,264,0
"Human resource planning
(706013060)","14,714,312",-,"7,172,473",-,48.7,-,264,0
"Transformation of
service delivery in public
service (706023060)","5,000,000",-,"1,648,900",-,33.0,-,264,0
"Compensation to
employees (706043060)","29,298,166",-,"11,885,706",-,40.6,-,264,0
"Human resource
planning (706053060)","4,000,000",-,"1,104,400",-,27.6,-,264,0
