Programme,Sub- Programme,"Approved
Estimates (Kshs)","Actual
Expenditure
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index,col_6
,Subtotal,"4,000,000",-,"4,000,000",-,134,0,
,Grand total,"76,643,515","61,675,311","14,968,204",80.5,134,0,
County Assembly Service Board,,,,,,134,0,
Legislative Services,Members' welfare Support services,"245,865,808","245,865,808",-,100.0,134,0,
,"Legislative development and
approval services","217,502,825","217,502,825",-,100.0,134,0,
,Subtotal,"463,368,633","463,368,633",-,22.2,134,0,
"Oversight and Control
Services",Capacity building services,"12,000,000","12,000,000",-,100.0,134,0,
,Report writing services,"37,000,000","37,000,000",-,100.0,134,0,
,"Public Participation and
Education Services","11,000,000","11,000,000",-,100.0,134,0,
,Subtotal,"60,000,000","60,000,000",-,100.0,134,0,
"Ward Representation
Services",Staff welfare support services,"67,246,265","67,246,265",-,100.0,134,0,
,"Ward operations and
maintenance","17,284,320","17,284,320",-,100.0,134,0,
,Subtotal,"84,530,585","84,530,585",-,100.0,134,0,
"Policy, Planning and
Administrative
Support Services",Administrative support services,"277,775,469","211,691,787.00","66,083,682",76.2,134,0,
,Financial Management Services,"167,794,000","167,603,870.20","190,130",99.9,134,0,
,"Assembly Infrastructure
Development Services","151,549,218","21,587,525.50","129,961,693",14.2,134,0,
,Subtotal,"597,118,687","400,883,182.70","196,235,504",67.1,134,0,
,Total,"1,205,017,905","1,008,782,400.70","196,235,504",83.7,134,0,
Homa Bay Municipal Board,,,,,,134,0,
"Planning, Finance and
Administrative Support
Services",Policy and planning services,-,-,-,-,134,0,
,Financial Management Services,"3,811,419","3,593,380","218,039",94.3,134,0,
,"Personnel remuneration and
development services","22,945,272","22,886,600","58,672",99.7,134,0,
,Subtotal,"26,756,691","26,479,980","276,711",99.0,134,0,
"Public Works and
Infrastructure Improvement
Services","Transport Infrastructure
Improvement Services","1,194,559","1,194,559",-,100.0,134,0,
,"Environmental Management
Services","11,000,000","9,019,259","1,980,741",82.0,134,0,
,Subtotal,"12,194,559","10,213,818","1,980,741",83.8,134,0,
"Housing and Urban Devel-
opment Services","Social outreach and Engagement
Services",-,-,-,-,135,0,
