Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure July 2023-June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
TOTAL WATER,,"26,000,000","248,600,000","25,883,506","94,270,130",,,291,0
DEPARTMENT: NANYUKI MUNICIPALITY,,,,,,,,291,0
"P3-0103004510-General
Administration and
Planning Services","SP1 Administration
Services","6,000,000",-,"6,000,000",-,100,-,291,0
"P15-0115004510-Roads
Network Improvement
Housing and Urban
Development","SP1-Road Network
improvement",,"1,000,000",,"1,000,000",-,100,291,0
TOTAL,,"6,000,000","1,000,000","6,000,000","1,000,000",100,100,291,0
DEPARTMENT: RUMURUTI MUNICIPALITY,,,,,,,,291,0
"P3-0103004510-General
Administration and
Planning Services","SP1 Administration
Services","2,500,000",-,"2,500,000",-,100,-,291,0
"P15-0115004510-Roads
Network Improvement
Housing and Urban
Development","SP1-Road Network
improvement",-,"5,000,000",-,"5,000,000",-,100,291,0
TOTAL,,"2,500,000","5,000,000","2,500,000","5,000,000",,,291,0
ASSEMBLY,,,,,,,,291,0
"General administration
support services","Compensation of
employees/MCAs","226,209,653",-,"218,336,525.00",,97%,,291,0
,"Other recurrent
expenditure","93,275,776",,"74,550,886.40",,80%,,291,0
