Programme,"Approved Estimates
Recurrent Development
Total Budget
Estimates Estimates
Estimates
2023/24 2023/24",col_2,col_3,Actual Expenditure as of June 2024,col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates
SP1.3: Maintenance,,-,"3,900,000",-,-,-,-,74,0,"3,900,000"
Sub Total,,-,"472,068,281","460,646,838",-,97.6,-,74,0,"472,068,281"
"Environment, Tourism and Climate Change",,,,,,,,74,0,
"Programme 1: General
Administration Planning and
Support Services",,-,"35,459,170","29,140,505",-,82.2,-,74,0,"35,459,170"
"SP. Human Resources
Management",,-,"27,782,306","22,650,871",-,81.5,-,74,0,"27,782,306"
"SP. Planning and Support
Services",,-,"7,676,864","6,489,634",-,84.5,-,74,0,"7,676,864"
"Programme 2: Protection
and Conservation of the
Environment",,-,"320,365,154","320,559,337",-,100.1,-,74,0,"320,365,154"
"SP. Waste Management and
Control",,-,"320,365,154","320,559,337",-,100.1,-,74,0,"320,365,154"
"Programme3: Climate
Change Coordination and
Management",,"400,781,943","422,892,828","8,673,847","28,699,454",39.2,7.2,74,0,"22,110,885"
"SP. Climate Change Resilience
Investment Grant",,"320,781,943","320,781,943",-,"28,699,454",-,8.9,74,0,-
SP. Climate Change Fund,,"80,000,000","80,000,000",-,-,-,-,74,0,-
"SP. Climate Change
Institutional Support Grant",,-,"22,110,885","8,673,847",-,39.2,-,74,0,"22,110,885"
Sub Total,,"400,781,943","778,717,152","358,373,688","28,699,454",94.8,7.2,74,0,"377,935,209"
Water and Natural Resources,,,,,,,,74,0,
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",75,0,"Recurrent
Estimates
2023/24"
"Programme 1: General
Administration Planning and
Support Services",,"14,000,000","77,605,250","55,006,202","13,707,824",86.5,97.9,75,0,"63,605,250"
"SP. Human Resources
Management",,-,"36,272,013","29,565,566",-,81.5,-,75,0,"36,272,013"
"SP. Planning and Support
Services",,"14,000,000","41,333,237","25,440,636","13,707,824",93.1,97.9,75,0,"27,333,237"
"Programme 2: Water and
Sanitation Development and
Management",,"193,642,144","193,642,145",-,"178,637,453",-,92.3,75,0,-
SP. Borehole Development,,"6,810,745","6,810,745",-,"3,887,991",-,57.1,75,0,-
"SP.KOICA Counterpart
Funding",,"20,000,000","20,000,000",-,"18,682,731",-,93.4,75,0,-
Ward Based Projects,,"166,831,400","166,831,400",-,"156,066,731",-,93.5,75,0,-
Sub Total,,"207,642,144","271,247,394","55,006,202","192,345,277",86.5,92.6,75,0,"63,605,250"
Sub Total,,"5,132,569,673","13,950,675,197","6,808,031,903","3,020,584,389",77.2,58.9,75,0,"8,818,105,525"
County Assembly,,,,,,,,75,0,
"General Administrative
Support",,-,"903,471,721","903,536,252",-,100,-,75,0,"903,471,721"
"Salaries and Personnel
Emoluments",,-,"601,093,756","601,093,756",-,100,-,75,0,"601,093,756"
"Human Resource
Capacity Development and
Management",,-,"33,767,598","33,928,888",-,99.5,-,75,0,"33,767,598"
"General Administration and
Support Services",,-,"260,460,367","260,363,608",-,100,-,75,0,"260,460,367"
"Research Knowledge Sharing
and Development Services",,-,"8,150,000","8,150,000",-,100,-,75,0,"8,150,000"
Legislation,,-,"11,014,400","10,949,818",-,99.4,-,75,0,"11,014,400"
Legislation Services,,-,"11,014,400","10,949,818",-,99.4,-,75,0,"11,014,400"
"Representation and Outreach
Services",,--,"73,762,250",,--,100,--,75,0,"73,762,250"
Representation Services,,-,"73,762,250","73,762,250",-,100,-,75,0,"73,762,250"
"Public Participation and
Outreach Services",,-,"2,000,000","2,000,000",-,100,-,75,0,"2,000,000"
Oversight,,-,"141,989,859","141,989,796",-,100,-,75,0,"141,989,859"
Oversight Services,,-,"141,989,859","141,989,796",-,100,-,75,0,"141,989,859"
General Infrastructure,,"151,737,650",-,-,"93,010,115",100,-,75,0,-
General Infrastructure -,,"151,737,650","151,737,650",-,"93,010,115",-,61.3,75,0,-
Sub Total,,"151,737,650","1,281,975,880","1,285,177,730","93,010,115",113.7,61.3,75,0,"1,130,238,230"
Grand Total,,"5,284,307,323","15,232,651,077","8,093,209,633","3,113,594,504",81.4,58.9,75,0,"9,948,343,755"
