Program,Sub Program,"Approved
Estimates (Kshs)","Actual Expenditure
(Kshs)","Absorption Rate
(%)",page_number,table_index
,Fire Services,"1,800,000","1,667,605",92.6,582,0
Housing Development,Housing Programme,"1,000,000","951,500",95.2,582,0
"Kenya Urban Support
Programme",Urban Institutional Grant,"2,339,915","2,339,914",100.0,582,0
,Sub - Total,"242,609,229","191,063,495",78.8,582,0
Turkana County Public Service Board,,,,,582,0
"General Administration,
Planning and Support Services",General Administration,"51,459,694","45,914,377",89.2,582,0
,Human Resource Management,"18,548,107","17,290,040",93.2,582,0
,County Public Service Governance,"12,405,545","11,149,766",89.9,582,0
,County Internship Programme,"52,200,000","48,905,207",93.7,582,0
,Sub - Total,"134,613,346","123,259,390",91.6,582,0
Lodwar Municipality Board,,,,,582,0
"General Admin Planning and
Support Services",General Admin Planning and Support Services,"13,380,000","13,380,000",100.0,582,0
,Municipal Planning,"21,100,000","11,099,999",52.6,582,0
,Municipal Services,"42,550,000","32,550,000",76.5,582,0
,Municipal Infrastructure,"262,066,876","180,154,780",68.7,582,0
,"Research, Development and Extension Services","4,558,938","4,558,938",100.0,582,0
"Kenya Urban Support
Programme",Urban Development Grant,"1,912,497","1,912,096",100.0,582,0
,Sub - Total,"345,568,311","243,655,813",70.5,582,0
Kakuma Municipality,,,,,582,0
"General Admin Planning and
Support Services",General Admin Planning and Support Services,"6,650,000","6,650,000",100.0,582,0
,Municipal Planning,"3,400,000","3,400,000",100.0,582,0
,Municipal Services,"8,950,000","8,950,000",100.0,582,0
,Sub - Total,"19,000,000","19,000,000",100.0,582,0
Turkana County Assembly,,,,,582,0
"Construction of Assembly
Building",Construction of New Assembly Building,"8,540,000","8,540,000",100.00,582,0
,Office of the Speaker,"12,650,000","8,038,293",63.54,582,0
,Partnership and Donor Engagement,"600,000","124,490",20.75,582,0
,Sergeant at Arms and Security Services,"10,428,237","10,428,237",100.00,582,0
Speakers Resident,Construction of Speaker's Residence,"61,237,250","59,701,283",97.49,582,0
,Purchase of Land for Construction,"1,206,767","1,206,767",100.00,582,0
Headquarters,General Administration and Planning,"1,144,215,005","1,144,214,541",100.00,582,0
,Sub Total,"1,238,877,259","1,232,253,611",99.5,582,0
,Grand Total,"17,222,014,427","14,560,481,189",84.5,582,0
